,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,QC_flag
0,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Winter,2001,10,2002,7,irrigated,area,87000.0,0
1,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Winter,2001,10,2002,7,irrigated,yield,1.5977011494252873,0
2,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Winter,2001,10,2002,7,irrigated,production,139000.0,0
3,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Spring,2002,1,2002,6,rainfed,area,80000.0,0
4,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Spring,2002,1,2002,6,rainfed,yield,0.7,0
5,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Spring,2002,1,2002,6,rainfed,production,56000.0,0
6,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Winter,2002,10,2003,7,irrigated,area,59000.0,0
7,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Winter,2002,10,2003,7,irrigated,yield,1.5423728813559323,0
8,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Winter,2002,10,2003,7,irrigated,production,91000.0,0
9,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Spring,2003,1,2003,6,rainfed,area,164000.0,0
10,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Spring,2003,1,2003,6,rainfed,yield,0.8902439024390244,0
11,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Spring,2003,1,2003,6,rainfed,production,146000.0,0
12,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Winter,2003,10,2004,7,irrigated,area,58000.0,0
13,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Winter,2003,10,2004,7,irrigated,yield,1.4655172413793103,0
14,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Winter,2003,10,2004,7,irrigated,production,85000.0,0
15,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Spring,2004,1,2004,6,rainfed,area,90000.0,0
16,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Spring,2004,1,2004,6,rainfed,yield,0.3333333333333333,0
17,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Spring,2004,1,2004,6,rainfed,production,30000.0,0
18,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Winter,2004,10,2005,7,irrigated,area,44000.0,0
19,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Winter,2004,10,2005,7,irrigated,yield,2.5,0
20,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Winter,2004,10,2005,7,irrigated,production,110000.0,0
21,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Spring,2005,1,2005,6,rainfed,area,180000.0,0
22,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Spring,2005,1,2005,6,rainfed,yield,1.3277777777777777,0
23,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Spring,2005,1,2005,6,rainfed,production,239000.0,0
24,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Winter,2005,10,2006,7,irrigated,area,59000.0,0
25,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Winter,2005,10,2006,7,irrigated,yield,2.3728813559322033,0
26,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Winter,2005,10,2006,7,irrigated,production,140000.0,0
27,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Spring,2006,1,2006,6,rainfed,area,180000.0,0
28,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Spring,2006,1,2006,6,rainfed,yield,0.6,0
29,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Spring,2006,1,2006,6,rainfed,production,108000.0,0
30,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Winter,2006,10,2007,7,irrigated,area,42000.0,0
31,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Winter,2006,10,2007,7,irrigated,yield,2.619047619047619,0
32,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Winter,2006,10,2007,7,irrigated,production,110000.0,0
33,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Spring,2007,1,2007,6,rainfed,area,190000.0,0
34,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Spring,2007,1,2007,6,rainfed,yield,1.2,0
35,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Spring,2007,1,2007,6,rainfed,production,228000.0,0
36,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Winter,2007,10,2008,7,irrigated,area,39000.0,0
37,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Winter,2007,10,2008,7,irrigated,yield,2.0256410256410255,0
38,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Winter,2007,10,2008,7,irrigated,production,79000.0,0
39,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Spring,2008,1,2008,6,rainfed,area,171000.0,0
40,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Spring,2008,1,2008,6,rainfed,yield,0.15789473684210525,0
41,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Spring,2008,1,2008,6,rainfed,production,27000.0,0
42,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Winter,2008,10,2009,7,irrigated,area,43000.0,0
43,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Winter,2008,10,2009,7,irrigated,yield,2.6511627906976742,0
44,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Winter,2008,10,2009,7,irrigated,production,114000.0,0
45,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Spring,2009,1,2009,6,rainfed,area,190000.0,0
46,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Spring,2009,1,2009,6,rainfed,yield,1.3,0
47,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Spring,2009,1,2009,6,rainfed,production,247000.0,0
48,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Winter,2009,10,2010,7,irrigated,area,35000.0,0
49,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Winter,2009,10,2010,7,irrigated,yield,2.5428571428571427,0
50,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Winter,2009,10,2010,7,irrigated,production,89000.0,0
51,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Spring,2010,1,2010,6,rainfed,area,183000.0,0
52,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Spring,2010,1,2010,6,rainfed,yield,1.2295081967213115,0
53,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Spring,2010,1,2010,6,rainfed,production,225000.0,0
54,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Winter,2010,10,2011,7,irrigated,area,33000.0,0
55,AF2017A129,Afghanistan,AF,Faryab,none,Faryab,Wheat,Winter,2010,10,2011,7,irrigated,yield,1.9090909090909092,0
