,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,QC_flag
0,AO2008A101,Angola,AO,Bengo,none,Bengo,Banana,Main,2007,10,2008,4,All (PS),area,1364.0,0
1,AO2008A101,Angola,AO,Bengo,none,Bengo,Banana,Main,2007,10,2008,4,All (PS),production,19588.0,0
2,AO2008A101,Angola,AO,Bengo,none,Bengo,Banana,Main,2007,10,2008,4,All (PS),yield,14.360703812316716,0
3,AO2008A101,Angola,AO,Bengo,none,Bengo,Banana,Main,2008,10,2009,4,All (PS),area,1364.0,0
4,AO2008A101,Angola,AO,Bengo,none,Bengo,Banana,Main,2008,10,2009,4,All (PS),production,20461.0,0
5,AO2008A101,Angola,AO,Bengo,none,Bengo,Banana,Main,2008,10,2009,4,All (PS),yield,15.000733137829911,0
6,AO2008A101,Angola,AO,Bengo,none,Bengo,Banana,Main,2014,10,2015,4,All (PS),area,8706.0,0
7,AO2008A101,Angola,AO,Bengo,none,Bengo,Banana,Main,2014,10,2015,4,All (PS),production,222044.0,0
8,AO2008A101,Angola,AO,Bengo,none,Bengo,Banana,Main,2014,10,2015,4,All (PS),yield,25.504709395818974,0
9,AO2008A101,Angola,AO,Bengo,none,Bengo,Banana,Main,2015,10,2016,4,All (PS),area,8706.0,0
10,AO2008A101,Angola,AO,Bengo,none,Bengo,Banana,Main,2015,10,2016,4,All (PS),production,222044.0,0
11,AO2008A101,Angola,AO,Bengo,none,Bengo,Banana,Main,2015,10,2016,4,All (PS),yield,25.504709395818974,0
12,AO2008A101,Angola,AO,Bengo,none,Bengo,Banana,Main,2016,10,2017,4,All (PS),area,9549.7,0
13,AO2008A101,Angola,AO,Bengo,none,Bengo,Banana,Main,2016,10,2017,4,All (PS),production,233967.0,0
14,AO2008A101,Angola,AO,Bengo,none,Bengo,Banana,Main,2016,10,2017,4,All (PS),yield,24.499931935034606,0
15,AO2008A101,Angola,AO,Bengo,none,Bengo,Onions,Main,2014,10,2015,4,All (PS),area,431.0,0
16,AO2008A101,Angola,AO,Bengo,none,Bengo,Onions,Main,2014,10,2015,4,All (PS),production,6030.0,0
17,AO2008A101,Angola,AO,Bengo,none,Bengo,Onions,Main,2014,10,2015,4,All (PS),yield,13.990719257540603,0
18,AO2008A101,Angola,AO,Bengo,none,Bengo,Onions,Main,2015,10,2016,4,All (PS),area,431.0,0
19,AO2008A101,Angola,AO,Bengo,none,Bengo,Onions,Main,2015,10,2016,4,All (PS),production,6030.0,0
20,AO2008A101,Angola,AO,Bengo,none,Bengo,Onions,Main,2015,10,2016,4,All (PS),yield,13.990719257540603,0
21,AO2008A101,Angola,AO,Bengo,none,Bengo,Onions,Main,2016,10,2017,4,All (PS),area,446.7,0
22,AO2008A101,Angola,AO,Bengo,none,Bengo,Onions,Main,2016,10,2017,4,All (PS),production,7111.0,0
23,AO2008A101,Angola,AO,Bengo,none,Bengo,Onions,Main,2016,10,2017,4,All (PS),yield,15.9189612715469,0
24,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2000,10,2001,4,All (PS),area,4245.0,0
25,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2000,10,2001,4,All (PS),production,16981.0,0
26,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2000,10,2001,4,All (PS),yield,4.000235571260307,0
27,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2001,10,2002,4,All (PS),area,4127.0,0
28,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2001,10,2002,4,All (PS),production,18573.0,0
29,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2001,10,2002,4,All (PS),yield,4.500363460140538,0
30,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2002,10,2003,4,All (PS),area,5212.0,0
31,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2002,10,2003,4,All (PS),production,20848.0,0
32,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2002,10,2003,4,All (PS),yield,4.0,0
33,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2003,10,2004,4,All (PS),area,5315.0,0
34,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2003,10,2004,4,All (PS),production,21260.0,0
35,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2003,10,2004,4,All (PS),yield,4.0,0
36,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2004,10,2005,4,All (PS),area,5421.0,0
37,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2004,10,2005,4,All (PS),production,27107.0,0
38,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2004,10,2005,4,All (PS),yield,5.000368935620735,0
39,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2005,10,2006,4,All (PS),area,5781.0,0
40,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2005,10,2006,4,All (PS),production,28907.0,0
41,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2005,10,2006,4,All (PS),yield,5.000345960906418,0
42,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2006,10,2007,4,All (PS),area,5117.0,0
43,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2006,10,2007,4,All (PS),production,29676.0,0
44,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2006,10,2007,4,All (PS),yield,5.799491889779167,0
45,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2007,10,2008,4,All (PS),area,4092.0,0
46,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2007,10,2008,4,All (PS),production,32165.0,0
47,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2007,10,2008,4,All (PS),yield,7.860459433040078,0
48,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2008,10,2009,4,All (PS),area,4103.0,0
49,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2008,10,2009,4,All (PS),production,32822.0,0
50,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2008,10,2009,4,All (PS),yield,7.999512551791372,0
51,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2009,10,2010,4,All (PS),area,11744.0,0
52,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2009,10,2010,4,All (PS),production,93950.0,0
53,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2009,10,2010,4,All (PS),yield,7.999829700272479,0
54,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2010,10,2011,4,All (PS),area,11793.0,0
55,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2010,10,2011,4,All (PS),production,86273.0,0
56,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2010,10,2011,4,All (PS),yield,7.315610955651658,0
57,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2011,10,2012,4,All (PS),area,11595.0,0
58,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2011,10,2012,4,All (PS),production,43822.0,0
59,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2011,10,2012,4,All (PS),yield,3.779387667097887,0
60,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2012,10,2013,4,All (PS),area,11709.0,0
61,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2012,10,2013,4,All (PS),production,95433.0,0
62,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2012,10,2013,4,All (PS),yield,8.150397130412504,0
63,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2013,10,2014,4,All (PS),area,12045.0,0
64,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2013,10,2014,4,All (PS),production,154110.0,0
65,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2013,10,2014,4,All (PS),yield,12.794520547945206,0
