,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,QC_flag
4774,BI1998A108,Burundi,BI,Karuzi,none,Karuzi,Taro,Season B,1996,2,1996,8,none,production,1763.0,0
8469,BI1998A113,Burundi,BI,Muyinga,none,Muyinga,Maize,Season B,1996,2,1996,8,none,production,3666.0,0
592,BI1998A101,Burundi,BI,Bubanza,none,Bubanza,Sweet Potatoes,Season C,1996,6,1996,11,none,production,21.0,0
3224,BI1998A106,Burundi,BI,Cibitoke,none,Cibitoke,Taro,Season C,1996,6,1996,11,none,production,1615.0,0
7000,BI1998A111,Burundi,BI,Makamba,none,Makamba,Taro,Season C,1996,6,1996,11,none,production,345.0,0
9423,BI1998A114,Burundi,BI,Mwaro,none,Mwaro,Banana,Season C,1996,6,1996,11,none,production,5880.146587829515,0
3231,BI1998A106,Burundi,BI,Cibitoke,none,Cibitoke,Taro,Season B,1996,2,1996,8,none,production,3355.0,0
10967,BI1998A116,Burundi,BI,Rutana,none,Rutana,Yams,Season B,1996,2,1996,8,none,production,14.0,0
9435,BI1998A114,Burundi,BI,Mwaro,none,Mwaro,Banana,Season B,1996,2,1996,8,none,production,8101.478352283215,0
8497,BI1998A113,Burundi,BI,Muyinga,none,Muyinga,Taro,Season C,1996,6,1996,11,none,production,976.0,0
604,BI1998A101,Burundi,BI,Bubanza,none,Bubanza,Sweet Potatoes,Season B,1996,2,1996,8,none,production,821.0,0
7007,BI1998A111,Burundi,BI,Makamba,none,Makamba,Taro,Season B,1996,2,1996,8,none,production,574.0,0
8504,BI1998A113,Burundi,BI,Muyinga,none,Muyinga,Taro,Season B,1996,2,1996,8,none,production,1718.0,0
6336,BI1998A110,Burundi,BI,Kirundo,none,Kirundo,Beans (mixed),Season C,1996,6,1996,11,none,production,1679.0,0
11560,BI1998A117,Burundi,BI,Ruyigi,none,Ruyigi,Cassava,Season C,1996,6,1996,11,none,production,4446.0,0
9463,BI1998A114,Burundi,BI,Mwaro,none,Mwaro,Potato,Season B,1996,2,1996,8,none,production,3180.0101145645453,0
7166,BI1998A111,Burundi,BI,Makamba,none,Makamba,Sweet Potatoes,Season C,1996,6,1996,11,none,production,188.0,0
3259,BI1998A106,Burundi,BI,Cibitoke,none,Cibitoke,Beans (mixed),Season C,1996,6,1996,11,none,production,95.0,0
1067,BI1998A103,Burundi,BI,Bujumbura Rural,none,Bujumbura Rural,Taro,Season C,1996,6,1996,11,none,production,3251.0,0
7035,BI1998A111,Burundi,BI,Makamba,none,Makamba,Beans (mixed),Season C,1996,6,1996,11,none,production,448.0,0
6972,BI1998A111,Burundi,BI,Makamba,none,Makamba,Maize,Season B,1996,2,1996,8,none,production,205.0,0
9396,BI1998A114,Burundi,BI,Mwaro,none,Mwaro,Sweet Potatoes,Season B,1996,2,1996,8,none,production,31034.905085557206,0
11518,BI1998A117,Burundi,BI,Ruyigi,none,Ruyigi,Beans (mixed),Season C,1996,6,1996,11,none,production,251.0,0
3182,BI1998A106,Burundi,BI,Cibitoke,none,Cibitoke,Maize,Season C,1996,6,1996,11,none,production,131.0,0
11000,BI1998A116,Burundi,BI,Rutana,none,Rutana,Wheat,Season B,1996,2,1996,8,none,production,10.0,0
9358,BI1998A114,Burundi,BI,Mwaro,none,Mwaro,Sorghum,Season B,1996,2,1996,8,none,production,1423.8804282051806,0
7906,BI1998A112,Burundi,BI,Muramvya,none,Muramvya,Sorghum,Season B,1996,2,1996,8,none,production,2657.1195717948194,0
7178,BI1998A111,Burundi,BI,Makamba,none,Makamba,Sweet Potatoes,Season B,1996,2,1996,8,none,production,3248.0,0
6308,BI1998A110,Burundi,BI,Kirundo,none,Kirundo,Taro,Season B,1996,2,1996,8,none,production,2182.0,0
7892,BI1998A112,Burundi,BI,Muramvya,none,Muramvya,Pea,Season B,1996,2,1996,8,none,production,1194.232915280266,0
3196,BI1998A106,Burundi,BI,Cibitoke,none,Cibitoke,Maize,Season B,1996,2,1996,8,none,production,2808.0,0
5043,BI1998A108,Burundi,BI,Karuzi,none,Karuzi,Millet,Season B,1996,2,1996,8,none,production,188.0,0
575,BI1998A101,Burundi,BI,Bubanza,none,Bubanza,Rice (not husked),Season B,1996,2,1996,8,none,production,5938.0,0
10989,BI1998A116,Burundi,BI,Rutana,none,Rutana,Potato,Season B,1996,2,1996,8,none,production,190.0,0
11532,BI1998A117,Burundi,BI,Ruyigi,none,Ruyigi,Beans (mixed),Season B,1996,2,1996,8,none,production,8053.0,0
9384,BI1998A114,Burundi,BI,Mwaro,none,Mwaro,Sweet Potatoes,Season C,1996,6,1996,11,none,production,2035.9599560602908,0
6958,BI1998A111,Burundi,BI,Makamba,none,Makamba,Maize,Season C,1996,6,1996,11,none,production,585.0,0
1074,BI1998A103,Burundi,BI,Bujumbura Rural,none,Bujumbura Rural,Taro,Season B,1996,2,1996,8,none,production,5483.0,0
8455,BI1998A113,Burundi,BI,Muyinga,none,Muyinga,Maize,Season C,1996,6,1996,11,none,production,502.0,0
7723,BI1998A112,Burundi,BI,Muramvya,none,Muramvya,Maize,Season C,1996,6,1996,11,none,production,1712.218141816536,0
560,BI1998A101,Burundi,BI,Bubanza,none,Bubanza,Sorghum,Season B,1996,2,1996,8,none,production,362.0,0
8532,BI1998A113,Burundi,BI,Muyinga,none,Muyinga,Beans (mixed),Season C,1996,6,1996,11,none,production,1194.0,0
9474,BI1998A114,Burundi,BI,Mwaro,none,Mwaro,Wheat,Season B,1996,2,1996,8,none,production,737.2150134982148,0
10917,BI1998A116,Burundi,BI,Rutana,none,Rutana,Banana,Season C,1996,6,1996,11,none,production,1744.9,0
10720,BI1998A116,Burundi,BI,Rutana,none,Rutana,Taro,Season B,1996,2,1996,8,none,production,1107.0,0
4246,BI1998A107,Burundi,BI,Gitega,none,Gitega,Potato,Season B,1996,2,1996,8,none,production,58.0,0
8713,BI1998A113,Burundi,BI,Muyinga,none,Muyinga,Banana,Season B,1996,2,1996,8,none,production,83605.0,0
4224,BI1998A107,Burundi,BI,Gitega,none,Gitega,Yams,Season B,1996,2,1996,8,none,production,2455.0,0
8059,BI1998A112,Burundi,BI,Muramvya,none,Muramvya,Millet,Season B,1996,2,1996,8,none,production,370.3555297688119,0
3344,BI1998A106,Burundi,BI,Cibitoke,none,Cibitoke,Pea,Season B,1996,2,1996,8,none,production,314.0,0
11606,BI1998A117,Burundi,BI,Ruyigi,none,Ruyigi,Sorghum,Season B,1996,2,1996,8,none,production,4171.0,0
7091,BI1998A111,Burundi,BI,Makamba,none,Makamba,Cassava,Season B,1996,2,1996,8,none,production,11245.0,0
8701,BI1998A113,Burundi,BI,Muyinga,none,Muyinga,Banana,Season C,1996,6,1996,11,none,production,50163.0,0
3358,BI1998A106,Burundi,BI,Cibitoke,none,Cibitoke,Sorghum,Season B,1996,2,1996,8,none,production,542.0,0
4181,BI1998A107,Burundi,BI,Gitega,none,Gitega,Banana,Season B,1996,2,1996,8,none,production,4354.4,0
3372,BI1998A106,Burundi,BI,Cibitoke,none,Cibitoke,Rice (not husked),Season B,1996,2,1996,8,none,production,5245.0,0
7149,BI1998A111,Burundi,BI,Makamba,none,Makamba,Rice (not husked),Season B,1996,2,1996,8,none,production,1936.0,0
10748,BI1998A116,Burundi,BI,Rutana,none,Rutana,Beans (mixed),Season C,1996,6,1996,11,none,production,376.0,0
8674,BI1998A113,Burundi,BI,Muyinga,none,Muyinga,Sweet Potatoes,Season B,1996,2,1996,8,none,production,19366.0,0
