,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,QC_flag
0,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Rice,Main,2014,4,2014,9,none,area,716.97127537,0
1,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Rice,Main,2014,4,2014,9,none,production,811.2470681,0
2,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Rice,Main,2014,4,2014,9,none,yield,1.1314917291231061,0
3,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Rice,Main,2015,4,2015,9,none,area,926.48102664,0
4,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Rice,Main,2015,4,2015,9,none,production,1019.1291293,0
5,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Rice,Main,2015,4,2015,9,none,yield,1.0999999999956827,0
6,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Rice,Main,2016,4,2016,9,none,area,1019.1291293,0
7,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Rice,Main,2016,4,2016,9,none,production,1121.04204223,0
8,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Rice,Main,2016,4,2016,9,none,yield,1.1,0
9,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Groundnuts (In Shell),Main,2014,4,2014,9,none,area,28920.14989776,0
10,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Groundnuts (In Shell),Main,2014,4,2014,9,none,production,29616.99687115,0
11,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Groundnuts (In Shell),Main,2014,4,2014,9,none,yield,1.0240955519198045,0
12,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Groundnuts (In Shell),Main,2015,4,2015,9,none,area,33134.0152496,0
