,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,QC_flag
0,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Yams,Annual,1998,6,1998,12,none,area,1070.0,0
1,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Yams,Annual,1998,6,1998,12,none,production,9533.0,0
2,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Yams,Annual,1998,6,1998,12,none,yield,8.909345794392523,0
3,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Yams,Annual,2005,6,2005,12,none,area,2236.0,0
4,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Yams,Annual,2005,6,2005,12,none,production,12092.0,0
5,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Yams,Annual,2005,6,2005,12,none,yield,5.4078711985688726,0
6,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Yams,Annual,2006,6,2006,12,none,area,2217.0,0
7,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Yams,Annual,2006,6,2006,12,none,production,11870.0,0
8,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Yams,Annual,2006,6,2006,12,none,yield,5.354082092918358,0
9,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Yams,Annual,2007,6,2007,12,none,area,2219.0,0
10,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Yams,Annual,2007,6,2007,12,none,production,12078.0,0
11,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Yams,Annual,2007,6,2007,12,none,yield,5.442992338891393,0
12,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Yams,Annual,2008,6,2008,12,none,area,2219.0,0
13,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Yams,Annual,2008,6,2008,12,none,production,12078.0,0
14,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Yams,Annual,2008,6,2008,12,none,yield,5.442992338891393,0
15,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Taro,Annual,2005,6,2005,12,none,area,15.0,0
16,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Taro,Annual,2005,6,2005,12,none,production,160.0,0
17,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Taro,Annual,2005,6,2005,12,none,yield,10.666666666666666,0
18,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Taro,Annual,2006,6,2006,12,none,area,15.0,0
19,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Taro,Annual,2006,6,2006,12,none,production,160.0,0
20,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Taro,Annual,2006,6,2006,12,none,yield,10.666666666666666,0
21,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Taro,Annual,2007,6,2007,12,none,area,15.0,0
22,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Taro,Annual,2007,6,2007,12,none,production,158.0,0
23,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Taro,Annual,2007,6,2007,12,none,yield,10.533333333333333,0
24,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Taro,Annual,2008,6,2008,12,none,area,12.0,0
25,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Taro,Annual,2008,6,2008,12,none,production,158.0,0
26,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Taro,Annual,2008,6,2008,12,none,yield,13.166666666666666,0
27,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,1999,6,1999,12,none,area,87.0,0
28,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,1999,6,1999,12,none,production,104.0,0
29,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,1999,6,1999,12,none,yield,1.1954022988505748,0
30,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,2000,6,2000,12,none,area,87.0,0
31,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,2000,6,2000,12,none,production,104.0,0
32,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,2000,6,2000,12,none,yield,1.1954022988505748,0
33,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,2001,6,2001,12,none,area,104.0,0
34,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,2001,6,2001,12,none,production,108.0,0
35,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,2001,6,2001,12,none,yield,1.0384615384615385,0
36,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,2002,6,2002,12,none,area,105.0,0
37,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,2002,6,2002,12,none,production,166.0,0
38,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,2002,6,2002,12,none,yield,1.5809523809523809,0
39,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,2003,6,2003,12,none,area,107.0,0
40,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,2003,6,2003,12,none,production,172.0,0
41,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,2003,6,2003,12,none,yield,1.6074766355140186,0
42,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,2004,6,2004,12,none,area,108.0,0
43,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,2004,6,2004,12,none,production,178.0,0
44,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,2004,6,2004,12,none,yield,1.6481481481481481,0
45,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,2005,6,2005,12,none,area,151.0,0
46,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,2005,6,2005,12,none,production,184.0,0
47,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,2005,6,2005,12,none,yield,1.218543046357616,0
48,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,2006,6,2006,12,none,area,151.0,0
49,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,2006,6,2006,12,none,production,184.0,0
50,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,2006,6,2006,12,none,yield,1.218543046357616,0
51,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,2007,6,2007,12,none,area,150.0,0
52,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,2007,6,2007,12,none,production,184.0,0
53,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,2007,6,2007,12,none,yield,1.2266666666666666,0
54,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,2008,6,2008,12,none,area,150.0,0
55,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,2008,6,2008,12,none,production,190.0,0
