,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,QC_flag
0,GH2018A102,Ghana,GH,Eastern,none,Eastern,Banana,Annual,1997,1,1997,12,All (PS),area,91000.0,0
1,GH2018A102,Ghana,GH,Eastern,none,Eastern,Banana,Annual,1997,1,1997,12,All (PS),production,818100.0,0
2,GH2018A102,Ghana,GH,Eastern,none,Eastern,Banana,Annual,1997,1,1997,12,All (PS),yield,8.99010989010989,0
3,GH2018A102,Ghana,GH,Eastern,none,Eastern,Banana,Annual,1998,1,1998,12,All (PS),area,96800.0,0
4,GH2018A102,Ghana,GH,Eastern,none,Eastern,Banana,Annual,1998,1,1998,12,All (PS),production,817000.0,0
5,GH2018A102,Ghana,GH,Eastern,none,Eastern,Banana,Annual,1998,1,1998,12,All (PS),yield,8.440082644628099,0
6,GH2018A102,Ghana,GH,Eastern,none,Eastern,Banana,Annual,1999,1,1999,12,All (PS),area,93119.0,0
7,GH2018A102,Ghana,GH,Eastern,none,Eastern,Banana,Annual,1999,1,1999,12,All (PS),production,758986.0,0
8,GH2018A102,Ghana,GH,Eastern,none,Eastern,Banana,Annual,1999,1,1999,12,All (PS),yield,8.150710381340005,0
9,GH2018A102,Ghana,GH,Eastern,none,Eastern,Banana,Annual,2000,1,2000,12,All (PS),area,70000.0,0
10,GH2018A102,Ghana,GH,Eastern,none,Eastern,Banana,Annual,2000,1,2000,12,All (PS),production,556774.0,0
11,GH2018A102,Ghana,GH,Eastern,none,Eastern,Banana,Annual,2000,1,2000,12,All (PS),yield,7.953914285714285,0
12,GH2018A102,Ghana,GH,Eastern,none,Eastern,Banana,Annual,2001,1,2001,12,All (PS),area,84000.0,0
13,GH2018A102,Ghana,GH,Eastern,none,Eastern,Banana,Annual,2001,1,2001,12,All (PS),production,592800.0,0
14,GH2018A102,Ghana,GH,Eastern,none,Eastern,Banana,Annual,2001,1,2001,12,All (PS),yield,7.057142857142857,0
