,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,QC_flag
0,GN1990A20101,Guinea,GN,Boke,Boffa,Boffa,Cassava,Main,2010,5,2010,12,none,production,7316.0,0
1,GN1990A20101,Guinea,GN,Boke,Boffa,Boffa,Cassava,Main,2011,5,2011,12,none,production,7683.0,0
2,GN1990A20101,Guinea,GN,Boke,Boffa,Boffa,Cassava,Main,2012,5,2012,12,none,production,8069.0,0
3,GN1990A20101,Guinea,GN,Boke,Boffa,Boffa,Cassava,Main,2013,5,2013,12,none,production,8474.0,0
4,GN1990A20101,Guinea,GN,Boke,Boffa,Boffa,Cassava,Main,2014,5,2014,12,none,production,8900.0,0
5,GN1990A20101,Guinea,GN,Boke,Boffa,Boffa,Cassava,Main,2015,5,2015,12,none,production,9347.0,0
6,GN1990A20101,Guinea,GN,Boke,Boffa,Boffa,Groundnuts (In Shell),Main,2010,5,2010,12,none,production,8007.0,0
7,GN1990A20101,Guinea,GN,Boke,Boffa,Boffa,Groundnuts (In Shell),Main,2011,5,2011,12,none,production,8567.0,0
8,GN1990A20101,Guinea,GN,Boke,Boffa,Boffa,Groundnuts (In Shell),Main,2012,5,2012,12,none,production,9167.0,0
9,GN1990A20101,Guinea,GN,Boke,Boffa,Boffa,Groundnuts (In Shell),Main,2013,5,2013,12,none,production,9809.0,0
10,GN1990A20101,Guinea,GN,Boke,Boffa,Boffa,Groundnuts (In Shell),Main,2014,5,2014,12,none,production,10496.0,0
11,GN1990A20101,Guinea,GN,Boke,Boffa,Boffa,Groundnuts (In Shell),Main,2015,5,2015,12,none,production,11231.0,0
12,GN1990A20101,Guinea,GN,Boke,Boffa,Boffa,Rice,Main,2010,5,2010,12,none,production,70217.0,0
13,GN1990A20101,Guinea,GN,Boke,Boffa,Boffa,Rice,Main,2011,5,2011,12,none,production,74559.0,0
14,GN1990A20101,Guinea,GN,Boke,Boffa,Boffa,Rice,Main,2012,5,2012,12,none,production,79170.0,0
15,GN1990A20101,Guinea,GN,Boke,Boffa,Boffa,Rice,Main,2013,5,2013,12,none,production,84066.0,0
