,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,QC_flag
0,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,1982,1,1982,12,none,area,1000.0,0
10821,KE2013A132,Kenya,KE,Nakuru,none,Nakuru,Wheat,Annual,1982,1,1982,12,none,area,35980.0,0
1458,KE2013A106,Kenya,KE,Taita Taveta,none,Taita Taveta,Maize,Annual,1982,1,1982,12,none,area,8080.0,0
1459,KE2013A106,Kenya,KE,Taita Taveta,none,Taita Taveta,Maize,Annual,1982,1,1982,12,none,production,8888.0,0
1460,KE2013A106,Kenya,KE,Taita Taveta,none,Taita Taveta,Maize,Annual,1982,1,1982,12,none,yield,1.1,0
10769,KE2013A132,Kenya,KE,Nakuru,none,Nakuru,Beans (mixed),Annual,1982,1,1982,12,none,yield,0.5399824549564748,0
10768,KE2013A132,Kenya,KE,Nakuru,none,Nakuru,Beans (mixed),Annual,1982,1,1982,12,none,production,16004.0,0
10767,KE2013A132,Kenya,KE,Nakuru,none,Nakuru,Beans (mixed),Annual,1982,1,1982,12,none,area,29638.0,0
10535,KE2013A132,Kenya,KE,Nakuru,none,Nakuru,Maize,Annual,1982,1,1982,12,none,yield,1.4520248881126514,0
10534,KE2013A132,Kenya,KE,Nakuru,none,Nakuru,Maize,Annual,1982,1,1982,12,none,production,66510.0,0
10533,KE2013A132,Kenya,KE,Nakuru,none,Nakuru,Maize,Annual,1982,1,1982,12,none,area,45805.0,0
10428,KE2013A131,Kenya,KE,Laikipia,none,Laikipia,Wheat,Annual,1982,1,1982,12,none,yield,1.8901123595505618,0
10427,KE2013A131,Kenya,KE,Laikipia,none,Laikipia,Wheat,Annual,1982,1,1982,12,none,production,8411.0,0
10426,KE2013A131,Kenya,KE,Laikipia,none,Laikipia,Wheat,Annual,1982,1,1982,12,none,area,4450.0,0
10374,KE2013A131,Kenya,KE,Laikipia,none,Laikipia,Beans (mixed),Annual,1982,1,1982,12,none,yield,1.17,0
10373,KE2013A131,Kenya,KE,Laikipia,none,Laikipia,Beans (mixed),Annual,1982,1,1982,12,none,production,2574.0,0
10372,KE2013A131,Kenya,KE,Laikipia,none,Laikipia,Beans (mixed),Annual,1982,1,1982,12,none,area,2200.0,0
10138,KE2013A131,Kenya,KE,Laikipia,none,Laikipia,Maize,Annual,1982,1,1982,12,none,yield,2.519959266802444,0
10137,KE2013A131,Kenya,KE,Laikipia,none,Laikipia,Maize,Annual,1982,1,1982,12,none,production,24746.0,0
10136,KE2013A131,Kenya,KE,Laikipia,none,Laikipia,Maize,Annual,1982,1,1982,12,none,area,9820.0,0
10057,KE2013A130,Kenya,KE,Baringo,none,Baringo,Wheat,Annual,1982,1,1982,12,none,yield,1.799163179916318,0
10056,KE2013A130,Kenya,KE,Baringo,none,Baringo,Wheat,Annual,1982,1,1982,12,none,production,430.0,0
10822,KE2013A132,Kenya,KE,Nakuru,none,Nakuru,Wheat,Annual,1982,1,1982,12,none,production,64497.0,0
10823,KE2013A132,Kenya,KE,Nakuru,none,Nakuru,Wheat,Annual,1982,1,1982,12,none,yield,1.792579210672596,0
1421,KE2013A105,Kenya,KE,Lamu,none,Lamu,Sorghum,Annual,1982,1,1982,12,none,yield,0.6,0
