,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,QC_flag
0,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,1997,4,1997,12,none,area,1348.0,0
1,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,1997,4,1997,12,none,production,1840.0,0
2,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,1997,4,1997,12,none,yield,1.3649851632047478,0
3,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,2008,4,2008,12,none,area,9730.0,0
4,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,2008,4,2008,12,none,production,12740.0,0
5,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,2008,4,2008,12,none,yield,1.3093525179856116,0
6,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,2009,4,2009,12,none,area,8870.0,0
7,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,2009,4,2009,12,none,production,10640.0,0
8,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,2009,4,2009,12,none,yield,1.1995490417136414,0
9,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,2010,4,2010,12,none,area,8700.0,0
10,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,2010,4,2010,12,none,production,8700.0,0
11,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,2010,4,2010,12,none,yield,1.0,0
12,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,2011,4,2011,12,none,area,7040.0,0
13,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,2011,4,2011,12,none,production,7390.0,0
14,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,2011,4,2011,12,none,yield,1.0497159090909092,0
15,LR2008A103,Liberia,LR,Bomi,none,Bomi,Cassava,Main,1997,4,1997,12,none,area,809.0,0
16,LR2008A103,Liberia,LR,Bomi,none,Bomi,Cassava,Main,1997,4,1997,12,none,production,4200.0,0
17,LR2008A103,Liberia,LR,Bomi,none,Bomi,Cassava,Main,1997,4,1997,12,none,yield,5.19159456118665,0
18,LR2008A103,Liberia,LR,Bomi,none,Bomi,Cassava,Main,2008,4,2008,12,none,area,2200.0,0
19,LR2008A103,Liberia,LR,Bomi,none,Bomi,Cassava,Main,2008,4,2008,12,none,production,23050.0,0
20,LR2008A103,Liberia,LR,Bomi,none,Bomi,Cassava,Main,2008,4,2008,12,none,yield,10.477272727272727,0
21,LR2008A103,Liberia,LR,Bomi,none,Bomi,Cassava,Main,2010,4,2010,12,none,area,2500.0,0
22,LR2008A103,Liberia,LR,Bomi,none,Bomi,Cassava,Main,2010,4,2010,12,none,production,15150.0,0
23,LR2008A103,Liberia,LR,Bomi,none,Bomi,Cassava,Main,2010,4,2010,12,none,yield,6.06,0
24,LR2008A103,Liberia,LR,Bomi,none,Bomi,Cassava,Main,2011,4,2011,12,none,area,2060.0,0
25,LR2008A103,Liberia,LR,Bomi,none,Bomi,Cassava,Main,2011,4,2011,12,none,production,14420.0,0
26,LR2008A103,Liberia,LR,Bomi,none,Bomi,Cassava,Main,2011,4,2011,12,none,yield,7.0,0
27,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,1995,4,1995,12,none,production,1800.0,0
28,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,1996,4,1996,12,none,production,200.0,0
29,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,2012,4,2012,12,none,production,7570.0,0
30,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,2013,4,2013,12,none,production,7470.0,0
31,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,2014,4,2014,12,none,production,7990.0,0
32,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,2015,4,2015,12,none,production,8430.0,0
33,LR2008A103,Liberia,LR,Bomi,none,Bomi,Cassava,Main,2012,4,2012,12,none,production,14530.0,0
34,LR2008A103,Liberia,LR,Bomi,none,Bomi,Cassava,Main,2013,4,2013,12,none,production,14510.0,0
35,LR2008A103,Liberia,LR,Bomi,none,Bomi,Cassava,Main,2014,4,2014,12,none,production,15130.0,0
36,LR2008A103,Liberia,LR,Bomi,none,Bomi,Cassava,Main,2015,4,2015,12,none,production,18210.0,0
37,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,1997,4,1997,12,none,area,32730.0,0
38,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,1997,4,1997,12,none,production,45500.0,0
39,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,1997,4,1997,12,none,yield,1.3901619309501987,0
40,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,2008,4,2008,12,none,area,34130.0,0
41,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,2008,4,2008,12,none,production,46760.0,0
42,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,2008,4,2008,12,none,yield,1.3700556694989745,0
43,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,2009,4,2009,12,none,area,43890.0,0
44,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,2009,4,2009,12,none,production,55740.0,0
45,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,2009,4,2009,12,none,yield,1.269993164730007,0
46,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,2010,4,2010,12,none,area,46020.0,0
47,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,2010,4,2010,12,none,production,58440.0,0
48,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,2010,4,2010,12,none,yield,1.2698826597131683,0
49,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,2011,4,2011,12,none,area,47580.0,0
50,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,2011,4,2011,12,none,production,60900.0,0
51,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,2011,4,2011,12,none,yield,1.2799495586380831,0
52,LR2008A106,Liberia,LR,Bong,none,Bong,Cassava,Main,1997,4,1997,12,none,area,5728.0,0
53,LR2008A106,Liberia,LR,Bong,none,Bong,Cassava,Main,1997,4,1997,12,none,production,30360.0,0
54,LR2008A106,Liberia,LR,Bong,none,Bong,Cassava,Main,1997,4,1997,12,none,yield,5.300279329608938,0
55,LR2008A106,Liberia,LR,Bong,none,Bong,Cassava,Main,2008,4,2008,12,none,area,5070.0,0
56,LR2008A106,Liberia,LR,Bong,none,Bong,Cassava,Main,2008,4,2008,12,none,production,36320.0,0
57,LR2008A106,Liberia,LR,Bong,none,Bong,Cassava,Main,2008,4,2008,12,none,yield,7.16370808678501,0
58,LR2008A106,Liberia,LR,Bong,none,Bong,Cassava,Main,2010,4,2010,12,none,area,7000.0,0
59,LR2008A106,Liberia,LR,Bong,none,Bong,Cassava,Main,2010,4,2010,12,none,production,55790.0,0
60,LR2008A106,Liberia,LR,Bong,none,Bong,Cassava,Main,2010,4,2010,12,none,yield,7.97,0
61,LR2008A106,Liberia,LR,Bong,none,Bong,Cassava,Main,2011,4,2011,12,none,area,8470.0,0
62,LR2008A106,Liberia,LR,Bong,none,Bong,Cassava,Main,2011,4,2011,12,none,production,71150.0,0
63,LR2008A106,Liberia,LR,Bong,none,Bong,Cassava,Main,2011,4,2011,12,none,yield,8.400236127508855,0
64,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,1995,4,1995,12,none,production,12100.0,0
65,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,1996,4,1996,12,none,production,28200.0,0
66,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,2012,4,2012,12,none,production,62370.0,0
67,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,2013,4,2013,12,none,production,56430.0,0
68,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,2014,4,2014,12,none,production,58230.0,0
69,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,2015,4,2015,12,none,production,58900.0,0
70,LR2008A106,Liberia,LR,Bong,none,Bong,Cassava,Main,2012,4,2012,12,none,production,71660.0,0
71,LR2008A106,Liberia,LR,Bong,none,Bong,Cassava,Main,2013,4,2013,12,none,production,73180.0,0
72,LR2008A106,Liberia,LR,Bong,none,Bong,Cassava,Main,2014,4,2014,12,none,production,83460.0,0
73,LR2008A106,Liberia,LR,Bong,none,Bong,Cassava,Main,2015,4,2015,12,none,production,84160.0,0
74,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Rice,Main,1997,4,1997,12,none,area,18614.0,0
75,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Rice,Main,1997,4,1997,12,none,production,19610.0,0
76,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Rice,Main,1997,4,1997,12,none,yield,1.0535081121736327,0
77,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Rice,Main,2008,4,2008,12,none,area,12440.0,0
78,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Rice,Main,2008,4,2008,12,none,production,13060.0,0
79,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Rice,Main,2008,4,2008,12,none,yield,1.04983922829582,0
80,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Rice,Main,2009,4,2009,12,none,area,12530.0,0
81,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Rice,Main,2009,4,2009,12,none,production,12530.0,0
82,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Rice,Main,2009,4,2009,12,none,yield,1.0,0
83,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Rice,Main,2010,4,2010,12,none,area,12160.0,0
84,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Rice,Main,2010,4,2010,12,none,production,12400.0,0
85,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Rice,Main,2010,4,2010,12,none,yield,1.019736842105263,0
86,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Rice,Main,2011,4,2011,12,none,area,13640.0,0
87,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Rice,Main,2011,4,2011,12,none,production,15140.0,0
88,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Rice,Main,2011,4,2011,12,none,yield,1.1099706744868034,0
89,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Cassava,Main,1997,4,1997,12,none,area,5817.0,0
90,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Cassava,Main,1997,4,1997,12,none,production,38390.0,0
91,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Cassava,Main,1997,4,1997,12,none,yield,6.599621798177755,0
