,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,gscd_code
0,LS1980A101,Lesotho,LS,Berea,none,Berea,Sorghum,Summer,2021,10-01,2022,07-01,none,area,3985.0,reported
1,LS1980A101,Lesotho,LS,Berea,none,Berea,Sorghum,Summer,2021,10-01,2022,07-01,none,production,396.34,reported
2,LS1980A101,Lesotho,LS,Berea,none,Berea,Sorghum,Summer,2021,10-01,2022,07-01,none,yield,0.0994579673776662,reported
3,LS1980A101,Lesotho,LS,Berea,none,Berea,Maize,Summer,2021,10-01,2022,07-01,Foothills (PS),area,2960.0,reported
4,LS1980A101,Lesotho,LS,Berea,none,Berea,Maize,Summer,2021,10-01,2022,07-01,Foothills (PS),production,1009.42,reported
5,LS1980A101,Lesotho,LS,Berea,none,Berea,Maize,Summer,2021,10-01,2022,07-01,Foothills (PS),yield,0.3410202702702703,reported
6,LS1980A101,Lesotho,LS,Berea,none,Berea,Sorghum,Summer,2021,10-01,2022,07-01,Foothills (PS),area,639.0,reported
7,LS1980A101,Lesotho,LS,Berea,none,Berea,Sorghum,Summer,2021,10-01,2022,07-01,Foothills (PS),production,105.21,reported
8,LS1980A101,Lesotho,LS,Berea,none,Berea,Sorghum,Summer,2021,10-01,2022,07-01,Foothills (PS),yield,0.1646478873239436,reported
9,LS1980A101,Lesotho,LS,Berea,none,Berea,Maize,Summer,2021,10-01,2022,07-01,Mountains (PS),area,520.0,reported
10,LS1980A101,Lesotho,LS,Berea,none,Berea,Maize,Summer,2021,10-01,2022,07-01,Mountains (PS),production,291.56,reported
11,LS1980A101,Lesotho,LS,Berea,none,Berea,Maize,Summer,2021,10-01,2022,07-01,Mountains (PS),yield,0.5606923076923077,reported
12,LS1980A101,Lesotho,LS,Berea,none,Berea,Maize,Summer,2021,10-01,2022,07-01,none,area,37213.0,reported
13,LS1980A101,Lesotho,LS,Berea,none,Berea,Maize,Summer,2021,10-01,2022,07-01,none,production,29490.9,reported
14,LS1980A101,Lesotho,LS,Berea,none,Berea,Maize,Summer,2021,10-01,2022,07-01,none,yield,0.7924891838873512,reported
15,LS1980A101,Lesotho,LS,Berea,none,Berea,Sorghum,Summer,2020,10-01,2021,07-01,Foothills (PS),area,357.0,reported
16,LS1980A101,Lesotho,LS,Berea,none,Berea,Sorghum,Summer,2020,10-01,2021,07-01,Foothills (PS),production,673.0,reported
17,LS1980A101,Lesotho,LS,Berea,none,Berea,Sorghum,Summer,2020,10-01,2021,07-01,Foothills (PS),yield,1.885154062,reported
18,LS1980A101,Lesotho,LS,Berea,none,Berea,Maize,Summer,2020,10-01,2021,07-01,none,area,10873.0,reported
19,LS1980A101,Lesotho,LS,Berea,none,Berea,Maize,Summer,2020,10-01,2021,07-01,none,production,9280.0,reported
20,LS1980A101,Lesotho,LS,Berea,none,Berea,Maize,Summer,2020,10-01,2021,07-01,none,yield,0.8534902971,reported
21,LS1980A101,Lesotho,LS,Berea,none,Berea,Sorghum,Summer,2020,10-01,2021,07-01,none,area,856.0,reported
22,LS1980A101,Lesotho,LS,Berea,none,Berea,Sorghum,Summer,2020,10-01,2021,07-01,none,production,414.0,reported
23,LS1980A101,Lesotho,LS,Berea,none,Berea,Sorghum,Summer,2020,10-01,2021,07-01,none,yield,0.4836448598,reported
24,LS1980A101,Lesotho,LS,Berea,none,Berea,Maize,Summer,2020,10-01,2021,07-01,Foothills (PS),area,6329.0,reported
25,LS1980A101,Lesotho,LS,Berea,none,Berea,Maize,Summer,2020,10-01,2021,07-01,Foothills (PS),production,12528.0,reported
26,LS1980A101,Lesotho,LS,Berea,none,Berea,Maize,Summer,2020,10-01,2021,07-01,Foothills (PS),yield,1.97945963,reported
27,LS1980A101,Lesotho,LS,Berea,none,Berea,Wheat,Winter,2021,05-01,2021,11-01,none,area,5.0,reported
28,LS1980A101,Lesotho,LS,Berea,none,Berea,Wheat,Winter,2021,05-01,2021,11-01,none,production,2.0,reported
29,LS1980A101,Lesotho,LS,Berea,none,Berea,Wheat,Winter,2021,05-01,2021,11-01,none,yield,0.4,reported
30,LS1980A101,Lesotho,LS,Berea,none,Berea,Maize,Winter,2021,05-01,2021,11-01,none,area,316.0,reported
