,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,QC_flag
12128,MG2009A20618,Madagascar,MG,Toliara,Menabe,Menabe,Sugarcane,Annual,1987,11,1987,6,All (PS),production,224822.0,0
7230,MG2009A20411,Madagascar,MG,Mahajanga,Boeny,Boeny,Sugarcane,Annual,1987,11,1987,6,All (PS),production,207360.0,0
9966,MG2009A20509,Madagascar,MG,Toamasina,Atsinanana,Atsinanana,Sugarcane,Annual,1987,11,1987,6,All (PS),production,109879.0,0
2865,MG2009A20213,Madagascar,MG,Antsiranana,Diana,Diana,Sugarcane,Annual,1987,11,1987,6,All (PS),production,476452.0,0
9967,MG2009A20509,Madagascar,MG,Toamasina,Atsinanana,Atsinanana,Sugarcane,Annual,1988,11,1988,6,All (PS),production,112435.0,0
12129,MG2009A20618,Madagascar,MG,Toliara,Menabe,Menabe,Sugarcane,Annual,1988,11,1988,6,All (PS),production,204515.0,0
7231,MG2009A20411,Madagascar,MG,Mahajanga,Boeny,Boeny,Sugarcane,Annual,1988,11,1988,6,All (PS),production,221748.0,0
2866,MG2009A20213,Madagascar,MG,Antsiranana,Diana,Diana,Sugarcane,Annual,1988,11,1988,6,All (PS),production,588776.0,0
7232,MG2009A20411,Madagascar,MG,Mahajanga,Boeny,Boeny,Sugarcane,Annual,1989,11,1989,6,All (PS),production,222994.0,0
2867,MG2009A20213,Madagascar,MG,Antsiranana,Diana,Diana,Sugarcane,Annual,1989,11,1989,6,All (PS),production,622887.0,0
9968,MG2009A20509,Madagascar,MG,Toamasina,Atsinanana,Atsinanana,Sugarcane,Annual,1989,11,1989,6,All (PS),production,109880.0,0
12130,MG2009A20618,Madagascar,MG,Toliara,Menabe,Menabe,Sugarcane,Annual,1989,11,1989,6,All (PS),production,175171.0,0
8437,MG2009A20501,Madagascar,MG,Toamasina,Alaotra-Mangoro,Alaotra-Mangoro,Cassava,Annual,1990,11,1990,6,All (PS),area,8698.0,0
8438,MG2009A20501,Madagascar,MG,Toamasina,Alaotra-Mangoro,Alaotra-Mangoro,Cassava,Annual,1990,11,1990,6,All (PS),production,72111.0,0
0,MG2009A20103,Madagascar,MG,Antananarivo,Analamanga,Analamanga,Sweet Potatoes,Annual,1990,11,1990,6,All (PS),area,5897.0,0
8491,MG2009A20501,Madagascar,MG,Toamasina,Alaotra-Mangoro,Alaotra-Mangoro,Sugarcane,Annual,1990,11,1990,6,All (PS),area,1776.0,0
8492,MG2009A20501,Madagascar,MG,Toamasina,Alaotra-Mangoro,Alaotra-Mangoro,Sugarcane,Annual,1990,11,1990,6,All (PS),production,43571.0,0
8493,MG2009A20501,Madagascar,MG,Toamasina,Alaotra-Mangoro,Alaotra-Mangoro,Sugarcane,Annual,1990,11,1990,6,All (PS),yield,24.53322072072072,0
1487,MG2009A20116,Madagascar,MG,Antananarivo,Itasy,Itasy,Groundnuts (In Shell),Annual,1990,11,1990,6,All (PS),yield,0.9717895465559017,0
1486,MG2009A20116,Madagascar,MG,Antananarivo,Itasy,Itasy,Groundnuts (In Shell),Annual,1990,11,1990,6,All (PS),production,5615.0,0
1485,MG2009A20116,Madagascar,MG,Antananarivo,Itasy,Itasy,Groundnuts (In Shell),Annual,1990,11,1990,6,All (PS),area,5778.0,0
8439,MG2009A20501,Madagascar,MG,Toamasina,Alaotra-Mangoro,Alaotra-Mangoro,Cassava,Annual,1990,11,1990,6,All (PS),yield,8.290526557829386,0
8385,MG2009A20501,Madagascar,MG,Toamasina,Alaotra-Mangoro,Alaotra-Mangoro,Maize,Annual,1990,11,1990,6,All (PS),yield,1.0699362868573121,0
1548,MG2009A20116,Madagascar,MG,Antananarivo,Itasy,Itasy,Potato,Annual,1990,11,1990,6,All (PS),yield,6.1526592252133945,0
1546,MG2009A20116,Madagascar,MG,Antananarivo,Itasy,Itasy,Potato,Annual,1990,11,1990,6,All (PS),area,3046.0,0
1547,MG2009A20116,Madagascar,MG,Antananarivo,Itasy,Itasy,Potato,Annual,1990,11,1990,6,All (PS),production,18741.0,0
8554,MG2009A20501,Madagascar,MG,Toamasina,Alaotra-Mangoro,Alaotra-Mangoro,Coffee,Annual,1990,11,1990,6,All (PS),area,5005.0,0
8383,MG2009A20501,Madagascar,MG,Toamasina,Alaotra-Mangoro,Alaotra-Mangoro,Maize,Annual,1990,11,1990,6,All (PS),area,6749.0,0
8333,MG2009A20501,Madagascar,MG,Toamasina,Alaotra-Mangoro,Alaotra-Mangoro,Sweet Potatoes,Annual,1990,11,1990,6,All (PS),yield,7.888495575221239,0
8332,MG2009A20501,Madagascar,MG,Toamasina,Alaotra-Mangoro,Alaotra-Mangoro,Sweet Potatoes,Annual,1990,11,1990,6,All (PS),production,4457.0,0
8331,MG2009A20501,Madagascar,MG,Toamasina,Alaotra-Mangoro,Alaotra-Mangoro,Sweet Potatoes,Annual,1990,11,1990,6,All (PS),area,565.0,0
1598,MG2009A20116,Madagascar,MG,Antananarivo,Itasy,Itasy,Rice,Annual,1990,11,1990,6,All (PS),area,36560.0,0
1599,MG2009A20116,Madagascar,MG,Antananarivo,Itasy,Itasy,Rice,Annual,1990,11,1990,6,All (PS),production,98510.0,0
1600,MG2009A20116,Madagascar,MG,Antananarivo,Itasy,Itasy,Rice,Annual,1990,11,1990,6,All (PS),yield,2.6944748358862145,0
8384,MG2009A20501,Madagascar,MG,Toamasina,Alaotra-Mangoro,Alaotra-Mangoro,Maize,Annual,1990,11,1990,6,All (PS),production,7221.0,0
8555,MG2009A20501,Madagascar,MG,Toamasina,Alaotra-Mangoro,Alaotra-Mangoro,Coffee,Annual,1990,11,1990,6,All (PS),production,1664.0,0
8610,MG2009A20501,Madagascar,MG,Toamasina,Alaotra-Mangoro,Alaotra-Mangoro,Beans (mixed),Annual,1990,11,1990,6,All (PS),yield,0.8700501952035694,0
8608,MG2009A20501,Madagascar,MG,Toamasina,Alaotra-Mangoro,Alaotra-Mangoro,Beans (mixed),Annual,1990,11,1990,6,All (PS),area,1793.0,0
8976,MG2009A20504,Madagascar,MG,Toamasina,Analanjirofo,Analanjirofo,Maize,Annual,1990,11,1990,6,All (PS),production,2518.0,0
8975,MG2009A20504,Madagascar,MG,Toamasina,Analanjirofo,Analanjirofo,Maize,Annual,1990,11,1990,6,All (PS),area,2645.0,0
1307,MG2009A20116,Madagascar,MG,Antananarivo,Itasy,Itasy,Sugarcane,Annual,1990,11,1990,6,All (PS),area,1346.0,0
1308,MG2009A20116,Madagascar,MG,Antananarivo,Itasy,Itasy,Sugarcane,Annual,1990,11,1990,6,All (PS),production,22793.0,0
1309,MG2009A20116,Madagascar,MG,Antananarivo,Itasy,Itasy,Sugarcane,Annual,1990,11,1990,6,All (PS),yield,16.933878157503713,0
8923,MG2009A20504,Madagascar,MG,Toamasina,Analanjirofo,Analanjirofo,Sweet Potatoes,Annual,1990,11,1990,6,All (PS),yield,4.4047445255474456,0
8922,MG2009A20504,Madagascar,MG,Toamasina,Analanjirofo,Analanjirofo,Sweet Potatoes,Annual,1990,11,1990,6,All (PS),production,12069.0,0
8921,MG2009A20504,Madagascar,MG,Toamasina,Analanjirofo,Analanjirofo,Sweet Potatoes,Annual,1990,11,1990,6,All (PS),area,2740.0,0
8788,MG2009A20501,Madagascar,MG,Toamasina,Alaotra-Mangoro,Alaotra-Mangoro,Rice,Annual,1990,11,1990,6,All (PS),yield,1.901480784045194,0
8787,MG2009A20501,Madagascar,MG,Toamasina,Alaotra-Mangoro,Alaotra-Mangoro,Rice,Annual,1990,11,1990,6,All (PS),production,222150.0,0
8786,MG2009A20501,Madagascar,MG,Toamasina,Alaotra-Mangoro,Alaotra-Mangoro,Rice,Annual,1990,11,1990,6,All (PS),area,116830.0,0
8736,MG2009A20501,Madagascar,MG,Toamasina,Alaotra-Mangoro,Alaotra-Mangoro,Potato,Annual,1990,11,1990,6,All (PS),yield,3.2755102040816326,0
8735,MG2009A20501,Madagascar,MG,Toamasina,Alaotra-Mangoro,Alaotra-Mangoro,Potato,Annual,1990,11,1990,6,All (PS),production,963.0,0
1370,MG2009A20116,Madagascar,MG,Antananarivo,Itasy,Itasy,Coffee,Annual,1990,11,1990,6,All (PS),area,281.0,0
1371,MG2009A20116,Madagascar,MG,Antananarivo,Itasy,Itasy,Coffee,Annual,1990,11,1990,6,All (PS),production,97.0,0
1372,MG2009A20116,Madagascar,MG,Antananarivo,Itasy,Itasy,Coffee,Annual,1990,11,1990,6,All (PS),yield,0.34519572953736655,0
8734,MG2009A20501,Madagascar,MG,Toamasina,Alaotra-Mangoro,Alaotra-Mangoro,Potato,Annual,1990,11,1990,6,All (PS),area,294.0,0
8673,MG2009A20501,Madagascar,MG,Toamasina,Alaotra-Mangoro,Alaotra-Mangoro,Groundnuts (In Shell),Annual,1990,11,1990,6,All (PS),yield,0.7316094516272849,0
8672,MG2009A20501,Madagascar,MG,Toamasina,Alaotra-Mangoro,Alaotra-Mangoro,Groundnuts (In Shell),Annual,1990,11,1990,6,All (PS),production,1641.0,0
8671,MG2009A20501,Madagascar,MG,Toamasina,Alaotra-Mangoro,Alaotra-Mangoro,Groundnuts (In Shell),Annual,1990,11,1990,6,All (PS),area,2243.0,0
1422,MG2009A20116,Madagascar,MG,Antananarivo,Itasy,Itasy,Beans (mixed),Annual,1990,11,1990,6,All (PS),area,3079.0,0
1423,MG2009A20116,Madagascar,MG,Antananarivo,Itasy,Itasy,Beans (mixed),Annual,1990,11,1990,6,All (PS),production,2390.0,0
1424,MG2009A20116,Madagascar,MG,Antananarivo,Itasy,Itasy,Beans (mixed),Annual,1990,11,1990,6,All (PS),yield,0.7762260474179928,0
8199,MG2009A20420,Madagascar,MG,Mahajanga,Sofia,Sofia,Rice,Annual,1990,11,1990,6,All (PS),yield,2.233141148836216,0
