,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,QC_flag
0,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1982,6,1982,12,All (PS),area,15068.0,0
1,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1982,6,1982,12,All (PS),production,18081.0,0
2,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1982,6,1982,12,All (PS),yield,1.1999601805149986,0
3,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1983,6,1983,12,All (PS),area,77044.0,0
4,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1983,6,1983,12,All (PS),production,46889.0,0
5,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1983,6,1983,12,All (PS),yield,0.6086002803592753,0
6,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1984,6,1984,12,All (PS),area,20897.0,0
7,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1984,6,1984,12,All (PS),production,5087.0,0
8,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1984,6,1984,12,All (PS),yield,0.24343207158922334,0
9,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1985,6,1985,12,All (PS),area,28803.0,0
10,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1985,6,1985,12,All (PS),production,26213.0,0
11,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1985,6,1985,12,All (PS),yield,0.9100788112349408,0
12,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1986,6,1986,12,All (PS),area,12596.0,0
13,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1986,6,1986,12,All (PS),production,8494.0,0
14,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1986,6,1986,12,All (PS),yield,0.674341060654176,0
15,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1987,6,1987,12,All (PS),area,30825.0,0
16,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1987,6,1987,12,All (PS),production,32790.0,0
17,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1987,6,1987,12,All (PS),yield,1.0637469586374695,0
18,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1988,6,1988,12,All (PS),area,19791.0,0
19,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1988,6,1988,12,All (PS),production,11333.0,0
20,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1988,6,1988,12,All (PS),yield,0.572634025567177,0
21,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1989,6,1989,12,All (PS),area,22645.0,0
22,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1989,6,1989,12,All (PS),production,21113.0,0
23,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1989,6,1989,12,All (PS),yield,0.9323470964892913,0
24,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1990,6,1990,12,All (PS),area,13128.0,0
25,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1990,6,1990,12,All (PS),production,4629.0,0
26,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1990,6,1990,12,All (PS),yield,0.35260511882998175,0
27,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1991,6,1991,12,All (PS),area,15081.0,0
28,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1991,6,1991,12,All (PS),production,15377.0,0
29,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1991,6,1991,12,All (PS),yield,1.019627345666733,0
30,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1992,6,1992,12,All (PS),area,15081.0,0
31,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1992,6,1992,12,All (PS),production,15377.0,0
32,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1992,6,1992,12,All (PS),yield,1.019627345666733,0
33,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1993,6,1993,12,All (PS),area,20897.0,0
34,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1993,6,1993,12,All (PS),production,12608.0,0
35,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1993,6,1993,12,All (PS),yield,0.6033401923721108,0
36,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1994,6,1994,12,All (PS),area,36140.0,0
37,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1994,6,1994,12,All (PS),production,17672.0,0
38,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1994,6,1994,12,All (PS),yield,0.4889872717210847,0
39,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1995,6,1995,12,All (PS),area,29423.0,0
40,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1995,6,1995,12,All (PS),production,22590.0,0
41,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1995,6,1995,12,All (PS),yield,0.7677667131155899,0
42,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1996,6,1996,12,All (PS),area,38471.0,0
43,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1996,6,1996,12,All (PS),production,33750.0,0
44,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1996,6,1996,12,All (PS),yield,0.87728418808973,0
45,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1997,6,1997,12,All (PS),area,35216.0,0
46,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1997,6,1997,12,All (PS),production,28434.0,0
47,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1997,6,1997,12,All (PS),yield,0.8074170831440255,0
48,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1998,6,1998,12,All (PS),area,39534.0,0
49,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1998,6,1998,12,All (PS),production,31601.0,0
50,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1998,6,1998,12,All (PS),yield,0.7993372793038903,0
51,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1999,6,1999,12,All (PS),area,76443.0,0
52,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1999,6,1999,12,All (PS),production,69801.0,0
53,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,1999,6,1999,12,All (PS),yield,0.9131117303088576,0
54,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,2000,6,2000,12,All (PS),area,18633.0,0
55,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,2000,6,2000,12,All (PS),production,13897.0,0
56,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,2000,6,2000,12,All (PS),yield,0.7458272956582408,0
57,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,2001,6,2001,12,All (PS),area,12704.0,0
58,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,2001,6,2001,12,All (PS),production,5743.0,0
59,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,2001,6,2001,12,All (PS),yield,0.4520623425692695,0
60,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,2002,6,2002,12,All (PS),area,59318.0,0
61,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,2002,6,2002,12,All (PS),production,40242.0,0
62,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,2002,6,2002,12,All (PS),yield,0.6784112748238309,0
63,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,2003,6,2003,12,All (PS),area,63108.0,0
64,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,2003,6,2003,12,All (PS),production,44885.0,0
65,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,2003,6,2003,12,All (PS),yield,0.7112410470938708,0
66,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,2004,6,2004,12,All (PS),area,53266.0,0
67,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,2004,6,2004,12,All (PS),production,57219.0,0
68,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,2004,6,2004,12,All (PS),yield,1.0742124432095521,0
69,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,2005,6,2005,12,All (PS),area,47457.0,0
70,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,2005,6,2005,12,All (PS),production,37610.0,0
71,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,2005,6,2005,12,All (PS),yield,0.7925069009840487,0
72,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,2006,6,2006,12,All (PS),area,76757.2839009852,0
73,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,2006,6,2006,12,All (PS),production,48689.6716508041,0
74,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,2006,6,2006,12,All (PS),yield,0.6343329150835045,0
75,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,2007,6,2007,12,All (PS),area,43116.0,0
76,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,2007,6,2007,12,All (PS),production,30136.0,0
77,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,2007,6,2007,12,All (PS),yield,0.6989516652750719,0
78,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,2008,6,2008,12,All (PS),area,52381.0,0
79,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,2008,6,2008,12,All (PS),production,36926.0,0
80,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,2008,6,2008,12,All (PS),yield,0.7049502682270289,0
81,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,2009,6,2009,12,All (PS),area,23734.0,0
82,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,2009,6,2009,12,All (PS),production,21135.0,0
83,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,2009,6,2009,12,All (PS),yield,0.8904946490267127,0
84,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,2010,6,2010,12,All (PS),area,61454.0,0
85,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,2010,6,2010,12,All (PS),production,54156.0,0
86,ML2016A101,Mali,ML,Kayes,none,Kayes,Millet,Main,2010,6,2010,12,All (PS),yield,0.8812445080873499,0
