,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,QC_flag
0,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Annual,1989,6,1989,11,All (PS),area,7393.0,0
1050,MR1990A104,Mauritania,MR,Gorgol,none,Gorgol,Maize,Annual,1989,6,1989,11,All (PS),yield,0.5998908296943232,0
1049,MR1990A104,Mauritania,MR,Gorgol,none,Gorgol,Maize,Annual,1989,6,1989,11,All (PS),production,1099.0,0
1048,MR1990A104,Mauritania,MR,Gorgol,none,Gorgol,Maize,Annual,1989,6,1989,11,All (PS),area,1832.0,0
472,MR1990A102,Mauritania,MR,Hodh el Gharbi,none,Hodh el Gharbi,Cowpea,Annual,1989,6,1989,11,All (PS),area,1121.0,0
473,MR1990A102,Mauritania,MR,Hodh el Gharbi,none,Hodh el Gharbi,Cowpea,Annual,1989,6,1989,11,All (PS),production,466.0,0
474,MR1990A102,Mauritania,MR,Hodh el Gharbi,none,Hodh el Gharbi,Cowpea,Annual,1989,6,1989,11,All (PS),yield,0.41570026761819806,0
496,MR1990A102,Mauritania,MR,Hodh el Gharbi,none,Hodh el Gharbi,Maize,Annual,1989,6,1989,11,All (PS),area,28.0,0
497,MR1990A102,Mauritania,MR,Hodh el Gharbi,none,Hodh el Gharbi,Maize,Annual,1989,6,1989,11,All (PS),production,17.0,0
498,MR1990A102,Mauritania,MR,Hodh el Gharbi,none,Hodh el Gharbi,Maize,Annual,1989,6,1989,11,All (PS),yield,0.6071428571428571,0
73,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Annual,1989,6,1989,11,All (PS),production,14016.0,0
72,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Annual,1989,6,1989,11,All (PS),area,39979.0,0
1026,MR1990A104,Mauritania,MR,Gorgol,none,Gorgol,Cowpea,Annual,1989,6,1989,11,All (PS),yield,0.499851411589896,0
1025,MR1990A104,Mauritania,MR,Gorgol,none,Gorgol,Cowpea,Annual,1989,6,1989,11,All (PS),production,1682.0,0
1024,MR1990A104,Mauritania,MR,Gorgol,none,Gorgol,Cowpea,Annual,1989,6,1989,11,All (PS),area,3365.0,0
2042,MR1990A106,Mauritania,MR,Trarza,none,Trarza,Maize,Annual,1989,6,1989,11,All (PS),area,38.0,0
2043,MR1990A106,Mauritania,MR,Trarza,none,Trarza,Maize,Annual,1989,6,1989,11,All (PS),production,23.0,0
2044,MR1990A106,Mauritania,MR,Trarza,none,Trarza,Maize,Annual,1989,6,1989,11,All (PS),yield,0.6052631578947368,0
2429,MR1990A110,Mauritania,MR,Guidimaka,none,Guidimaka,Maize,Annual,1989,6,1989,11,All (PS),yield,0.7158979391560353,0
2428,MR1990A110,Mauritania,MR,Guidimaka,none,Guidimaka,Maize,Annual,1989,6,1989,11,All (PS),production,1459.0,0
2427,MR1990A110,Mauritania,MR,Guidimaka,none,Guidimaka,Maize,Annual,1989,6,1989,11,All (PS),area,2038.0,0
1660,MR1990A105,Mauritania,MR,Brakna,none,Brakna,Cowpea,Annual,1989,6,1989,11,All (PS),yield,0.49984051036682614,0
1659,MR1990A105,Mauritania,MR,Brakna,none,Brakna,Cowpea,Annual,1989,6,1989,11,All (PS),production,1567.0,0
1658,MR1990A105,Mauritania,MR,Brakna,none,Brakna,Cowpea,Annual,1989,6,1989,11,All (PS),area,3135.0,0
2032,MR1990A106,Mauritania,MR,Trarza,none,Trarza,Cowpea,Annual,1989,6,1989,11,All (PS),yield,0.5,0
565,MR1990A103,Mauritania,MR,Assaba,none,Assaba,Millet,Annual,1989,6,1989,11,All (PS),area,295.0,0
2031,MR1990A106,Mauritania,MR,Trarza,none,Trarza,Cowpea,Annual,1989,6,1989,11,All (PS),production,61.0,0
1453,MR1990A105,Mauritania,MR,Brakna,none,Brakna,Millet,Annual,1989,6,1989,11,All (PS),area,1724.0,0
1515,MR1990A105,Mauritania,MR,Brakna,none,Brakna,Sorghum,Annual,1989,6,1989,11,All (PS),yield,0.7932054648804971,0
1514,MR1990A105,Mauritania,MR,Brakna,none,Brakna,Sorghum,Annual,1989,6,1989,11,All (PS),production,2386.2,0
1513,MR1990A105,Mauritania,MR,Brakna,none,Brakna,Sorghum,Annual,1989,6,1989,11,All (PS),area,3008.3,0
1682,MR1990A105,Mauritania,MR,Brakna,none,Brakna,Maize,Annual,1989,6,1989,11,All (PS),area,982.0,0
1683,MR1990A105,Mauritania,MR,Brakna,none,Brakna,Maize,Annual,1989,6,1989,11,All (PS),production,299.1,0
1684,MR1990A105,Mauritania,MR,Brakna,none,Brakna,Maize,Annual,1989,6,1989,11,All (PS),yield,0.30458248472505095,0
1997,MR1990A106,Mauritania,MR,Trarza,none,Trarza,Millet,Annual,1989,6,1989,11,All (PS),area,639.0,0
1998,MR1990A106,Mauritania,MR,Trarza,none,Trarza,Millet,Annual,1989,6,1989,11,All (PS),production,320.0,0
1999,MR1990A106,Mauritania,MR,Trarza,none,Trarza,Millet,Annual,1989,6,1989,11,All (PS),yield,0.5007824726134585,0
2000,MR1990A106,Mauritania,MR,Trarza,none,Trarza,Sorghum,Annual,1989,6,1989,11,All (PS),area,5966.0,0
2001,MR1990A106,Mauritania,MR,Trarza,none,Trarza,Sorghum,Annual,1989,6,1989,11,All (PS),production,3784.0,0
2002,MR1990A106,Mauritania,MR,Trarza,none,Trarza,Sorghum,Annual,1989,6,1989,11,All (PS),yield,0.6342608112638284,0
232,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Cowpea,Annual,1989,6,1989,11,All (PS),area,1873.0,0
233,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Cowpea,Annual,1989,6,1989,11,All (PS),production,761.0,0
234,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Cowpea,Annual,1989,6,1989,11,All (PS),yield,0.40630005339028297,0
259,MR1990A102,Mauritania,MR,Hodh el Gharbi,none,Hodh el Gharbi,Millet,Annual,1989,6,1989,11,All (PS),area,3076.0,0
260,MR1990A102,Mauritania,MR,Hodh el Gharbi,none,Hodh el Gharbi,Millet,Annual,1989,6,1989,11,All (PS),production,1230.0,0
261,MR1990A102,Mauritania,MR,Hodh el Gharbi,none,Hodh el Gharbi,Millet,Annual,1989,6,1989,11,All (PS),yield,0.39986996098829647,0
316,MR1990A102,Mauritania,MR,Hodh el Gharbi,none,Hodh el Gharbi,Sorghum,Annual,1989,6,1989,11,All (PS),area,28825.0,0
317,MR1990A102,Mauritania,MR,Hodh el Gharbi,none,Hodh el Gharbi,Sorghum,Annual,1989,6,1989,11,All (PS),production,23060.0,0
318,MR1990A102,Mauritania,MR,Hodh el Gharbi,none,Hodh el Gharbi,Sorghum,Annual,1989,6,1989,11,All (PS),yield,0.8,0
1455,MR1990A105,Mauritania,MR,Brakna,none,Brakna,Millet,Annual,1989,6,1989,11,All (PS),yield,0.5997679814385151,0
1454,MR1990A105,Mauritania,MR,Brakna,none,Brakna,Millet,Annual,1989,6,1989,11,All (PS),production,1034.0,0
2030,MR1990A106,Mauritania,MR,Trarza,none,Trarza,Cowpea,Annual,1989,6,1989,11,All (PS),area,122.0,0
566,MR1990A103,Mauritania,MR,Assaba,none,Assaba,Millet,Annual,1989,6,1989,11,All (PS),production,118.0,0
74,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Annual,1989,6,1989,11,All (PS),yield,0.35058405662973063,0
2273,MR1990A110,Mauritania,MR,Guidimaka,none,Guidimaka,Sorghum,Annual,1989,6,1989,11,All (PS),area,17050.0,0
749,MR1990A103,Mauritania,MR,Assaba,none,Assaba,Maize,Annual,1989,6,1989,11,All (PS),production,510.0,0
748,MR1990A103,Mauritania,MR,Assaba,none,Assaba,Maize,Annual,1989,6,1989,11,All (PS),area,865.0,0
567,MR1990A103,Mauritania,MR,Assaba,none,Assaba,Millet,Annual,1989,6,1989,11,All (PS),yield,0.4,0
2274,MR1990A110,Mauritania,MR,Guidimaka,none,Guidimaka,Sorghum,Annual,1989,6,1989,11,All (PS),production,17049.0,0
2275,MR1990A110,Mauritania,MR,Guidimaka,none,Guidimaka,Sorghum,Annual,1989,6,1989,11,All (PS),yield,0.9999413489736071,0
750,MR1990A103,Mauritania,MR,Assaba,none,Assaba,Maize,Annual,1989,6,1989,11,All (PS),yield,0.5895953757225434,0
2233,MR1990A110,Mauritania,MR,Guidimaka,none,Guidimaka,Millet,Annual,1989,6,1989,11,All (PS),yield,0.625,0
2232,MR1990A110,Mauritania,MR,Guidimaka,none,Guidimaka,Millet,Annual,1989,6,1989,11,All (PS),production,5.0,0
2231,MR1990A110,Mauritania,MR,Guidimaka,none,Guidimaka,Millet,Annual,1989,6,1989,11,All (PS),area,8.0,0
851,MR1990A104,Mauritania,MR,Gorgol,none,Gorgol,Millet,Annual,1989,6,1989,11,All (PS),area,207.0,0
2406,MR1990A110,Mauritania,MR,Guidimaka,none,Guidimaka,Cowpea,Annual,1989,6,1989,11,All (PS),area,3902.0,0
853,MR1990A104,Mauritania,MR,Gorgol,none,Gorgol,Millet,Annual,1989,6,1989,11,All (PS),yield,0.5024154589371981,0
2407,MR1990A110,Mauritania,MR,Guidimaka,none,Guidimaka,Cowpea,Annual,1989,6,1989,11,All (PS),production,1951.0,0
2408,MR1990A110,Mauritania,MR,Guidimaka,none,Guidimaka,Cowpea,Annual,1989,6,1989,11,All (PS),yield,0.5,0
852,MR1990A104,Mauritania,MR,Gorgol,none,Gorgol,Millet,Annual,1989,6,1989,11,All (PS),production,104.0,0
1,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Annual,1989,6,1989,11,All (PS),production,3696.0,0
593,MR1990A103,Mauritania,MR,Assaba,none,Assaba,Sorghum,Annual,1989,6,1989,11,All (PS),yield,0.704957525041207,0
2,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Annual,1989,6,1989,11,All (PS),yield,0.4999323684566482,0
592,MR1990A103,Mauritania,MR,Assaba,none,Assaba,Sorghum,Annual,1989,6,1989,11,All (PS),production,5560.0,0
915,MR1990A104,Mauritania,MR,Gorgol,none,Gorgol,Sorghum,Annual,1989,6,1989,11,All (PS),area,25399.0,0
