,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,gscd_code
0,MW1998A20101,Malawi,MW,Northern,Chitipa,Chitipa,Millet,Main,2004,11-01,2005,07-01,none,area,1281.76,reported
1,MW1998A20101,Malawi,MW,Northern,Chitipa,Chitipa,Millet,Main,2004,11-01,2005,07-01,none,production,778.59,reported
2,MW1998A20101,Malawi,MW,Northern,Chitipa,Chitipa,Millet,Main,2004,11-01,2005,07-01,none,yield,0.60743821,reported
3,MW1998A20101,Malawi,MW,Northern,Chitipa,Chitipa,Maize,Main,2004,11-01,2005,07-01,none,area,20238.0,reported
4,MW1998A20101,Malawi,MW,Northern,Chitipa,Chitipa,Maize,Main,2004,11-01,2005,07-01,none,production,25091.0,reported
5,MW1998A20101,Malawi,MW,Northern,Chitipa,Chitipa,Maize,Main,2004,11-01,2005,07-01,none,yield,1.23979642,reported
6,MW1998A20101,Malawi,MW,Northern,Chitipa,Chitipa,Rice,Main,2004,11-01,2005,07-01,none,area,202.0,reported
7,MW1998A20101,Malawi,MW,Northern,Chitipa,Chitipa,Rice,Main,2004,11-01,2005,07-01,none,production,128.04,reported
8,MW1998A20101,Malawi,MW,Northern,Chitipa,Chitipa,Rice,Main,2004,11-01,2005,07-01,none,yield,0.63386139,reported
9,MW1998A20101,Malawi,MW,Northern,Chitipa,Chitipa,Sorghum,Main,2004,11-01,2005,07-01,none,area,44.8,reported
10,MW1998A20101,Malawi,MW,Northern,Chitipa,Chitipa,Sorghum,Main,2004,11-01,2005,07-01,none,production,26.31,reported
11,MW1998A20101,Malawi,MW,Northern,Chitipa,Chitipa,Sorghum,Main,2004,11-01,2005,07-01,none,yield,0.58727679,reported
12,MW1998A20101,Malawi,MW,Northern,Chitipa,Chitipa,Maize,Main,2003,11-01,2004,07-01,none,area,20038.68,reported
13,MW1998A20101,Malawi,MW,Northern,Chitipa,Chitipa,Maize,Main,2003,11-01,2004,07-01,none,production,23954.0,reported
14,MW1998A20101,Malawi,MW,Northern,Chitipa,Chitipa,Maize,Main,2003,11-01,2004,07-01,none,yield,1.19538812,reported
