,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,QC_flag
0,MZ2021A101,Mozambique,MZ,Cabo Delgado,none,Cabo Delgado,Cotton,Cotton season,1998,10,1999,6,All (PS),area,46475.0,0
2619,MZ2021A109,Mozambique,MZ,Sofala,none,Sofala,Cotton,Cotton season,1998,10,1999,6,All (PS),yield,0.1315646011266582,0
2643,MZ2021A109,Mozambique,MZ,Sofala,none,Sofala,Rice,Rice season,1998,10,1999,6,All (PS),production,55727.0,0
2742,MZ2021A109,Mozambique,MZ,Sofala,none,Sofala,Sorghum,Main,1998,10,1999,6,All (PS),production,36914.0,0
2800,MZ2021A109,Mozambique,MZ,Sofala,none,Sofala,Groundnuts (In Shell),Main,1998,10,1999,6,All (PS),area,4713.0,0
2801,MZ2021A109,Mozambique,MZ,Sofala,none,Sofala,Groundnuts (In Shell),Main,1998,10,1999,6,All (PS),production,4350.0,0
2802,MZ2021A109,Mozambique,MZ,Sofala,none,Sofala,Groundnuts (In Shell),Main,1998,10,1999,6,All (PS),yield,0.9229789942711648,0
3136,MZ2021A109,Mozambique,MZ,Sofala,none,Sofala,Maize,Main,1998,10,1999,6,All (PS),production,114113.0,0
3428,MZ2021A109,Mozambique,MZ,Sofala,none,Sofala,Cassava,Annual,1998,10,1999,6,All (PS),production,39600.0,0
3430,MZ2021A109,Mozambique,MZ,Sofala,none,Sofala,Beans (mixed),Main,1998,10,1999,6,All (PS),production,7400.0,0
3506,MZ2021A111,Mozambique,MZ,Zambezia,none,Zambezia,Cotton,Cotton season,1998,10,1999,6,All (PS),area,13639.0,0
3507,MZ2021A111,Mozambique,MZ,Zambezia,none,Zambezia,Cotton,Cotton season,1998,10,1999,6,All (PS),production,6190.0,0
3508,MZ2021A111,Mozambique,MZ,Zambezia,none,Zambezia,Cotton,Cotton season,1998,10,1999,6,All (PS),yield,0.4538455898526285,0
2618,MZ2021A109,Mozambique,MZ,Sofala,none,Sofala,Cotton,Cotton season,1998,10,1999,6,All (PS),production,724.0,0
3532,MZ2021A111,Mozambique,MZ,Zambezia,none,Zambezia,Rice,Rice season,1998,10,1999,6,All (PS),area,99262.0,0
3534,MZ2021A111,Mozambique,MZ,Zambezia,none,Zambezia,Rice,Rice season,1998,10,1999,6,All (PS),yield,1.2031996131450102,0
3633,MZ2021A111,Mozambique,MZ,Zambezia,none,Zambezia,Sorghum,Main,1998,10,1999,6,All (PS),area,52449.0,0
3634,MZ2021A111,Mozambique,MZ,Zambezia,none,Zambezia,Sorghum,Main,1998,10,1999,6,All (PS),production,37060.0,0
3635,MZ2021A111,Mozambique,MZ,Zambezia,none,Zambezia,Sorghum,Main,1998,10,1999,6,All (PS),yield,0.7065911647505195,0
4324,MZ2021A111,Mozambique,MZ,Zambezia,none,Zambezia,Cassava,Annual,1998,10,1999,6,All (PS),area,332215.0,0
4325,MZ2021A111,Mozambique,MZ,Zambezia,none,Zambezia,Cassava,Annual,1998,10,1999,6,All (PS),production,1072604.0,0
4326,MZ2021A111,Mozambique,MZ,Zambezia,none,Zambezia,Cassava,Annual,1998,10,1999,6,All (PS),yield,3.2286441009587166,0
4330,MZ2021A111,Mozambique,MZ,Zambezia,none,Zambezia,Beans (mixed),Main,1998,10,1999,6,All (PS),area,128859.0,0
4331,MZ2021A111,Mozambique,MZ,Zambezia,none,Zambezia,Beans (mixed),Main,1998,10,1999,6,All (PS),production,58413.0,0
4332,MZ2021A111,Mozambique,MZ,Zambezia,none,Zambezia,Beans (mixed),Main,1998,10,1999,6,All (PS),yield,0.4533094312387959,0
4437,MZ2021A104,Mozambique,MZ,Manica,none,Manica,Cotton,Cotton season,1998,10,1999,6,All (PS),production,1570.0,0
4461,MZ2021A104,Mozambique,MZ,Manica,none,Manica,Rice,Rice season,1998,10,1999,6,All (PS),production,794.0,0
3533,MZ2021A111,Mozambique,MZ,Zambezia,none,Zambezia,Rice,Rice season,1998,10,1999,6,All (PS),production,119432.0,0
2617,MZ2021A109,Mozambique,MZ,Sofala,none,Sofala,Cotton,Cotton season,1998,10,1999,6,All (PS),area,5503.0,0
2525,MZ2021A107,Mozambique,MZ,Nampula,none,Nampula,Beans (mixed),Main,1998,10,1999,6,All (PS),yield,0.4499983190828916,0
2524,MZ2021A107,Mozambique,MZ,Nampula,none,Nampula,Beans (mixed),Main,1998,10,1999,6,All (PS),production,80313.0,0
129,MZ2021A101,Mozambique,MZ,Cabo Delgado,none,Cabo Delgado,Sorghum,Main,1998,10,1999,6,All (PS),yield,0.7055719679615792,0
187,MZ2021A101,Mozambique,MZ,Cabo Delgado,none,Cabo Delgado,Groundnuts (In Shell),Main,1998,10,1999,6,All (PS),area,44869.0,0
188,MZ2021A101,Mozambique,MZ,Cabo Delgado,none,Cabo Delgado,Groundnuts (In Shell),Main,1998,10,1999,6,All (PS),production,33496.0,0
189,MZ2021A101,Mozambique,MZ,Cabo Delgado,none,Cabo Delgado,Groundnuts (In Shell),Main,1998,10,1999,6,All (PS),yield,0.7465287837928191,0
534,MZ2021A101,Mozambique,MZ,Cabo Delgado,none,Cabo Delgado,Maize,Main,1998,10,1999,6,All (PS),area,111980.0,0
535,MZ2021A101,Mozambique,MZ,Cabo Delgado,none,Cabo Delgado,Maize,Main,1998,10,1999,6,All (PS),production,111654.0,0
536,MZ2021A101,Mozambique,MZ,Cabo Delgado,none,Cabo Delgado,Maize,Main,1998,10,1999,6,All (PS),yield,0.9970887658510448,0
879,MZ2021A102,Mozambique,MZ,Gaza,none,Gaza,Cotton,Cotton season,1998,10,1999,6,All (PS),area,343.5,0
880,MZ2021A102,Mozambique,MZ,Gaza,none,Gaza,Cotton,Cotton season,1998,10,1999,6,All (PS),production,243.4,0
881,MZ2021A102,Mozambique,MZ,Gaza,none,Gaza,Cotton,Cotton season,1998,10,1999,6,All (PS),yield,0.7085880640465794,0
891,MZ2021A102,Mozambique,MZ,Gaza,none,Gaza,Rice,Rice season,1998,10,1999,6,All (PS),area,5820.0,0
892,MZ2021A102,Mozambique,MZ,Gaza,none,Gaza,Rice,Rice season,1998,10,1999,6,All (PS),production,15824.0,0
893,MZ2021A102,Mozambique,MZ,Gaza,none,Gaza,Rice,Rice season,1998,10,1999,6,All (PS),yield,2.718900343642612,0
989,MZ2021A102,Mozambique,MZ,Gaza,none,Gaza,Sorghum,Main,1998,10,1999,6,All (PS),area,9919.0,0
