,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,gscd_code
0,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Maize,Main,1991,06-01,1991,10-01,none,area,7.0,reported
1,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Maize,Main,1991,06-01,1991,10-01,none,production,10.0,reported
2,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Maize,Main,1991,06-01,1991,10-01,none,yield,1.42857143,reported
3,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Millet,Main,1991,06-01,1991,10-01,none,area,707.0,reported
4,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Millet,Main,1991,06-01,1991,10-01,none,production,108.878,reported
5,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Millet,Main,1991,06-01,1991,10-01,none,yield,0.154,reported
6,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Sorghum,Main,1991,06-01,1991,10-01,none,area,37.0,reported
7,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Sorghum,Main,1991,06-01,1991,10-01,none,production,31.0,reported
8,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Sorghum,Main,1991,06-01,1991,10-01,none,yield,0.83783784,reported
9,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Sorghum,Main,1989,06-01,1989,10-01,none,area,35.0,reported
10,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Sorghum,Main,1989,06-01,1989,10-01,none,production,39.0,reported
11,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Sorghum,Main,1989,06-01,1989,10-01,none,yield,1.11428571,reported
12,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Millet,Main,1989,06-01,1989,10-01,none,area,1104.0,reported
13,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Millet,Main,1989,06-01,1989,10-01,none,production,653.568,reported
14,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Millet,Main,1989,06-01,1989,10-01,none,yield,0.592,reported
15,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Maize,Main,1989,06-01,1989,10-01,none,area,13.0,reported
16,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Maize,Main,1989,06-01,1989,10-01,none,production,17.0,reported
17,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Maize,Main,1989,06-01,1989,10-01,none,yield,1.30769231,reported
18,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Maize,Main,1988,06-01,1988,10-01,none,area,15.0,reported
19,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Maize,Main,1988,06-01,1988,10-01,none,production,20.0,reported
20,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Maize,Main,1988,06-01,1988,10-01,none,yield,1.33333333,reported
21,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Millet,Main,1988,06-01,1988,10-01,none,area,980.0,reported
22,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Millet,Main,1988,06-01,1988,10-01,none,production,156.8,reported
23,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Millet,Main,1988,06-01,1988,10-01,none,yield,0.16,reported
24,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Sorghum,Main,1988,06-01,1988,10-01,none,area,26.0,reported
25,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Sorghum,Main,1988,06-01,1988,10-01,none,production,29.0,reported
26,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Sorghum,Main,1988,06-01,1988,10-01,none,yield,1.11538462,reported
27,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Sorghum,Main,1987,06-01,1987,10-01,none,area,32.0,reported
28,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Sorghum,Main,1987,06-01,1987,10-01,none,production,35.0,reported
29,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Sorghum,Main,1987,06-01,1987,10-01,none,yield,1.09375,reported
30,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Maize,Main,1987,06-01,1987,10-01,none,area,15.0,reported
31,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Maize,Main,1987,06-01,1987,10-01,none,production,20.0,reported
32,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Maize,Main,1987,06-01,1987,10-01,none,yield,1.33333333,reported
33,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Millet,Main,1987,06-01,1987,10-01,none,area,980.0,reported
34,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Millet,Main,1987,06-01,1987,10-01,none,production,156.8,reported
35,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Millet,Main,1987,06-01,1987,10-01,none,yield,0.16,reported
36,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Maize,Main,1986,06-01,1986,10-01,none,area,316.0,reported
37,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Maize,Main,1986,06-01,1986,10-01,none,production,158.0,reported
38,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Maize,Main,1986,06-01,1986,10-01,none,yield,0.5,reported
39,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Millet,Main,1986,06-01,1986,10-01,none,area,920.0,reported
40,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Millet,Main,1986,06-01,1986,10-01,none,production,147.2,reported
41,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Millet,Main,1986,06-01,1986,10-01,none,yield,0.16,reported
42,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Sorghum,Main,1986,06-01,1986,10-01,none,area,26.0,reported
43,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Sorghum,Main,1986,06-01,1986,10-01,none,production,26.0,reported
44,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Sorghum,Main,1986,06-01,1986,10-01,none,yield,1.0,reported
45,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Sorghum,Main,1985,06-01,1985,10-01,none,area,24.0,reported
46,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Sorghum,Main,1985,06-01,1985,10-01,none,production,24.0,reported
47,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Sorghum,Main,1985,06-01,1985,10-01,none,yield,1.0,reported
48,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Millet,Main,1985,06-01,1985,10-01,none,area,720.0,reported
49,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Millet,Main,1985,06-01,1985,10-01,none,production,72.0,reported
50,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Millet,Main,1985,06-01,1985,10-01,none,yield,0.1,reported
51,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Millet,Main,1983,06-01,1983,10-01,none,area,180.0,reported
52,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Millet,Main,1983,06-01,1983,10-01,none,production,36.0,reported
53,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Millet,Main,1983,06-01,1983,10-01,none,yield,0.2,reported
54,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Millet,Main,1982,06-01,1982,10-01,none,area,180.0,reported
55,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Millet,Main,1982,06-01,1982,10-01,none,production,36.0,reported
56,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Millet,Main,1982,06-01,1982,10-01,none,yield,0.2,reported
57,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Maize,Main,1981,06-01,1981,10-01,none,area,145.0,reported
58,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Maize,Main,1981,06-01,1981,10-01,none,production,188.0,reported
59,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Maize,Main,1981,06-01,1981,10-01,none,yield,1.29655172,reported
60,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Millet,Main,1981,06-01,1981,10-01,none,area,148.0,reported
61,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Millet,Main,1981,06-01,1981,10-01,none,production,28.86,reported
62,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Millet,Main,1981,06-01,1981,10-01,none,yield,0.195,reported
63,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Millet,Main,1980,06-01,1980,10-01,none,area,120.0,reported
64,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Millet,Main,1980,06-01,1980,10-01,none,production,22.92,reported
65,NE1972A20101,Niger,NE,Agadez,Tchirozerine,Tchirozerine,Millet,Main,1980,06-01,1980,10-01,none,yield,0.191,reported
66,NE1972A20102,Niger,NE,Agadez,Arlit,Arlit,Millet,Main,1991,06-01,1991,10-01,none,area,49.0,reported
67,NE1972A20102,Niger,NE,Agadez,Arlit,Arlit,Millet,Main,1991,06-01,1991,10-01,none,production,74.0,reported
68,NE1972A20102,Niger,NE,Agadez,Arlit,Arlit,Millet,Main,1991,06-01,1991,10-01,none,yield,1.51020408,reported
69,NE1972A20102,Niger,NE,Agadez,Arlit,Arlit,Maize,Main,1991,06-01,1991,10-01,none,area,49.0,reported
70,NE1972A20102,Niger,NE,Agadez,Arlit,Arlit,Maize,Main,1991,06-01,1991,10-01,none,production,74.0,reported
71,NE1972A20102,Niger,NE,Agadez,Arlit,Arlit,Maize,Main,1991,06-01,1991,10-01,none,yield,1.51020408,reported
72,NE1972A20102,Niger,NE,Agadez,Arlit,Arlit,Maize,Main,1989,06-01,1989,10-01,none,area,95.0,reported
73,NE1972A20102,Niger,NE,Agadez,Arlit,Arlit,Maize,Main,1989,06-01,1989,10-01,none,production,124.0,reported
