,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,QC_flag
0,NG1996A101,Nigeria,NG,Abia,none,Abia,Cassava,Annual,1999,3,1999,10,All (PS),area,19760.0,0
5579,NG1996A110,Nigeria,NG,Delta,none,Delta,Cassava,Annual,1999,3,1999,10,All (PS),production,795400.0,0
857,NG1996A102,Nigeria,NG,Adamawa,none,Adamawa,Groundnuts (In Shell),Wet,1999,3,1999,10,All (PS),yield,1.5602228889841405,0
856,NG1996A102,Nigeria,NG,Adamawa,none,Adamawa,Groundnuts (In Shell),Wet,1999,3,1999,10,All (PS),production,72800.0,0
855,NG1996A102,Nigeria,NG,Adamawa,none,Adamawa,Groundnuts (In Shell),Wet,1999,3,1999,10,All (PS),area,46660.0,0
5580,NG1996A110,Nigeria,NG,Delta,none,Delta,Cassava,Annual,1999,3,1999,10,All (PS),yield,11.090351366424986,0
24795,NG1996A120,Nigeria,NG,Kano,none,Kano,Rice,Wet,1999,3,1999,10,All (PS),area,98000.0,0
5578,NG1996A110,Nigeria,NG,Delta,none,Delta,Cassava,Annual,1999,3,1999,10,All (PS),area,71720.0,0
4609,NG1996A107,Nigeria,NG,Benue,none,Benue,Soybean,Wet,1999,3,1999,10,All (PS),production,159900.0,0
20094,NG1996A133,Nigeria,NG,Rivers,none,Rivers,Taro,Annual,1999,3,1999,10,All (PS),area,36470.0,0
20095,NG1996A133,Nigeria,NG,Rivers,none,Rivers,Taro,Annual,1999,3,1999,10,All (PS),production,201740.0,0
20096,NG1996A133,Nigeria,NG,Rivers,none,Rivers,Taro,Annual,1999,3,1999,10,All (PS),yield,5.531669865642995,0
26401,NG1996A122,Nigeria,NG,Kebbi,none,Kebbi,Groundnuts (In Shell),Wet,1999,3,1999,10,All (PS),area,28160.0,0
26402,NG1996A122,Nigeria,NG,Kebbi,none,Kebbi,Groundnuts (In Shell),Wet,1999,3,1999,10,All (PS),production,30400.0,0
26403,NG1996A122,Nigeria,NG,Kebbi,none,Kebbi,Groundnuts (In Shell),Wet,1999,3,1999,10,All (PS),yield,1.0795454545454546,0
4608,NG1996A107,Nigeria,NG,Benue,none,Benue,Soybean,Wet,1999,3,1999,10,All (PS),area,107020.0,0
7211,NG1996A112,Nigeria,NG,Edo,none,Edo,Rice,Wet,1999,3,1999,10,All (PS),yield,1.8210526315789475,0
18524,NG1996A131,Nigeria,NG,Oyo,none,Oyo,Groundnuts (In Shell),Wet,1999,3,1999,10,All (PS),production,26100.0,0
