,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,QC_flag
0,RW2006A20101,Rwanda,RW,Eastern,Bugesera,Bugesera,Groundnuts (In Shell),Season B,2009,2,2009,7,none,area,2263.0,0
1,RW2006A20101,Rwanda,RW,Eastern,Bugesera,Bugesera,Groundnuts (In Shell),Season B,2009,2,2009,7,none,production,2151.0,0
2,RW2006A20101,Rwanda,RW,Eastern,Bugesera,Bugesera,Groundnuts (In Shell),Season B,2009,2,2009,7,none,yield,0.9505081749889527,0
3,RW2006A20101,Rwanda,RW,Eastern,Bugesera,Bugesera,Groundnuts (In Shell),Season B,2010,2,2010,7,none,area,1156.0,0
4,RW2006A20101,Rwanda,RW,Eastern,Bugesera,Bugesera,Groundnuts (In Shell),Season B,2010,2,2010,7,none,production,900.0,0
5,RW2006A20101,Rwanda,RW,Eastern,Bugesera,Bugesera,Groundnuts (In Shell),Season B,2010,2,2010,7,none,yield,0.7785467128027682,0
6,RW2006A20101,Rwanda,RW,Eastern,Bugesera,Bugesera,Groundnuts (In Shell),Season B,2013,2,2013,7,none,area,15456.0,0
7,RW2006A20101,Rwanda,RW,Eastern,Bugesera,Bugesera,Groundnuts (In Shell),Season B,2013,2,2013,7,none,production,5499.0,0
8,RW2006A20101,Rwanda,RW,Eastern,Bugesera,Bugesera,Groundnuts (In Shell),Season B,2013,2,2013,7,none,yield,0.3557841614906832,0
9,RW2006A20101,Rwanda,RW,Eastern,Bugesera,Bugesera,Groundnuts (In Shell),Season B,2017,2,2017,7,none,area,4398.026,0
10,RW2006A20101,Rwanda,RW,Eastern,Bugesera,Bugesera,Groundnuts (In Shell),Season B,2017,2,2017,7,none,production,1653.40972733,0
11,RW2006A20101,Rwanda,RW,Eastern,Bugesera,Bugesera,Groundnuts (In Shell),Season B,2017,2,2017,7,none,yield,0.3759435999991814,0
12,RW2006A20101,Rwanda,RW,Eastern,Bugesera,Bugesera,Groundnuts (In Shell),Season A,2009,9,2010,2,none,area,961.0,0
13,RW2006A20101,Rwanda,RW,Eastern,Bugesera,Bugesera,Groundnuts (In Shell),Season A,2009,9,2010,2,none,production,481.0,0
14,RW2006A20101,Rwanda,RW,Eastern,Bugesera,Bugesera,Groundnuts (In Shell),Season A,2009,9,2010,2,none,yield,0.5005202913631633,0
15,RW2006A20101,Rwanda,RW,Eastern,Bugesera,Bugesera,Groundnuts (In Shell),Season A,2011,9,2012,2,none,area,1532.0,0
16,RW2006A20101,Rwanda,RW,Eastern,Bugesera,Bugesera,Groundnuts (In Shell),Season A,2011,9,2012,2,none,production,1305.0,0
17,RW2006A20101,Rwanda,RW,Eastern,Bugesera,Bugesera,Groundnuts (In Shell),Season A,2011,9,2012,2,none,yield,0.8518276762402088,0
18,RW2006A20101,Rwanda,RW,Eastern,Bugesera,Bugesera,Groundnuts (In Shell),Season A,2012,9,2013,2,none,area,13885.0,0
19,RW2006A20101,Rwanda,RW,Eastern,Bugesera,Bugesera,Groundnuts (In Shell),Season A,2012,9,2013,2,none,production,6843.0,0
20,RW2006A20101,Rwanda,RW,Eastern,Bugesera,Bugesera,Groundnuts (In Shell),Season A,2012,9,2013,2,none,yield,0.4928339935181851,0
21,RW2006A20101,Rwanda,RW,Eastern,Bugesera,Bugesera,Groundnuts (In Shell),Season A,2016,9,2017,2,none,area,2950.0,0
22,RW2006A20101,Rwanda,RW,Eastern,Bugesera,Bugesera,Groundnuts (In Shell),Season A,2016,9,2017,2,none,production,463.0,0
23,RW2006A20101,Rwanda,RW,Eastern,Bugesera,Bugesera,Groundnuts (In Shell),Season A,2016,9,2017,2,none,yield,0.15694915254237288,0
24,RW2006A20101,Rwanda,RW,Eastern,Bugesera,Bugesera,Pea,Season B,2009,2,2009,7,none,area,358.0,0
25,RW2006A20101,Rwanda,RW,Eastern,Bugesera,Bugesera,Pea,Season B,2009,2,2009,7,none,production,394.0,0
26,RW2006A20101,Rwanda,RW,Eastern,Bugesera,Bugesera,Pea,Season B,2009,2,2009,7,none,yield,1.100558659217877,0
27,RW2006A20101,Rwanda,RW,Eastern,Bugesera,Bugesera,Pea,Season B,2010,2,2010,7,none,area,663.0,0
28,RW2006A20101,Rwanda,RW,Eastern,Bugesera,Bugesera,Pea,Season B,2010,2,2010,7,none,production,323.0,0
29,RW2006A20101,Rwanda,RW,Eastern,Bugesera,Bugesera,Pea,Season B,2010,2,2010,7,none,yield,0.48717948717948717,0
