,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,QC_flag
0,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Maize,Main,1986,5,1986,9,none,area,807.0,0
1,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Maize,Main,1986,5,1986,9,none,production,362.0,0
2,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Maize,Main,1986,5,1986,9,none,yield,0.4485749690210657,0
3,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Maize,Main,2003,5,2003,9,none,area,231.255,0
4,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Maize,Main,2004,5,2004,9,none,area,836.0,0
5,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Rice,Main,1986,5,1986,9,none,area,26345.0,0
6,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Rice,Main,1986,5,1986,9,none,production,40379.0,0
7,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Rice,Main,1986,5,1986,9,none,yield,1.5327007022205352,0
8,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Rice,Main,2002,5,2002,9,none,area,25159.005,0
9,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Rice,Main,2004,5,2004,9,none,area,16710.0,0
10,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Sweet Potatoes,Main,2003,5,2003,9,none,area,213.84,0
11,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Groundnuts (In Shell),Main,1986,5,1986,9,none,area,578.0,0
12,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Groundnuts (In Shell),Main,1986,5,1986,9,none,production,226.0,0
13,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Groundnuts (In Shell),Main,1986,5,1986,9,none,yield,0.39100346020761245,0
14,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Groundnuts (In Shell),Main,2003,5,2003,9,none,area,522.45,0
15,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Groundnuts (In Shell),Main,2004,5,2004,9,none,area,1563.0,0
16,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Cassava,Main,2003,5,2003,9,none,area,768.69,0
17,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Cassava,Main,2004,5,2004,9,none,area,3990.0,0
18,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Potato,Main,2004,5,2004,9,none,area,14002.0,0
19,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Millet,Main,2003,5,2003,9,none,area,107.325,0
20,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Banana,Main,2003,5,2003,9,none,area,5678.1,0
21,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Cashew (unshelled),Main,2003,5,2003,9,none,area,3199.5,0
22,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Sesame Seed,Main,2015,5,2015,9,none,production,482.79,0
23,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Sesame Seed,Main,2016,5,2016,9,none,production,531.069,0
24,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Sorghum,Main,2015,5,2015,9,none,production,4259.97,0
25,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Sorghum,Main,2016,5,2016,9,none,production,4685.967,0
26,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Maize,Main,2015,5,2015,9,none,production,1457.61,0
27,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Maize,Main,2016,5,2016,9,none,production,1603.371,0
28,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Rice,Main,2015,5,2015,9,none,production,62853.0,0
29,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Rice,Main,2016,5,2016,9,none,production,69761.0,0
30,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Sweet Potatoes,Main,2015,5,2015,9,none,production,5570.5518,0
31,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Sweet Potatoes,Main,2016,5,2016,9,none,production,6318.55224,0
32,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Okras,Main,2015,5,2015,9,none,production,422.73,0
33,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Okras,Main,2016,5,2016,9,none,production,465.003,0
34,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Groundnuts (In Shell),Main,2015,5,2015,9,none,production,715.0,0
35,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Groundnuts (In Shell),Main,2016,5,2016,9,none,production,631.0,0
36,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Cassava,Main,2015,5,2015,9,none,production,146600.0,0
37,SL1960A20101,Sierra Leone,SL,Eastern,Kailahun,Kailahun,Cassava,Main,2016,5,2016,9,none,production,159250.0,0
38,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Maize,Main,1986,5,1986,9,none,area,637.0,0
39,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Maize,Main,1986,5,1986,9,none,production,286.0,0
40,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Maize,Main,1986,5,1986,9,none,yield,0.4489795918367347,0
41,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Maize,Main,2003,5,2003,9,none,area,455.625,0
42,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Maize,Main,2004,5,2004,9,none,area,9042.0,0
43,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Rice,Main,1986,5,1986,9,none,area,49041.0,0
44,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Rice,Main,1986,5,1986,9,none,production,85753.0,0
45,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Rice,Main,1986,5,1986,9,none,yield,1.7485981117840175,0
46,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Rice,Main,2002,5,2002,9,none,area,44731.44,0
47,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Rice,Main,2004,5,2004,9,none,area,39103.0,0
48,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Sweet Potatoes,Main,2003,5,2003,9,none,area,575.91,0
49,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Groundnuts (In Shell),Main,1986,5,1986,9,none,area,927.0,0
50,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Groundnuts (In Shell),Main,1986,5,1986,9,none,production,526.0,0
51,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Groundnuts (In Shell),Main,1986,5,1986,9,none,yield,0.5674217907227616,0
52,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Groundnuts (In Shell),Main,2003,5,2003,9,none,area,1057.86,0
53,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Groundnuts (In Shell),Main,2004,5,2004,9,none,area,1424.0,0
54,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Cassava,Main,2003,5,2003,9,none,area,1732.59,0
55,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Cassava,Main,2004,5,2004,9,none,area,3593.0,0
56,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Potato,Main,2004,5,2004,9,none,area,14937.0,0
57,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Millet,Main,2003,5,2003,9,none,area,553.635,0
58,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Banana,Main,2003,5,2003,9,none,area,146.205,0
59,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Sesame Seed,Main,2015,5,2015,9,none,production,501.93,0
60,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Sesame Seed,Main,2016,5,2016,9,none,production,552.123,0
61,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Sorghum,Main,2015,5,2015,9,none,production,5113.68,0
62,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Sorghum,Main,2016,5,2016,9,none,production,5625.048,0
63,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Maize,Main,2015,5,2015,9,none,production,2188.494,0
64,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Maize,Main,2016,5,2016,9,none,production,2407.3434,0
65,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Rice,Main,2015,5,2015,9,none,production,89659.0,0
66,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Rice,Main,2016,5,2016,9,none,production,99514.0,0
67,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Sweet Potatoes,Main,2015,5,2015,9,none,production,10316.3544,0
68,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Sweet Potatoes,Main,2016,5,2016,9,none,production,11701.60992,0
69,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Okras,Main,2015,5,2015,9,none,production,717.7005,0
70,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Okras,Main,2016,5,2016,9,none,production,789.47055,0
71,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Groundnuts (In Shell),Main,2015,5,2015,9,none,production,733.0,0
72,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Groundnuts (In Shell),Main,2016,5,2016,9,none,production,647.0,0
73,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Cassava,Main,2015,5,2015,9,none,production,237936.0,0
74,SL1960A20102,Sierra Leone,SL,Eastern,Kenema,Kenema,Cassava,Main,2016,5,2016,9,none,production,258468.0,0
75,SL1960A20103,Sierra Leone,SL,Eastern,Kono,Kono,Maize,Main,1986,5,1986,9,none,area,3900.0,0
76,SL1960A20103,Sierra Leone,SL,Eastern,Kono,Kono,Maize,Main,1986,5,1986,9,none,production,164.0,0
77,SL1960A20103,Sierra Leone,SL,Eastern,Kono,Kono,Maize,Main,1986,5,1986,9,none,yield,0.04205128205128205,0
78,SL1960A20103,Sierra Leone,SL,Eastern,Kono,Kono,Maize,Main,2003,5,2003,9,none,area,17415.0,0
79,SL1960A20103,Sierra Leone,SL,Eastern,Kono,Kono,Maize,Main,2004,5,2004,9,none,area,14740.0,0
80,SL1960A20103,Sierra Leone,SL,Eastern,Kono,Kono,Rice,Main,1986,5,1986,9,none,area,22531.0,0
81,SL1960A20103,Sierra Leone,SL,Eastern,Kono,Kono,Rice,Main,1986,5,1986,9,none,production,36848.0,0
82,SL1960A20103,Sierra Leone,SL,Eastern,Kono,Kono,Rice,Main,1986,5,1986,9,none,yield,1.635435622031867,0
83,SL1960A20103,Sierra Leone,SL,Eastern,Kono,Kono,Rice,Main,2002,5,2002,9,none,area,24714.72,0
84,SL1960A20103,Sierra Leone,SL,Eastern,Kono,Kono,Rice,Main,2004,5,2004,9,none,area,13456.0,0
85,SL1960A20103,Sierra Leone,SL,Eastern,Kono,Kono,Sweet Potatoes,Main,2003,5,2003,9,none,area,178.2,0
86,SL1960A20103,Sierra Leone,SL,Eastern,Kono,Kono,Groundnuts (In Shell),Main,1986,5,1986,9,none,area,489.0,0
87,SL1960A20103,Sierra Leone,SL,Eastern,Kono,Kono,Groundnuts (In Shell),Main,1986,5,1986,9,none,production,214.0,0
