,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,QC_flag
0,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,1960,6,1960,11,none,area,3500.0,0
18749,SN2008A22202,Senegal,SN,Tambacounda,Goudiry,Goudiry,Maize,Main,1960,6,1960,11,none,area,2343.891096080041,0
18750,SN2008A22202,Senegal,SN,Tambacounda,Goudiry,Goudiry,Maize,Main,1960,6,1960,11,none,production,1875.1128768640324,0
18751,SN2008A22202,Senegal,SN,Tambacounda,Goudiry,Goudiry,Maize,Main,1960,6,1960,11,none,yield,0.7999999999999999,0
18890,SN2008A22203,Senegal,SN,Tambacounda,Koumpentoum,Koumpentoum,Groundnuts (In Shell),Main,1960,6,1960,11,none,area,12566.799296541354,0
18891,SN2008A22203,Senegal,SN,Tambacounda,Koumpentoum,Koumpentoum,Groundnuts (In Shell),Main,1960,6,1960,11,none,production,12566.799296541354,0
18892,SN2008A22203,Senegal,SN,Tambacounda,Koumpentoum,Koumpentoum,Groundnuts (In Shell),Main,1960,6,1960,11,none,yield,1.0,0
27475,SN2008A22601,Senegal,SN,Fatick,Fatick,Fatick,Groundnuts (In Shell),Main,1960,6,1960,11,none,yield,0.7919593345656192,0
27474,SN2008A22601,Senegal,SN,Fatick,Fatick,Fatick,Groundnuts (In Shell),Main,1960,6,1960,11,none,production,42845.0,0
27473,SN2008A22601,Senegal,SN,Fatick,Fatick,Fatick,Groundnuts (In Shell),Main,1960,6,1960,11,none,area,54100.0,0
12366,SN2008A22001,Senegal,SN,Kolda,Kolda,Kolda,Millet,Main,1960,6,1960,11,none,area,8399.98567106554,0
2433,SN2008A20703,Senegal,SN,Thies,Tivaouane,Tivaouane,Rice,Main,1960,6,1960,11,none,area,9.0,0
2435,SN2008A20703,Senegal,SN,Thies,Tivaouane,Tivaouane,Rice,Main,1960,6,1960,11,none,yield,1.6666666666666667,0
2481,SN2008A20801,Senegal,SN,Diourbel,Bambey,Bambey,Groundnuts (In Shell),Main,1960,6,1960,11,none,area,47371.0,0
2482,SN2008A20801,Senegal,SN,Diourbel,Bambey,Bambey,Groundnuts (In Shell),Main,1960,6,1960,11,none,production,37896.0,0
2483,SN2008A20801,Senegal,SN,Diourbel,Bambey,Bambey,Groundnuts (In Shell),Main,1960,6,1960,11,none,yield,0.7999831120305673,0
11984,SN2008A22001,Senegal,SN,Kolda,Kolda,Kolda,Groundnuts (In Shell),Main,1960,6,1960,11,none,yield,0.7699356116889549,0
11983,SN2008A22001,Senegal,SN,Kolda,Kolda,Kolda,Groundnuts (In Shell),Main,1960,6,1960,11,none,production,7041.27820571284,0
11982,SN2008A22001,Senegal,SN,Kolda,Kolda,Kolda,Groundnuts (In Shell),Main,1960,6,1960,11,none,area,9145.281889568494,0
27373,SN2008A22504,Senegal,SN,Kaffrine,Malem Hoddar,Malem Hoddar,Maize,Main,1960,6,1960,11,none,yield,0.875,0
27372,SN2008A22504,Senegal,SN,Kaffrine,Malem Hoddar,Malem Hoddar,Maize,Main,1960,6,1960,11,none,production,125.25664078778175,0
2434,SN2008A20703,Senegal,SN,Thies,Tivaouane,Tivaouane,Rice,Main,1960,6,1960,11,none,production,15.0,0
12367,SN2008A22001,Senegal,SN,Kolda,Kolda,Kolda,Millet,Main,1960,6,1960,11,none,production,8399.98567106554,0
12368,SN2008A22001,Senegal,SN,Kolda,Kolda,Kolda,Millet,Main,1960,6,1960,11,none,yield,1.0,0
2210,SN2008A20703,Senegal,SN,Thies,Tivaouane,Tivaouane,Millet,Main,1960,6,1960,11,none,yield,0.3160377358490566,0
12897,SN2008A22002,Senegal,SN,Kolda,Velingara,Velingara,Groundnuts (In Shell),Main,1960,6,1960,11,none,area,19983.0,0
18461,SN2008A22202,Senegal,SN,Tambacounda,Goudiry,Goudiry,Millet,Main,1960,6,1960,11,none,area,9761.031441723031,0
18462,SN2008A22202,Senegal,SN,Tambacounda,Goudiry,Goudiry,Millet,Main,1960,6,1960,11,none,production,6609.031705333303,0
27988,SN2008A22601,Senegal,SN,Fatick,Fatick,Fatick,Rice,Main,1960,6,1960,11,none,yield,0.2404255319148936,0
27987,SN2008A22601,Senegal,SN,Fatick,Fatick,Fatick,Rice,Main,1960,6,1960,11,none,production,1130.0,0
27986,SN2008A22601,Senegal,SN,Fatick,Fatick,Fatick,Rice,Main,1960,6,1960,11,none,area,4700.0,0
18463,SN2008A22202,Senegal,SN,Tambacounda,Goudiry,Goudiry,Millet,Main,1960,6,1960,11,none,yield,0.6770833333333334,0
12671,SN2008A22001,Senegal,SN,Kolda,Kolda,Kolda,Maize,Main,1960,6,1960,11,none,yield,0.7999999999999999,0
12670,SN2008A22001,Senegal,SN,Kolda,Kolda,Kolda,Maize,Main,1960,6,1960,11,none,production,1978.3877897985428,0
12669,SN2008A22001,Senegal,SN,Kolda,Kolda,Kolda,Maize,Main,1960,6,1960,11,none,area,2472.9847372481786,0
12593,SN2008A22001,Senegal,SN,Kolda,Kolda,Kolda,Rice,Main,1960,6,1960,11,none,yield,1.0,0
12592,SN2008A22001,Senegal,SN,Kolda,Kolda,Kolda,Rice,Main,1960,6,1960,11,none,production,4418.140825044508,0
12591,SN2008A22001,Senegal,SN,Kolda,Kolda,Kolda,Rice,Main,1960,6,1960,11,none,area,4418.140825044508,0
18683,SN2008A22202,Senegal,SN,Tambacounda,Goudiry,Goudiry,Rice,Main,1960,6,1960,11,none,area,67.434237531336,0
18684,SN2008A22202,Senegal,SN,Tambacounda,Goudiry,Goudiry,Rice,Main,1960,6,1960,11,none,production,40.4605425188016,0
18685,SN2008A22202,Senegal,SN,Tambacounda,Goudiry,Goudiry,Rice,Main,1960,6,1960,11,none,yield,0.6000000000000001,0
27763,SN2008A22601,Senegal,SN,Fatick,Fatick,Fatick,Millet,Main,1960,6,1960,11,none,yield,0.3409780775716695,0
27762,SN2008A22601,Senegal,SN,Fatick,Fatick,Fatick,Millet,Main,1960,6,1960,11,none,production,20220.0,0
27761,SN2008A22601,Senegal,SN,Fatick,Fatick,Fatick,Millet,Main,1960,6,1960,11,none,area,59300.0,0
2208,SN2008A20703,Senegal,SN,Thies,Tivaouane,Tivaouane,Millet,Main,1960,6,1960,11,none,area,53000.0,0
