,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,gscd_code
0,SO1990A111,Somalia,SO,Awdal,none,Awdal,Maize,Gu,2020,03-01,2020,08-01,agro_pastoral,area,770.0,reported
1,SO1990A111,Somalia,SO,Awdal,none,Awdal,Maize,Gu,2020,03-01,2020,08-01,agro_pastoral,production,385.0,reported
2,SO1990A111,Somalia,SO,Awdal,none,Awdal,Maize,Gu,2020,03-01,2020,08-01,agro_pastoral,yield,0.5,reported
3,SO1990A111,Somalia,SO,Awdal,none,Awdal,Sorghum,Gu,2020,03-01,2020,08-01,agro_pastoral,area,6200.0,reported
4,SO1990A111,Somalia,SO,Awdal,none,Awdal,Sorghum,Gu,2020,03-01,2020,08-01,agro_pastoral,production,3969.86,reported
5,SO1990A111,Somalia,SO,Awdal,none,Awdal,Sorghum,Gu,2020,03-01,2020,08-01,agro_pastoral,yield,0.6403,reported
6,SO1990A111,Somalia,SO,Awdal,none,Awdal,Maize,Gu,2019,03-01,2019,08-01,agro_pastoral,area,200.0,reported
7,SO1990A111,Somalia,SO,Awdal,none,Awdal,Maize,Gu,2019,03-01,2019,08-01,agro_pastoral,production,40.0,reported
8,SO1990A111,Somalia,SO,Awdal,none,Awdal,Maize,Gu,2019,03-01,2019,08-01,agro_pastoral,yield,0.2,reported
9,SO1990A111,Somalia,SO,Awdal,none,Awdal,Sorghum,Gu,2019,03-01,2019,08-01,agro_pastoral,area,7500.0,reported
10,SO1990A111,Somalia,SO,Awdal,none,Awdal,Sorghum,Gu,2019,03-01,2019,08-01,agro_pastoral,production,6750.0,reported
11,SO1990A111,Somalia,SO,Awdal,none,Awdal,Sorghum,Gu,2019,03-01,2019,08-01,agro_pastoral,yield,0.9,reported
12,SO1990A111,Somalia,SO,Awdal,none,Awdal,Sorghum,Deyr,2019,10-01,2020,03-01,agro_pastoral,area,8500.0,reported
13,SO1990A111,Somalia,SO,Awdal,none,Awdal,Sorghum,Deyr,2019,10-01,2020,03-01,agro_pastoral,production,5100.0,reported
14,SO1990A111,Somalia,SO,Awdal,none,Awdal,Sorghum,Deyr,2019,10-01,2020,03-01,agro_pastoral,yield,0.6,reported
15,SO1990A111,Somalia,SO,Awdal,none,Awdal,Sorghum,Gu,2018,03-01,2018,08-01,agro_pastoral,area,5000.0,reported
16,SO1990A111,Somalia,SO,Awdal,none,Awdal,Sorghum,Gu,2018,03-01,2018,08-01,agro_pastoral,production,2000.0,reported
17,SO1990A111,Somalia,SO,Awdal,none,Awdal,Sorghum,Gu,2018,03-01,2018,08-01,agro_pastoral,yield,0.4,reported
18,SO1990A111,Somalia,SO,Awdal,none,Awdal,Sorghum,Deyr,2018,10-01,2019,03-01,agro_pastoral,area,5000.0,reported
19,SO1990A111,Somalia,SO,Awdal,none,Awdal,Sorghum,Deyr,2018,10-01,2019,03-01,agro_pastoral,production,2000.0,reported
20,SO1990A111,Somalia,SO,Awdal,none,Awdal,Sorghum,Deyr,2018,10-01,2019,03-01,agro_pastoral,yield,0.4,reported
21,SO1990A111,Somalia,SO,Awdal,none,Awdal,Sorghum,Gu,2017,03-01,2017,08-01,agro_pastoral,area,2100.0,reported
22,SO1990A111,Somalia,SO,Awdal,none,Awdal,Sorghum,Gu,2017,03-01,2017,08-01,agro_pastoral,production,810.0,reported
23,SO1990A111,Somalia,SO,Awdal,none,Awdal,Sorghum,Gu,2017,03-01,2017,08-01,agro_pastoral,yield,0.39,reported
24,SO1990A111,Somalia,SO,Awdal,none,Awdal,Sorghum,Deyr,2017,10-01,2018,03-01,agro_pastoral,area,1500.0,reported
25,SO1990A111,Somalia,SO,Awdal,none,Awdal,Sorghum,Deyr,2017,10-01,2018,03-01,agro_pastoral,production,849.99,reported
26,SO1990A111,Somalia,SO,Awdal,none,Awdal,Sorghum,Deyr,2017,10-01,2018,03-01,agro_pastoral,yield,0.56666,reported
27,SO1990A111,Somalia,SO,Awdal,none,Awdal,Maize,Deyr,2017,10-01,2018,03-01,agro_pastoral,area,600.0,reported
28,SO1990A111,Somalia,SO,Awdal,none,Awdal,Maize,Deyr,2017,10-01,2018,03-01,agro_pastoral,production,240.0,reported
29,SO1990A111,Somalia,SO,Awdal,none,Awdal,Maize,Deyr,2017,10-01,2018,03-01,agro_pastoral,yield,0.4,reported
30,SO1990A111,Somalia,SO,Awdal,none,Awdal,Sorghum,Gu,2016,03-01,2016,08-01,agro_pastoral,area,9000.0,reported
31,SO1990A111,Somalia,SO,Awdal,none,Awdal,Sorghum,Gu,2016,03-01,2016,08-01,agro_pastoral,production,7200.0,reported
32,SO1990A111,Somalia,SO,Awdal,none,Awdal,Sorghum,Gu,2016,03-01,2016,08-01,agro_pastoral,yield,0.8,reported
33,SO1990A111,Somalia,SO,Awdal,none,Awdal,Maize,Gu,2016,03-01,2016,08-01,agro_pastoral,area,5500.0,reported
34,SO1990A111,Somalia,SO,Awdal,none,Awdal,Maize,Gu,2016,03-01,2016,08-01,agro_pastoral,production,3449.6,reported
