,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,QC_flag
0,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,2000,6,2000,1,traditional_rainfed,area,0.0,0
1,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,2000,6,2000,1,traditional_rainfed,production,0.0,0
2,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,2001,6,2001,1,traditional_rainfed,area,0.0,0
3,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,2001,6,2001,1,traditional_rainfed,production,0.0,0
4,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,2002,6,2002,1,traditional_rainfed,area,0.0,0
5,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,2002,6,2002,1,traditional_rainfed,production,0.0,0
6,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,2003,6,2003,1,traditional_rainfed,area,0.0,0
7,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,2003,6,2003,1,traditional_rainfed,production,0.0,0
8,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,2004,6,2004,1,traditional_rainfed,area,0.0,0
9,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,2004,6,2004,1,traditional_rainfed,production,0.0,0
10,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,2005,6,2005,1,traditional_rainfed,area,0.0,0
11,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,2005,6,2005,1,traditional_rainfed,production,0.0,0
12,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,2006,6,2006,1,traditional_rainfed,area,0.0,0
13,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,2006,6,2006,1,traditional_rainfed,production,0.0,0
14,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,2007,6,2007,1,traditional_rainfed,area,0.0,0
15,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,2007,6,2007,1,traditional_rainfed,production,0.0,0
16,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,2008,6,2008,1,traditional_rainfed,area,0.0,0
17,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,2008,6,2008,1,traditional_rainfed,production,0.0,0
18,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,2009,6,2009,1,traditional_rainfed,area,0.0,0
19,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,2009,6,2009,1,traditional_rainfed,production,0.0,0
20,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,2011,6,2011,1,traditional_rainfed,area,0.0,0
21,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,2011,6,2011,1,traditional_rainfed,production,0.0,0
22,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1974,6,1974,1,traditional_rainfed,area,0.0,0
23,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1974,6,1974,1,traditional_rainfed,production,0.0,0
24,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1975,6,1975,1,traditional_rainfed,area,0.0,0
25,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1975,6,1975,1,traditional_rainfed,production,0.0,0
26,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1976,6,1976,1,traditional_rainfed,area,0.0,0
27,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1976,6,1976,1,traditional_rainfed,production,0.0,0
28,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1977,6,1977,1,traditional_rainfed,area,0.0,0
29,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1977,6,1977,1,traditional_rainfed,production,0.0,0
30,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1978,6,1978,1,traditional_rainfed,area,0.0,0
31,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1978,6,1978,1,traditional_rainfed,production,0.0,0
32,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1979,6,1979,1,traditional_rainfed,area,0.0,0
33,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1979,6,1979,1,traditional_rainfed,production,0.0,0
34,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1980,6,1980,1,traditional_rainfed,area,0.0,0
35,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1980,6,1980,1,traditional_rainfed,production,0.0,0
36,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1981,6,1981,1,traditional_rainfed,area,0.0,0
37,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1981,6,1981,1,traditional_rainfed,production,0.0,0
38,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1982,6,1982,1,traditional_rainfed,area,0.0,0
39,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1982,6,1982,1,traditional_rainfed,production,0.0,0
40,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1983,6,1983,1,traditional_rainfed,area,0.0,0
41,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1983,6,1983,1,traditional_rainfed,production,0.0,0
42,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1984,6,1984,1,traditional_rainfed,area,0.0,0
43,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1984,6,1984,1,traditional_rainfed,production,0.0,0
44,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1985,6,1985,1,traditional_rainfed,area,0.0,0
45,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1985,6,1985,1,traditional_rainfed,production,0.0,0
46,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1986,6,1986,1,traditional_rainfed,area,0.0,0
47,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1986,6,1986,1,traditional_rainfed,production,0.0,0
48,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1987,6,1987,1,traditional_rainfed,area,0.0,0
49,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1987,6,1987,1,traditional_rainfed,production,0.0,0
50,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1988,6,1988,1,traditional_rainfed,area,0.0,0
51,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1988,6,1988,1,traditional_rainfed,production,0.0,0
52,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1989,6,1989,1,traditional_rainfed,area,0.0,0
53,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1989,6,1989,1,traditional_rainfed,production,0.0,0
54,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1990,6,1990,1,traditional_rainfed,area,0.0,0
55,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1990,6,1990,1,traditional_rainfed,production,0.0,0
56,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1991,6,1991,1,traditional_rainfed,area,0.0,0
57,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1991,6,1991,1,traditional_rainfed,production,0.0,0
58,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1992,6,1992,1,traditional_rainfed,area,0.0,0
59,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1992,6,1992,1,traditional_rainfed,production,0.0,0
60,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1993,6,1993,1,traditional_rainfed,area,0.0,0
61,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1993,6,1993,1,traditional_rainfed,production,0.0,0
62,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1994,6,1994,1,traditional_rainfed,area,0.0,0
63,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1994,6,1994,1,traditional_rainfed,production,0.0,0
64,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1995,6,1995,1,traditional_rainfed,area,0.0,0
65,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1995,6,1995,1,traditional_rainfed,production,0.0,0
66,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1996,6,1996,1,traditional_rainfed,area,0.0,0
67,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1996,6,1996,1,traditional_rainfed,production,0.0,0
68,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1997,6,1997,1,traditional_rainfed,area,0.0,0
69,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1997,6,1997,1,traditional_rainfed,production,0.0,0
70,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1998,6,1998,1,traditional_rainfed,area,0.0,0
71,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1998,6,1998,1,traditional_rainfed,production,0.0,0
72,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1999,6,1999,1,traditional_rainfed,area,0.0,0
73,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,1999,6,1999,1,traditional_rainfed,production,0.0,0
74,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,2010,6,2010,1,traditional_rainfed,area,0.0,0
75,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Sorghum,Main,2010,6,2010,1,traditional_rainfed,production,0.0,0
76,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Millet,Main,1974,6,1974,1,traditional_rainfed,area,0.0,0
77,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Millet,Main,1974,6,1974,1,traditional_rainfed,production,0.0,0
78,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Millet,Main,1975,6,1975,1,traditional_rainfed,area,0.0,0
79,SS2011A123,South Sudan,SS,Warrap,none,Warrap,Millet,Main,1975,6,1975,1,traditional_rainfed,production,0.0,0
