,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,QC_flag
0,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,1983,6,1983,11,none,area,33418.988312201574,0
5320,TD2012A113,Chad,TD,Mandoul,none,Mandoul,Sesame Seed,Main,1983,6,1983,11,none,yield,0.2348139711465452,0
5319,TD2012A113,Chad,TD,Mandoul,none,Mandoul,Sesame Seed,Main,1983,6,1983,11,none,production,909.8782143680803,0
5318,TD2012A113,Chad,TD,Mandoul,none,Mandoul,Sesame Seed,Main,1983,6,1983,11,none,area,3874.889598456788,0
3330,TD2012A111,Chad,TD,Logone Occidental,none,Logone Occidental,Groundnuts (In Shell),Main,1983,6,1983,11,none,area,11292.0,0
10111,TD2012A121,Chad,TD,Tandjile,none,Tandjile,Sorghum,Cold-off,1983,1,1983,3,none,yield,0.7070524412296564,0
10110,TD2012A121,Chad,TD,Tandjile,none,Tandjile,Sorghum,Cold-off,1983,1,1983,3,none,production,391.0,0
10109,TD2012A121,Chad,TD,Tandjile,none,Tandjile,Sorghum,Cold-off,1983,1,1983,3,none,area,553.0,0
10509,TD2012A121,Chad,TD,Tandjile,none,Tandjile,Rice,Main,1983,6,1983,11,none,yield,0.502178928479877,0
9158,TD2012A120,Chad,TD,Sila,none,Sila,Millet,Main,1983,6,1983,11,none,yield,0.1449992270830113,0
9157,TD2012A120,Chad,TD,Sila,none,Sila,Millet,Main,1983,6,1983,11,none,production,1682.51942858654,0
9156,TD2012A120,Chad,TD,Sila,none,Sila,Millet,Main,1983,6,1983,11,none,area,11603.644118898002,0
10508,TD2012A121,Chad,TD,Tandjile,none,Tandjile,Rice,Main,1983,6,1983,11,none,production,9795.0,0
10507,TD2012A121,Chad,TD,Tandjile,none,Tandjile,Rice,Main,1983,6,1983,11,none,area,19505.0,0
10503,TD2012A121,Chad,TD,Tandjile,none,Tandjile,Sesame Seed,Main,1983,6,1983,11,none,yield,0.2812354853692522,0
4594,TD2012A112,Chad,TD,Logone Oriental,none,Logone Oriental,Sesame Seed,Main,1983,6,1983,11,none,area,5924.0,0
4595,TD2012A112,Chad,TD,Logone Oriental,none,Logone Oriental,Sesame Seed,Main,1983,6,1983,11,none,production,1881.0,0
4596,TD2012A112,Chad,TD,Logone Oriental,none,Logone Oriental,Sesame Seed,Main,1983,6,1983,11,none,yield,0.3175219446320054,0
4606,TD2012A112,Chad,TD,Logone Oriental,none,Logone Oriental,Rice,Main,1983,6,1983,11,none,area,3527.0,0
4607,TD2012A112,Chad,TD,Logone Oriental,none,Logone Oriental,Rice,Main,1983,6,1983,11,none,production,1597.0,0
4608,TD2012A112,Chad,TD,Logone Oriental,none,Logone Oriental,Rice,Main,1983,6,1983,11,none,yield,0.452792741706833,0
10502,TD2012A121,Chad,TD,Tandjile,none,Tandjile,Sesame Seed,Main,1983,6,1983,11,none,production,1211.0,0
189,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Groundnuts (In Shell),Main,1983,6,1983,11,none,area,500.0,0
190,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Groundnuts (In Shell),Main,1983,6,1983,11,none,production,400.0,0
5330,TD2012A113,Chad,TD,Mandoul,none,Mandoul,Rice,Main,1983,6,1983,11,none,area,1663.9952986221542,0
191,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Groundnuts (In Shell),Main,1983,6,1983,11,none,yield,0.8,0
5331,TD2012A113,Chad,TD,Mandoul,none,Mandoul,Rice,Main,1983,6,1983,11,none,production,591.3583292026425,0
5332,TD2012A113,Chad,TD,Mandoul,none,Mandoul,Rice,Main,1983,6,1983,11,none,yield,0.35538461538461535,0
7854,TD2012A116,Chad,TD,Moyen-Chari,none,Moyen-Chari,Rice,Main,1983,6,1983,11,none,area,286.00470137784583,0
4245,TD2012A112,Chad,TD,Logone Oriental,none,Logone Oriental,Sorghum,Main,1983,6,1983,11,none,area,60698.0,0
4246,TD2012A112,Chad,TD,Logone Oriental,none,Logone Oriental,Sorghum,Main,1983,6,1983,11,none,production,45264.0,0
4247,TD2012A112,Chad,TD,Logone Oriental,none,Logone Oriental,Sorghum,Main,1983,6,1983,11,none,yield,0.7457247355761311,0
7844,TD2012A116,Chad,TD,Moyen-Chari,none,Moyen-Chari,Sesame Seed,Main,1983,6,1983,11,none,yield,0.23481397114654518,0
7843,TD2012A116,Chad,TD,Moyen-Chari,none,Moyen-Chari,Sesame Seed,Main,1983,6,1983,11,none,production,327.12178563191964,0
7842,TD2012A116,Chad,TD,Moyen-Chari,none,Moyen-Chari,Sesame Seed,Main,1983,6,1983,11,none,area,1393.1104015432115,0
6569,TD2012A115,Chad,TD,Mayo-Kebbi Ouest,none,Mayo-Kebbi Ouest,Sorghum,Main,1983,6,1983,11,none,area,45215.030296452474,0
6570,TD2012A115,Chad,TD,Mayo-Kebbi Ouest,none,Mayo-Kebbi Ouest,Sorghum,Main,1983,6,1983,11,none,production,24799.484559289984,0
6571,TD2012A115,Chad,TD,Mayo-Kebbi Ouest,none,Mayo-Kebbi Ouest,Sorghum,Main,1983,6,1983,11,none,yield,0.5484787778907168,0
6596,TD2012A115,Chad,TD,Mayo-Kebbi Ouest,none,Mayo-Kebbi Ouest,Sorghum,Cold-off,1983,1,1983,3,none,area,2476.4671550125913,0
2914,TD2012A109,Chad,TD,Kanem,none,Kanem,Millet,Main,1983,6,1983,11,none,area,13681.011687798427,0
2915,TD2012A109,Chad,TD,Kanem,none,Kanem,Millet,Main,1983,6,1983,11,none,production,1678.6107546451617,0
6597,TD2012A115,Chad,TD,Mayo-Kebbi Ouest,none,Mayo-Kebbi Ouest,Sorghum,Cold-off,1983,1,1983,3,none,production,1005.6962123908772,0
6598,TD2012A115,Chad,TD,Mayo-Kebbi Ouest,none,Mayo-Kebbi Ouest,Sorghum,Cold-off,1983,1,1983,3,none,yield,0.4061011713219204,0
4818,TD2012A113,Chad,TD,Mandoul,none,Mandoul,Groundnuts (In Shell),Main,1983,6,1983,11,none,yield,0.6472010178117048,0
9921,TD2012A121,Chad,TD,Tandjile,none,Tandjile,Groundnuts (In Shell),Main,1983,6,1983,11,none,production,11968.0,0
9922,TD2012A121,Chad,TD,Tandjile,none,Tandjile,Groundnuts (In Shell),Main,1983,6,1983,11,none,yield,0.7896542623383479,0
3332,TD2012A111,Chad,TD,Logone Occidental,none,Logone Occidental,Groundnuts (In Shell),Main,1983,6,1983,11,none,yield,1.6914629826425789,0
3331,TD2012A111,Chad,TD,Logone Occidental,none,Logone Occidental,Groundnuts (In Shell),Main,1983,6,1983,11,none,production,19100.0,0
5371,TD2012A114,Chad,TD,Mayo-Kebbi Est,none,Mayo-Kebbi Est,Millet,Main,1983,6,1983,11,none,yield,0.5625501470981545,0
5370,TD2012A114,Chad,TD,Mayo-Kebbi Est,none,Mayo-Kebbi Est,Millet,Main,1983,6,1983,11,none,production,13070.741937937863,0
5369,TD2012A114,Chad,TD,Mayo-Kebbi Est,none,Mayo-Kebbi Est,Millet,Main,1983,6,1983,11,none,area,23234.803164414177,0
2916,TD2012A109,Chad,TD,Kanem,none,Kanem,Millet,Main,1983,6,1983,11,none,yield,0.1226963906581741,0
10501,TD2012A121,Chad,TD,Tandjile,none,Tandjile,Sesame Seed,Main,1983,6,1983,11,none,area,4306.0,0
7426,TD2012A116,Chad,TD,Moyen-Chari,none,Moyen-Chari,Sorghum,Main,1983,6,1983,11,none,yield,0.5557875202969149,0
7425,TD2012A116,Chad,TD,Moyen-Chari,none,Moyen-Chari,Sorghum,Main,1983,6,1983,11,none,production,17676.179601179207,0
3041,TD2012A109,Chad,TD,Kanem,none,Kanem,Groundnuts (In Shell),Main,1983,6,1983,11,none,production,400.0,0
3042,TD2012A109,Chad,TD,Kanem,none,Kanem,Groundnuts (In Shell),Main,1983,6,1983,11,none,yield,0.8,0
