,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,QC_flag
0,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Sorghum,Main,1995,5,1995,11,All (PS),area,24433.0,0
1340,TG2009A20202,Togo,TG,Plateaux,Kloto,Kloto,Sorghum,Main,1995,5,1995,11,All (PS),production,2234.578587699317,0
1339,TG2009A20202,Togo,TG,Plateaux,Kloto,Kloto,Sorghum,Main,1995,5,1995,11,All (PS),area,2321.1936218678816,0
1173,TG2009A20201,Togo,TG,Plateaux,Haho,Haho,Maize,Main,1995,5,1995,11,All (PS),yield,1.3734140115344615,0
1172,TG2009A20201,Togo,TG,Plateaux,Haho,Haho,Maize,Main,1995,5,1995,11,All (PS),production,68297.95379283788,0
1171,TG2009A20201,Togo,TG,Plateaux,Haho,Haho,Maize,Main,1995,5,1995,11,All (PS),area,49728.598382749326,0
1110,TG2009A20201,Togo,TG,Plateaux,Haho,Haho,Sorghum,Main,1995,5,1995,11,All (PS),yield,0.5040633465305272,0
1109,TG2009A20201,Togo,TG,Plateaux,Haho,Haho,Sorghum,Main,1995,5,1995,11,All (PS),production,2274.6237966884864,0
1108,TG2009A20201,Togo,TG,Plateaux,Haho,Haho,Sorghum,Main,1995,5,1995,11,All (PS),area,4512.575279168271,0
1038,TG2009A20106,Togo,TG,Kara,Kozah,Kozah,Maize,Main,1995,5,1995,11,All (PS),yield,0.9874932028276238,0
1037,TG2009A20106,Togo,TG,Kara,Kozah,Kozah,Maize,Main,1995,5,1995,11,All (PS),production,1816.0,0
1036,TG2009A20106,Togo,TG,Kara,Kozah,Kozah,Maize,Main,1995,5,1995,11,All (PS),area,1839.0,0
981,TG2009A20106,Togo,TG,Kara,Kozah,Kozah,Millet,Main,1995,5,1995,11,All (PS),yield,0.8069676501955207,0
980,TG2009A20106,Togo,TG,Kara,Kozah,Kozah,Millet,Main,1995,5,1995,11,All (PS),production,2270.0,0
979,TG2009A20106,Togo,TG,Kara,Kozah,Kozah,Millet,Main,1995,5,1995,11,All (PS),area,2813.0,0
5884,TG2009A20210,Togo,TG,Plateaux,Akébou,Akébou,Maize,Main,1995,5,1995,11,All (PS),area,5085.431168158135,0
5885,TG2009A20210,Togo,TG,Plateaux,Akébou,Akébou,Maize,Main,1995,5,1995,11,All (PS),production,7808.516542816251,0
5886,TG2009A20210,Togo,TG,Plateaux,Akébou,Akébou,Maize,Main,1995,5,1995,11,All (PS),yield,1.535467944529151,0
924,TG2009A20106,Togo,TG,Kara,Kozah,Kozah,Sorghum,Main,1995,5,1995,11,All (PS),yield,0.21143680922633348,0
923,TG2009A20106,Togo,TG,Kara,Kozah,Kozah,Sorghum,Main,1995,5,1995,11,All (PS),production,1760.0,0
1341,TG2009A20202,Togo,TG,Plateaux,Kloto,Kloto,Sorghum,Main,1995,5,1995,11,All (PS),yield,0.962685131756107,0
922,TG2009A20106,Togo,TG,Kara,Kozah,Kozah,Sorghum,Main,1995,5,1995,11,All (PS),area,8324.0,0
1387,TG2009A20202,Togo,TG,Plateaux,Kloto,Kloto,Maize,Main,1995,5,1995,11,All (PS),area,8653.020501138952,0
1389,TG2009A20202,Togo,TG,Plateaux,Kloto,Kloto,Maize,Main,1995,5,1995,11,All (PS),yield,1.062690263660286,0
1825,TG2009A20205,Togo,TG,Plateaux,Amou,Amou,Maize,Main,1995,5,1995,11,All (PS),yield,1.7309637538634448,0
1824,TG2009A20205,Togo,TG,Plateaux,Amou,Amou,Maize,Main,1995,5,1995,11,All (PS),production,11876.232718894009,0
1823,TG2009A20205,Togo,TG,Plateaux,Amou,Amou,Maize,Main,1995,5,1995,11,All (PS),area,6861.0522273425495,0
1762,TG2009A20205,Togo,TG,Plateaux,Amou,Amou,Sorghum,Main,1995,5,1995,11,All (PS),yield,0.46983449012279765,0
1761,TG2009A20205,Togo,TG,Plateaux,Amou,Amou,Sorghum,Main,1995,5,1995,11,All (PS),production,848.2334869431643,0
1760,TG2009A20205,Togo,TG,Plateaux,Amou,Amou,Sorghum,Main,1995,5,1995,11,All (PS),area,1805.3878648233485,0
5040,TG2009A20505,Togo,TG,Maritime,Yoto,Yoto,Maize,Main,1995,5,1995,11,All (PS),area,52044.0,0
5041,TG2009A20505,Togo,TG,Maritime,Yoto,Yoto,Maize,Main,1995,5,1995,11,All (PS),production,36539.0,0
5042,TG2009A20505,Togo,TG,Maritime,Yoto,Yoto,Maize,Main,1995,5,1995,11,All (PS),yield,0.7020790100684037,0
3291,TG2009A20303,Togo,TG,Centrale,Tchaoudjo,Tchaoudjo,Maize,Main,1995,5,1995,11,All (PS),production,4825.0,0
1597,TG2009A20204,Togo,TG,Plateaux,Ogou,Ogou,Maize,Main,1995,5,1995,11,All (PS),yield,1.353441894892672,0
1596,TG2009A20204,Togo,TG,Plateaux,Ogou,Ogou,Maize,Main,1995,5,1995,11,All (PS),production,2564.67,0
1595,TG2009A20204,Togo,TG,Plateaux,Ogou,Ogou,Maize,Main,1995,5,1995,11,All (PS),area,1894.924347826087,0
1534,TG2009A20204,Togo,TG,Plateaux,Ogou,Ogou,Sorghum,Main,1995,5,1995,11,All (PS),yield,1.1531282663879348,0
1533,TG2009A20204,Togo,TG,Plateaux,Ogou,Ogou,Sorghum,Main,1995,5,1995,11,All (PS),production,10831.645652173913,0
1532,TG2009A20204,Togo,TG,Plateaux,Ogou,Ogou,Sorghum,Main,1995,5,1995,11,All (PS),area,9393.27043478261,0
5301,TG2009A20506,Togo,TG,Maritime,Avé,Avé,Maize,Main,1995,5,1995,11,All (PS),area,17714.24650729587,0
5302,TG2009A20506,Togo,TG,Maritime,Avé,Avé,Maize,Main,1995,5,1995,11,All (PS),production,10363.663458553243,0
5303,TG2009A20506,Togo,TG,Maritime,Avé,Avé,Maize,Main,1995,5,1995,11,All (PS),yield,0.5850468127043856,0
1388,TG2009A20202,Togo,TG,Plateaux,Kloto,Kloto,Maize,Main,1995,5,1995,11,All (PS),production,9195.480637813213,0
852,TG2009A20105,Togo,TG,Kara,Kéran,Kéran,Maize,Main,1995,5,1995,11,All (PS),yield,1.0945054945054946,0
851,TG2009A20105,Togo,TG,Kara,Kéran,Kéran,Maize,Main,1995,5,1995,11,All (PS),production,996.0,0
850,TG2009A20105,Togo,TG,Kara,Kéran,Kéran,Maize,Main,1995,5,1995,11,All (PS),area,910.0,0
480,TG2009A20103,Togo,TG,Kara,Binah,Binah,Maize,Main,1995,5,1995,11,All (PS),yield,0.6497589873067695,0
479,TG2009A20103,Togo,TG,Kara,Binah,Binah,Maize,Main,1995,5,1995,11,All (PS),production,1479.639534883721,0
478,TG2009A20103,Togo,TG,Kara,Binah,Binah,Maize,Main,1995,5,1995,11,All (PS),area,2277.2128801431127,0
423,TG2009A20103,Togo,TG,Kara,Binah,Binah,Millet,Main,1995,5,1995,11,All (PS),yield,0.9253696528958248,0
422,TG2009A20103,Togo,TG,Kara,Binah,Binah,Millet,Main,1995,5,1995,11,All (PS),production,2146.8220035778177,0
421,TG2009A20103,Togo,TG,Kara,Binah,Binah,Millet,Main,1995,5,1995,11,All (PS),area,2319.9615384615386,0
366,TG2009A20103,Togo,TG,Kara,Binah,Binah,Sorghum,Main,1995,5,1995,11,All (PS),yield,0.4296081120220246,0
365,TG2009A20103,Togo,TG,Kara,Binah,Binah,Sorghum,Main,1995,5,1995,11,All (PS),production,2060.4347048300538,0
364,TG2009A20103,Togo,TG,Kara,Binah,Binah,Sorghum,Main,1995,5,1995,11,All (PS),area,4796.079606440071,0
294,TG2009A20102,Togo,TG,Kara,Assoli,Assoli,Maize,Main,1995,5,1995,11,All (PS),yield,0.37362637362637363,0
293,TG2009A20102,Togo,TG,Kara,Assoli,Assoli,Maize,Main,1995,5,1995,11,All (PS),production,646.0,0
292,TG2009A20102,Togo,TG,Kara,Assoli,Assoli,Maize,Main,1995,5,1995,11,All (PS),area,1729.0,0
6553,TG2009A20507,Togo,TG,Maritime,Bas-Mono,Bas-Mono,Maize,Main,1995,5,1995,11,All (PS),area,16794.33962264151,0
6554,TG2009A20507,Togo,TG,Maritime,Bas-Mono,Bas-Mono,Maize,Main,1995,5,1995,11,All (PS),production,8813.77358490566,0
6555,TG2009A20507,Togo,TG,Maritime,Bas-Mono,Bas-Mono,Maize,Main,1995,5,1995,11,All (PS),yield,0.5248062015503876,0
245,TG2009A20102,Togo,TG,Kara,Assoli,Assoli,Millet,Main,1995,5,1995,11,All (PS),yield,0.3886838868388684,0
244,TG2009A20102,Togo,TG,Kara,Assoli,Assoli,Millet,Main,1995,5,1995,11,All (PS),production,316.0,0
243,TG2009A20102,Togo,TG,Kara,Assoli,Assoli,Millet,Main,1995,5,1995,11,All (PS),area,813.0,0
188,TG2009A20102,Togo,TG,Kara,Assoli,Assoli,Sorghum,Main,1995,5,1995,11,All (PS),yield,0.9069868995633188,0
6375,TG2009A20502,Togo,TG,Maritime,Lacs,Lacs,Maize,Main,1995,5,1995,11,All (PS),yield,0.5248062015503876,0
6374,TG2009A20502,Togo,TG,Maritime,Lacs,Lacs,Maize,Main,1995,5,1995,11,All (PS),production,8111.22641509434,0
6373,TG2009A20502,Togo,TG,Maritime,Lacs,Lacs,Maize,Main,1995,5,1995,11,All (PS),area,15455.66037735849,0
