,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,QC_flag
3055,TZ2012A105,"Tanzania, United Republic of",TZ,Kagera,none,Kagera,Banana,Annual,1988,9,1989,7,none,production,321774.1165001219,0
16475,TZ2012A128,"Tanzania, United Republic of",TZ,Katavi,none,Katavi,Maize,Annual,1988,9,1989,7,none,production,80050.00743556993,0
789,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Banana,Annual,1988,9,1989,7,none,production,26409.891699916694,0
5189,TZ2012A112,"Tanzania, United Republic of",TZ,Lindi,none,Lindi,Cassava,Annual,1988,9,1989,7,none,production,7010.0,0
13077,TZ2012A124,"Tanzania, United Republic of",TZ,Tabora,none,Tabora,Cassava,Annual,1988,9,1989,7,none,production,103000.0,0
17222,TZ2012A129,"Tanzania, United Republic of",TZ,Njombe,none,Njombe,Wheat,Annual,1988,9,1989,7,none,production,10000.0,0
17220,TZ2012A129,"Tanzania, United Republic of",TZ,Njombe,none,Njombe,Maize,Annual,1988,9,1989,7,none,production,228600.0898007766,0
2300,TZ2012A104,"Tanzania, United Republic of",TZ,Iringa,none,Iringa,Cassava,Annual,1988,9,1989,7,none,production,57.66990291262135,0
6889,TZ2012A114,"Tanzania, United Republic of",TZ,Mbeya,none,Mbeya,Cassava,Annual,1988,9,1989,7,none,production,3620.0,0
1519,TZ2012A103,"Tanzania, United Republic of",TZ,Dodoma,none,Dodoma,Cassava,Annual,1988,9,1989,7,none,production,2500.0,0
6892,TZ2012A114,"Tanzania, United Republic of",TZ,Mbeya,none,Mbeya,Maize,Annual,1988,9,1989,7,none,production,274800.0,0
11717,TZ2012A122,"Tanzania, United Republic of",TZ,Shinyanga,none,Shinyanga,Cassava,Annual,1988,9,1989,7,none,production,39248.80047124344,0
6894,TZ2012A114,"Tanzania, United Republic of",TZ,Mbeya,none,Mbeya,Wheat,Annual,1988,9,1989,7,none,production,200.0,0
10259,TZ2012A120,"Tanzania, United Republic of",TZ,Rukwa,none,Rukwa,Maize,Annual,1988,9,1989,7,none,production,80049.99256443008,0
16480,TZ2012A128,"Tanzania, United Republic of",TZ,Katavi,none,Katavi,Banana,Annual,1988,9,1989,7,none,production,899.9878849337935,0
17217,TZ2012A129,"Tanzania, United Republic of",TZ,Njombe,none,Njombe,Cassava,Annual,1988,9,1989,7,none,production,72.33009708737863,0
4623,TZ2012A109,"Tanzania, United Republic of",TZ,Kilimanjaro,none,Kilimanjaro,Banana,Annual,1988,9,1989,7,none,production,213200.0,0
2303,TZ2012A104,"Tanzania, United Republic of",TZ,Iringa,none,Iringa,Maize,Annual,1988,9,1989,7,none,production,228599.91019922338,0
4620,TZ2012A109,"Tanzania, United Republic of",TZ,Kilimanjaro,none,Kilimanjaro,Wheat,Annual,1988,9,1989,7,none,production,1300.0,0
5192,TZ2012A112,"Tanzania, United Republic of",TZ,Lindi,none,Lindi,Maize,Annual,1988,9,1989,7,none,production,26100.0,0
