,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,QC_flag
5423,UG2007A20316,Uganda,UG,Northern,Kotido,Kotido,Cowpea,Second,2008,8,2008,12,none,yield,0.3684210526315789,0
2257,UG2007A20235,Uganda,UG,Eastern,Kamuli,Kamuli,Soybean,Second,2008,8,2008,12,none,production,137.0,0
2258,UG2007A20235,Uganda,UG,Eastern,Kamuli,Kamuli,Soybean,Second,2008,8,2008,12,none,yield,0.6061946902654868,0
2262,UG2007A20235,Uganda,UG,Eastern,Kamuli,Kamuli,Sesame Seed,Second,2008,8,2008,12,none,area,283.0,0
2263,UG2007A20235,Uganda,UG,Eastern,Kamuli,Kamuli,Sesame Seed,Second,2008,8,2008,12,none,production,82.0,0
2264,UG2007A20235,Uganda,UG,Eastern,Kamuli,Kamuli,Sesame Seed,Second,2008,8,2008,12,none,yield,0.28975265017667845,0
4302,UG2007A20407,Uganda,UG,Western,Isingiro,Isingiro,Maize,Second,2008,8,2008,12,none,yield,1.194299808166621,0
4301,UG2007A20407,Uganda,UG,Western,Isingiro,Isingiro,Maize,Second,2008,8,2008,12,none,production,4358.0,0
4300,UG2007A20407,Uganda,UG,Western,Isingiro,Isingiro,Maize,Second,2008,8,2008,12,none,area,3649.0,0
2271,UG2007A20235,Uganda,UG,Eastern,Kamuli,Kamuli,Rice,Second,2008,8,2008,12,none,area,926.0,0
2256,UG2007A20235,Uganda,UG,Eastern,Kamuli,Kamuli,Soybean,Second,2008,8,2008,12,none,area,226.0,0
2272,UG2007A20235,Uganda,UG,Eastern,Kamuli,Kamuli,Rice,Second,2008,8,2008,12,none,production,934.0,0
4296,UG2007A20407,Uganda,UG,Western,Isingiro,Isingiro,Sweet Potatoes,Second,2008,8,2008,12,none,yield,6.26391382405745,0
4295,UG2007A20407,Uganda,UG,Western,Isingiro,Isingiro,Sweet Potatoes,Second,2008,8,2008,12,none,production,3489.0,0
4294,UG2007A20407,Uganda,UG,Western,Isingiro,Isingiro,Sweet Potatoes,Second,2008,8,2008,12,none,area,557.0,0
2278,UG2007A20236,Uganda,UG,Eastern,Kapchorwa,Kapchorwa,Sweet Potatoes,Second,2008,8,2008,12,none,area,70.0,0
2279,UG2007A20236,Uganda,UG,Eastern,Kapchorwa,Kapchorwa,Sweet Potatoes,Second,2008,8,2008,12,none,production,97.0,0
2280,UG2007A20236,Uganda,UG,Eastern,Kapchorwa,Kapchorwa,Sweet Potatoes,Second,2008,8,2008,12,none,yield,1.3857142857142857,0
2284,UG2007A20236,Uganda,UG,Eastern,Kapchorwa,Kapchorwa,Maize,Second,2008,8,2008,12,none,area,2985.0,0
2285,UG2007A20236,Uganda,UG,Eastern,Kapchorwa,Kapchorwa,Maize,Second,2008,8,2008,12,none,production,26040.0,0
2286,UG2007A20236,Uganda,UG,Eastern,Kapchorwa,Kapchorwa,Maize,Second,2008,8,2008,12,none,yield,8.72361809045226,0
2273,UG2007A20235,Uganda,UG,Eastern,Kamuli,Kamuli,Rice,Second,2008,8,2008,12,none,yield,1.0086393088552916,0
4306,UG2007A20407,Uganda,UG,Western,Isingiro,Isingiro,Banana,Second,2008,8,2008,12,none,area,48.0,0
4307,UG2007A20407,Uganda,UG,Western,Isingiro,Isingiro,Banana,Second,2008,8,2008,12,none,production,249.0,0
4308,UG2007A20407,Uganda,UG,Western,Isingiro,Isingiro,Banana,Second,2008,8,2008,12,none,yield,5.1875,0
2226,UG2007A20235,Uganda,UG,Eastern,Kamuli,Kamuli,Cassava,Second,2008,8,2008,12,none,area,20675.0,0
2227,UG2007A20235,Uganda,UG,Eastern,Kamuli,Kamuli,Cassava,Second,2008,8,2008,12,none,production,53198.0,0
2228,UG2007A20235,Uganda,UG,Eastern,Kamuli,Kamuli,Cassava,Second,2008,8,2008,12,none,yield,2.5730592503022973,0
4320,UG2007A20407,Uganda,UG,Western,Isingiro,Isingiro,Cassava,Second,2008,8,2008,12,none,yield,5.885057471264368,0
4319,UG2007A20407,Uganda,UG,Western,Isingiro,Isingiro,Cassava,Second,2008,8,2008,12,none,production,4608.0,0
4318,UG2007A20407,Uganda,UG,Western,Isingiro,Isingiro,Cassava,Second,2008,8,2008,12,none,area,783.0,0
2232,UG2007A20235,Uganda,UG,Eastern,Kamuli,Kamuli,Beans (mixed),Second,2008,8,2008,12,none,area,1812.0,0
2233,UG2007A20235,Uganda,UG,Eastern,Kamuli,Kamuli,Beans (mixed),Second,2008,8,2008,12,none,production,1146.0,0
2234,UG2007A20235,Uganda,UG,Eastern,Kamuli,Kamuli,Beans (mixed),Second,2008,8,2008,12,none,yield,0.6324503311258278,0
2235,UG2007A20235,Uganda,UG,Eastern,Kamuli,Kamuli,Sorghum,Second,2008,8,2008,12,none,area,282.0,0
2236,UG2007A20235,Uganda,UG,Eastern,Kamuli,Kamuli,Sorghum,Second,2008,8,2008,12,none,production,310.0,0
2237,UG2007A20235,Uganda,UG,Eastern,Kamuli,Kamuli,Sorghum,Second,2008,8,2008,12,none,yield,1.099290780141844,0
