,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,QC_flag
0,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,1990,3,1990,11,none,area,3823.863636363636,0
1,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,1990,3,1990,11,none,production,36173.75,0
2,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,1990,3,1990,11,none,yield,9.46,0
3,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,1991,3,1991,11,none,area,3626.722222222222,0
4,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,1991,3,1991,11,none,production,39895.643939393936,0
5,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,1991,3,1991,11,none,yield,11.000468603561387,0
6,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,1992,3,1992,11,none,area,3642.0176767676767,0
7,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,1992,3,1992,11,none,production,46676.628787878784,0
8,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,1992,3,1992,11,none,yield,12.81614559029398,0
9,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,1993,3,1993,11,none,area,4370.251262626262,0
10,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,1993,3,1993,11,none,production,58343.66161616161,0
11,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,1993,3,1993,11,none,yield,13.350184717091192,0
12,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,1994,3,1994,11,none,area,3059.090909090909,0
13,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,1994,3,1994,11,none,production,51707.13383838384,0
14,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,1994,3,1994,11,none,yield,16.90277777777778,0
15,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,1995,3,1995,11,none,area,3120.272727272727,0
16,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,1995,3,1995,11,none,production,52930.7702020202,0
17,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,1995,3,1995,11,none,yield,16.96350762527233,0
18,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,1996,3,1996,11,none,area,3276.6262626262624,0
19,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,1996,3,1996,11,none,production,50283.806818181816,0
20,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,1996,3,1996,11,none,yield,15.346213692946058,0
21,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,1997,3,1997,11,none,area,3375.1969696969695,0
22,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,1997,3,1997,11,none,production,51792.10858585858,0
23,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,1997,3,1997,11,none,yield,15.344914400805639,0
24,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,1998,3,1998,11,none,area,3375.1969696969695,0
25,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,1998,3,1998,11,none,production,44022.867424242424,0
26,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,1998,3,1998,11,none,yield,13.043051359516618,0
27,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,1999,3,1999,11,none,area,3746.5366161616157,0
28,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,1999,3,1999,11,none,production,48865.57828282828,0
29,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,1999,3,1999,11,none,yield,13.042866863234295,0
30,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,2000,3,2000,11,none,area,3858.7032828282827,0
31,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,2000,3,2000,11,none,production,53602.92045454545,0
32,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,2000,3,2000,11,none,yield,13.891433604932834,0
33,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,2001,3,2001,11,none,area,3877.397727272727,0
34,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,2001,3,2001,11,none,production,54665.104797979795,0
35,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,2001,3,2001,11,none,yield,14.098400175323253,0
36,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,2009,3,2009,11,none,area,6906.0,0
37,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,2009,3,2009,11,none,production,101025.0,0
38,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,2009,3,2009,11,none,yield,14.62858384013901,0
39,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,2010,3,2010,11,none,area,7612.0,0
40,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,2010,3,2010,11,none,production,111364.0,0
41,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,2010,3,2010,11,none,yield,14.630057803468208,0
42,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,2011,3,2011,11,none,area,6523.0,0
43,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,2011,3,2011,11,none,production,98012.0,0
44,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,2011,3,2011,11,none,yield,15.02560171700138,0
45,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,2012,3,2012,11,none,area,7645.0,0
46,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,2012,3,2012,11,none,production,113543.0,0
47,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,2012,3,2012,11,none,yield,14.85192936559843,0
48,YE2014A111,Yemen,YE,Ibb,none,Ibb,Potato,Annual,2013,3,2013,11,none,area,7686.0,0
