,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,QC_flag
0,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2007,11,2008,6,OR (PS),area,56110.0,0
1,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2007,11,2008,6,OR (PS),production,17955.2,0
2,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2007,11,2008,6,OR (PS),yield,0.32,0
3,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2008,11,2009,6,OR (PS),area,30571.2,0
4,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2008,11,2009,6,OR (PS),production,37114.0,0
5,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2008,11,2009,6,OR (PS),yield,1.2140184225676454,0
6,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2007,11,2008,6,A1 (PS),area,43621.0,0
7,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2007,11,2008,6,A1 (PS),production,21810.5,0
8,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2007,11,2008,6,A1 (PS),yield,0.5,0
9,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2008,11,2009,6,A1 (PS),area,20421.6,0
10,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2008,11,2009,6,A1 (PS),production,25358.0,0
11,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2008,11,2009,6,A1 (PS),yield,1.2417244486230268,0
12,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2007,11,2008,6,CA (PS),area,178545.0,0
13,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2007,11,2008,6,CA (PS),production,35709.0,0
14,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2007,11,2008,6,CA (PS),yield,0.2,0
15,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2008,11,2009,6,CA (PS),area,151232.0,0
16,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2008,11,2009,6,CA (PS),production,78562.0,0
17,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2008,11,2009,6,CA (PS),yield,0.5194800042319085,0
18,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,1993,11,1994,6,All (PS),area,263024.0,0
19,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,1993,11,1994,6,All (PS),production,145026.0,0
20,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,1993,11,1994,6,All (PS),yield,0.5513793418091125,0
21,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2000,11,2001,6,All (PS),area,158629.0,0
22,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2000,11,2001,6,All (PS),production,176919.0,0
23,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2000,11,2001,6,All (PS),yield,1.115300480996539,0
24,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2002,11,2003,6,All (PS),area,171155.0,0
25,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2002,11,2003,6,All (PS),production,94135.0,0
26,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2002,11,2003,6,All (PS),yield,0.5499985393356899,0
27,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2003,11,2004,6,All (PS),area,121199.0,0
28,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2003,11,2004,6,All (PS),production,42420.0,0
29,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2003,11,2004,6,All (PS),yield,0.3500028878126057,0
30,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2005,11,2006,6,All (PS),area,292000.0,0
31,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2005,11,2006,6,All (PS),production,258000.0,0
32,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2005,11,2006,6,All (PS),yield,0.8835616438356164,0
33,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2006,11,2007,6,All (PS),area,237000.0,0
34,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2006,11,2007,6,All (PS),production,134000.0,0
35,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2006,11,2007,6,All (PS),yield,0.5654008438818565,0
36,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2007,11,2008,6,All (PS),area,315063.0,0
37,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2007,11,2008,6,All (PS),production,108697.0,0
38,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2007,11,2008,6,All (PS),yield,0.34500084110162094,0
39,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2008,11,2009,6,All (PS),area,219453.0,0
40,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2008,11,2009,6,All (PS),production,168936.0,0
41,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2008,11,2009,6,All (PS),yield,0.7698049240611885,0
42,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2007,11,2008,6,A2 (PS),area,23034.0,0
43,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2007,11,2008,6,A2 (PS),production,23034.0,0
44,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2007,11,2008,6,A2 (PS),yield,1.0,0
45,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2008,11,2009,6,A2 (PS),area,6339.0,0
46,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2008,11,2009,6,A2 (PS),production,12484.0,0
47,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2008,11,2009,6,A2 (PS),yield,1.9693958037545354,0
48,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2007,11,2008,6,SSCF (PS),area,9853.0,0
49,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2007,11,2008,6,SSCF (PS),production,3054.43,0
50,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2007,11,2008,6,SSCF (PS),yield,0.31,0
51,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2008,11,2009,6,SSCF (PS),area,6836.3,0
52,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2008,11,2009,6,SSCF (PS),production,6482.0,0
53,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2008,11,2009,6,SSCF (PS),yield,0.948173719702178,0
54,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2007,11,2008,6,LSCF (PS),area,3900.0,0
55,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2007,11,2008,6,LSCF (PS),production,7020.0,0
56,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2007,11,2008,6,LSCF (PS),yield,1.8,0
57,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2008,11,2009,6,LSCF (PS),area,4040.0,0
58,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2008,11,2009,6,LSCF (PS),production,9304.0,0
59,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,2008,11,2009,6,LSCF (PS),yield,2.302970297029703,0
60,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,1980,11,1981,6,Communal (PS),area,122936.0,0
61,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,1980,11,1981,6,Communal (PS),production,135178.0,0
62,ZW2018A111,Zimbabwe,ZW,Manicaland,none,Manicaland,Maize,Main,1980,11,1981,6,Communal (PS),yield,1.0995802694084726,0
