,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,gscd_code,fill_status,missing_status
2,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2002,03-01,2002,06-01,irrigated,production,139000.0,calibrated,data,
5,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2003,03-01,2003,06-01,irrigated,production,91000.0,calibrated,data,
8,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2004,03-01,2004,06-01,irrigated,production,85000.0,calibrated,data,
11,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2005,03-01,2005,06-01,irrigated,production,110000.0,calibrated,data,
14,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2006,03-01,2006,06-01,irrigated,production,140000.0,calibrated,data,
17,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2007,03-01,2007,06-01,irrigated,production,110000.0,calibrated,data,
20,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2008,03-01,2008,06-01,irrigated,production,79000.0,calibrated,data,
23,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2009,03-01,2009,06-01,irrigated,production,114000.0,calibrated,data,
26,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2010,03-01,2010,06-01,irrigated,production,89000.0,calibrated,data,
29,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2011,03-01,2011,06-01,irrigated,production,63000.0,calibrated,data,
32,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2012,03-01,2012,06-01,irrigated,production,88000.0,calibrated,data,
35,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2013,03-01,2013,06-01,irrigated,production,69000.0,calibrated,data,
38,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2014,03-01,2014,06-01,irrigated,production,73000.0,calibrated,data,
41,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2015,03-01,2015,06-01,irrigated,production,109910.0,calibrated,data,
44,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2016,03-01,2016,06-01,irrigated,production,131500.0,calibrated,data,
47,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2017,03-01,2017,06-01,irrigated,production,145730.39999999997,calibrated,data,
50,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2018,03-01,2018,06-01,irrigated,production,19467.0,calibrated,data,
53,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2019,03-01,2019,06-01,irrigated,production,86885.0,calibrated,data,
2,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2002,03-01,2002,06-01,irrigated,production_smooth,110039.6254509931,calibrated,data,
5,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2003,03-01,2003,06-01,irrigated,production_smooth,109616.22549953984,calibrated,data,
8,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2004,03-01,2004,06-01,irrigated,production_smooth,108739.09663363999,calibrated,data,
11,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2005,03-01,2005,06-01,irrigated,production_smooth,107326.3950133117,calibrated,data,
14,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2006,03-01,2006,06-01,irrigated,production_smooth,105253.72923674497,calibrated,data,
17,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2007,03-01,2007,06-01,irrigated,production_smooth,102461.49402032876,calibrated,data,
20,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2008,03-01,2008,06-01,irrigated,production_smooth,99076.49195785326,calibrated,data,
23,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2009,03-01,2009,06-01,irrigated,production_smooth,95484.21981318771,calibrated,data,
26,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2010,03-01,2010,06-01,irrigated,production_smooth,92281.19456738848,calibrated,data,
29,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2011,03-01,2011,06-01,irrigated,production_smooth,90071.23069290986,calibrated,data,
32,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2012,03-01,2012,06-01,irrigated,production_smooth,89213.19432269457,calibrated,data,
35,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2013,03-01,2013,06-01,irrigated,production_smooth,89615.22565624124,calibrated,data,
38,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2014,03-01,2014,06-01,irrigated,production_smooth,90710.53976437295,calibrated,data,
41,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2015,03-01,2015,06-01,irrigated,production_smooth,91682.46649688049,calibrated,data,
44,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2016,03-01,2016,06-01,irrigated,production_smooth,91866.50117822291,calibrated,data,
47,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2017,03-01,2017,06-01,irrigated,production_smooth,91121.75645431565,calibrated,data,
50,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2018,03-01,2018,06-01,irrigated,production_smooth,89914.05905848183,calibrated,data,
53,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2019,03-01,2019,06-01,irrigated,production_smooth,89018.9541828928,calibrated,data,
0,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2002,03-01,2002,06-01,irrigated,area,87000.0,calibrated,data,
3,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2003,03-01,2003,06-01,irrigated,area,59000.0,calibrated,data,
6,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2004,03-01,2004,06-01,irrigated,area,58000.0,calibrated,data,
9,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2005,03-01,2005,06-01,irrigated,area,44000.0,calibrated,data,
12,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2006,03-01,2006,06-01,irrigated,area,59000.0,calibrated,data,
15,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2007,03-01,2007,06-01,irrigated,area,42000.0,calibrated,data,
18,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2008,03-01,2008,06-01,irrigated,area,39000.0,calibrated,data,
21,AF2017A129,Afghanistan,AF,Faryab,,Faryab,Wheat,Spring,2009,03-01,2009,06-01,irrigated,area,43000.0,calibrated,data,
