country,season_name,product,crop_production_system,planting_month,harvest_month,planting_year,harvest_year
Burkina Faso,Annual,Maize,Plaine/Bas-fond irrigated (PS),1,12,0,0
Burkina Faso,Annual,Rice,Plaine/Bas-fond irrigated (PS),1,12,0,0
Burkina Faso,Main,Bambara groundnut,All (PS),6,12,0,0
Burkina Faso,Main,Bambara groundnut,Rainfed (PS),6,12,0,0
Burkina Faso,Main,Cowpea,All (PS),6,12,0,0
Burkina Faso,Main,Cowpea,Rainfed (PS),6,12,0,0
Burkina Faso,Main,Fonio,All (PS),6,12,0,0
Burkina Faso,Main,Fonio,Rainfed (PS),6,12,0,0
Burkina Faso,Main,Groundnuts (In Shell),All (PS),6,12,0,0
Burkina Faso,Main,Groundnuts (In Shell),Rainfed (PS),6,12,0,0
Burkina Faso,Main,Maize,All (PS),6,12,0,0
Burkina Faso,Main,Maize,Rainfed (PS),6,12,0,0
Burkina Faso,Main,Millet,All (PS),6,12,0,0
Burkina Faso,Main,Millet,Rainfed (PS),6,12,0,0
Burkina Faso,Main,Potato,All (PS),6,12,0,0
Burkina Faso,Main,Rice,All (PS),6,12,0,0
Burkina Faso,Main,Rice,Bas-fonds rainfed (PS),6,12,0,0
Burkina Faso,Main,Rice,Rainfed (PS),6,12,0,0
Burkina Faso,Main,Sesame Seed,All (PS),6,12,0,0
Burkina Faso,Main,Sesame Seed,Rainfed (PS),6,12,0,0
Burkina Faso,Main,Sorghum,All (PS),6,12,0,0
Burkina Faso,Main,Sorghum,Rainfed (PS),6,12,0,0
Burkina Faso,Main,Sorghum (Red),All (PS),6,12,0,0
Burkina Faso,Main,Sorghum (Red),Rainfed (PS),6,12,0,0
Burkina Faso,Main,Soybean,All (PS),6,12,0,0
Burkina Faso,Main,Soybean,Rainfed (PS),6,12,0,0
Burkina Faso,Main,Sweet Potatoes,All (PS),6,12,0,0
Burkina Faso,Main,Sweet Potatoes,Rainfed (PS),6,12,0,0
Burkina Faso,Main,Yams,All (PS),6,12,0,0
Burkina Faso,Main,Yams,Rainfed (PS),6,12,0,0
Burkina Faso,Main,Cotton (Unspecified),All (PS),6,12,0,0
Burkina Faso,Main,Cotton (Unspecified),Rainfed (PS),6,12,0,0
South Africa,Summer,Beans,Commercial (PS),10,4,-1,-1
South Africa,Summer,Groundnuts,Commercial (PS),10,4,-1,-1
South Africa,Summer,Maize (White),Commercial (PS),10,4,-1,-1
South Africa,Summer,Maize (Yellow),Commercial (PS),10,4,-1,-1
South Africa,Summer,Sorghum,Commercial (PS),10,4,-1,-1
South Africa,Summer,Soybean,Commercial (PS),10,4,-1,-1
South Africa,Summer,Sunflower Seed,Commercial (PS),10,4,-1,-1
South Africa,Winter,Barley,Commercial (PS),5,11,0,0
South Africa,Winter,Canola seed,Commercial (PS),5,11,0,0
South Africa,Winter,Wheat,Commercial (PS),5,11,0,0
Mali,Main,Bambara groundnut,none,6,12,0,0
Mali,Main,Barley,none,6,12,0,0
Mali,Main,Beans (mixed),none,6,12,0,0
Mali,Main,Cowpeas,none,6,12,0,0
Mali,Main,Fonio,none,6,12,0,0
Mali,Main,Gram,none,6,12,0,0
Mali,Main,Groundnuts (In Shell),none,6,12,0,0
Mali,Main,Maize,none,6,12,0,0
Mali,Main,Millet,none,6,12,0,0
Mali,Main,Rice,none,6,12,0,0
Mali,Main,Sesame Seed,none,6,12,0,0
Mali,Main,Sorghum,none,6,12,0,0
Mali,Main,Soybean,none,6,12,0,0
Mali,Main,Sugarcane,none,6,12,0,0
Mali,Main,Sweet Potatoes,none,6,12,0,0
Mali,Main,Wheat,none,6,12,0,0
Mali,Main,Yams,none,6,12,0,0
Mali,Main,Cotton (Unspecified),none,6,12,0,0
Somalia,Deyr,Cowpeas,agro_pastoral,10,3,-2,-1
Somalia,Deyr,Cowpeas,none,10,3,-2,-1
Somalia,Deyr,Cowpeas,riverine,10,3,-2,-1
Somalia,Deyr,Groundnuts,agro_pastoral,10,3,-2,-1
Somalia,Deyr,Groundnuts,none,10,3,-2,-1
Somalia,Deyr,Maize,agro_pastoral,10,3,-2,-1
Somalia,Deyr,Maize,none,10,3,-2,-1
Somalia,Deyr,Maize,riverine,10,3,-2,-1
Somalia,Deyr,Onions,agro_pastoral,10,3,-2,-1
Somalia,Deyr,Onions,none,10,3,-2,-1
Somalia,Deyr,Onions,riverine,10,3,-2,-1
Somalia,Deyr,Rice,agro_pastoral,10,3,-2,-1
Somalia,Deyr,Rice,none,10,3,-2,-1
Somalia,Deyr,Rice,riverine,10,3,-2,-1
Somalia,Deyr,Sesame Seed,agro_pastoral,10,3,-2,-1
Somalia,Deyr,Sesame Seed,none,10,3,-2,-1
Somalia,Deyr,Sesame Seed,riverine,10,3,-2,-1
Somalia,Deyr,Sorghum,agro_pastoral,10,3,-2,-1
Somalia,Deyr,Sorghum,none,10,3,-2,-1
Somalia,Deyr,Sorghum,riverine,10,3,-2,-1
Somalia,Deyr,Tomato,agro_pastoral,10,3,-2,-1
Somalia,Deyr,Tomato,none,10,3,-2,-1
Somalia,Deyr,Tomato,riverine,10,3,-2,-1
Somalia,Deyr,Watermelon,agro_pastoral,10,3,-2,-1
Somalia,Deyr,Watermelon,none,10,3,-2,-1
Somalia,Deyr,Watermelon,riverine,10,3,-2,-1
Somalia,Deyr-off,Cowpeas,agro_pastoral,10,4,-1,-1
Somalia,Deyr-off,Cowpeas,none,10,4,-1,-1
Somalia,Deyr-off,Cowpeas,riverine,10,4,-1,-1
Somalia,Deyr-off,Maize,agro_pastoral,10,4,-1,-1
Somalia,Deyr-off,Maize,none,10,4,-1,-1
Somalia,Deyr-off,Maize,riverine,10,4,-1,-1
Somalia,Deyr-off,Sesame Seed,agro_pastoral,10,4,-1,-1
Somalia,Deyr-off,Sesame Seed,none,10,4,-1,-1
Somalia,Deyr-off,Sesame Seed,riverine,10,4,-1,-1
Somalia,Deyr-off,Sorghum,agro_pastoral,10,4,-1,-1
Somalia,Gu,Cowpeas,agro_pastoral,3,8,0,0
Somalia,Gu,Cowpeas,none,3,8,0,0
Somalia,Gu,Cowpeas,riverine,3,8,0,0
Somalia,Gu,Groundnuts,agro_pastoral,3,8,0,0
Somalia,Gu,Groundnuts,none,3,8,0,0
Somalia,Gu,Maize,agro_pastoral,3,8,0,0
Somalia,Gu,Maize,none,3,8,0,0
Somalia,Gu,Maize,riverine,3,8,0,0
Somalia,Gu,Onions,agro_pastoral,3,8,0,0
Somalia,Gu,Onions,none,3,8,0,0
Somalia,Gu,Onions,riverine,3,8,0,0
Somalia,Gu,Rice,none,3,8,0,0
Somalia,Gu,Rice,riverine,3,8,0,0
Somalia,Gu,Sesame Seed,agro_pastoral,3,8,0,0
Somalia,Gu,Sesame Seed,none,3,8,0,0
Somalia,Gu,Sesame Seed,riverine,3,8,0,0
Somalia,Gu,Sorghum,agro_pastoral,3,8,0,0
Somalia,Gu,Sorghum,none,3,8,0,0
Somalia,Gu,Sorghum,riverine,3,8,0,0
Somalia,Gu,Tomato,agro_pastoral,3,8,0,0
Somalia,Gu,Tomato,none,3,8,0,0
Somalia,Gu,Tomato,riverine,3,8,0,0
Somalia,Gu,Watermelon,agro_pastoral,3,8,0,0
Somalia,Gu,Watermelon,none,3,8,0,0
Somalia,Gu,Watermelon,riverine,3,8,0,0
Somalia,Gu-off,Cowpeas,agro_pastoral,3,9,0,0
Somalia,Gu-off,Cowpeas,none,3,9,0,0
Somalia,Gu-off,Cowpeas,riverine,3,9,0,0
Somalia,Gu-off,Maize,agro_pastoral,3,9,0,0
Somalia,Gu-off,Maize,none,3,9,0,0
Somalia,Gu-off,Maize,riverine,3,9,0,0
Somalia,Gu-off,Sesame Seed,agro_pastoral,3,9,0,0
Somalia,Gu-off,Sesame Seed,none,3,9,0,0
Somalia,Gu-off,Sesame Seed,riverine,3,9,0,0
Somalia,Gu-off,Sorghum,riverine,3,9,0,0
Somalia,Gu,Pepper (Piper spp.),none,3,8,0,0
Somalia,Gu,Pepper (Piper spp.),riverine,3,8,0,0
Somalia,Deyr,Pepper (Piper spp.),none,10,3,-2,-1
Somalia,Deyr,Pepper (Piper spp.),riverine,10,3,-2,-1
Somalia,Deyr,Pepper (Piper spp.),agro_pastoral,10,3,-2,-1
Angola,Main,Avocado,All (PS),10,4,-1,0
Angola,Main,Banana,All (PS),10,4,-1,0
Angola,Main,Beans,All (PS),10,4,-1,0
Angola,Main,Cabbage,All (PS),10,4,-1,0
Angola,Main,Carrots,All (PS),10,4,-1,0
Angola,Main,Cassava,All (PS),10,4,-1,0
Angola,Main,Cowpeas,All (PS),10,4,-1,0
Angola,Main,Garlic,All (PS),10,4,-1,0
Angola,Main,Green bean,All (PS),10,4,-1,0
Angola,Main,Groundnuts,All (PS),10,4,-1,0
Angola,Main,Lemon,All (PS),10,4,-1,0
Angola,Main,Maize,All (PS),10,4,-1,0
Angola,Main,Mango,All (PS),10,4,-1,0
Angola,Main,Millet,All (PS),10,4,-1,0
Angola,Main,Millet (Pearl),All (PS),10,4,-1,0
