country,season_name,planting_month,harvest_month,planting_year,harvest_year
Afghanistan,Spring,1,6,0,0
Afghanistan,Winter,10,7,-1,0
Afghanistan,Annual,1,12,0,0
Angola,Main,10,4,-1,0
Benin,Annual,3,10,0,0
Benin,Main,3,10,0,0
Burkina Faso,Annual,1,12,0,0
Burkina Faso,Main,6,12,0,0
Burundi,Season A,9,1,0,0
Burundi,Season B,2,8,0,0
Burundi,Season C,6,11,0,0
Cameroon,1st Season,6,12,0,0
Cameroon,2nd Season,6,12,0,0
Cameroon,Annual,6,12,0,0
Cameroon,North 1st Season,6,12,0,0
Cameroon,North 2nd Season,6,12,0,0
Central African Republic,Main,4,9,0,-1
Chad,Cold-off,1,3,0,0
Chad,Main,6,11,0,0
"Congo, The Democratic Republic of the",Main,1,12,0,0
Ethiopia,Meher,5,1,-1,-1
Guinea,Main,5,12,0,0
Kenya,Annual,1,12,0,-1
Kenya,Long,3,8,0,0
Kenya,Short,10,3,-1,0
Lesotho,Summer,10,7,-1,0
Lesotho,Winter,5,11,0,0
Liberia,Main,4,12,0,0
Madagascar,Annual,11,6,-1,0
Malawi,Annual,11,10,-1,0
Malawi,Main,11,5,-1,0
Malawi,Winter,3,8,0,0
Mali,Main,6,12,0,0
Mauritania,Annual,6,11,0,0
Mauritania,Bas-fond,10,3,-1,0
Mauritania,Cold off-season,11,2,-1,0
Mauritania,Dam retention,10,3,-1,0
Mauritania,Decrue controlee,10,3,-1,0
Mauritania,Hot off-season,3,6,0,0
Mauritania,Main,6,11,0,0
Mauritania,Walo,11,4,-1,0
Mozambique,Annual,10,6,-1,0
Mozambique,Cotton season,10,6,-1,0
Mozambique,Main,10,6,-1,0
Mozambique,Rice season,10,6,-1,0
Niger,Dry,6,12,0,0
Niger,Main,6,12,0,0
Nigeria,Annual,3,10,0,0
Nigeria,Wet,3,10,0,0
Rwanda,Season A,9,2,-1,0
Rwanda,Season B,2,7,0,0
Rwanda,Season C,6,9,0,0
Senegal,Main,6,11,0,0
Senegal,Main-off,2,7,0,0
Sierra Leone,Main,5,9,0,0
Somalia,Deyr,10,3,0,1
Somalia,Deyr-off,10,4,-1,0
Somalia,Gu,3,8,0,0
Somalia,Gu-off,3,9,0,0
South Africa,Summer,10,4,-1,0
South Africa,Winter,5,11,0,0
South Sudan,Main,6,1,-1,0
Sudan,Main,6,11,-1,0
Sudan,Winter,11,4,-1,0
"Tanzania, United Republic of",Annual,9,7,-1,0
"Tanzania, United Republic of",Long,3,8,0,0
"Tanzania, United Republic of",Long/Dry,3,8,0,0
"Tanzania, United Republic of",Short,10,4,-1,0
Togo,Annual,5,11,0,0
Togo,Main,5,11,0,0
Uganda,Annual,3,11,0,0
Uganda,First,3,7,0,0
Uganda,Second,8,12,0,0
Yemen,Annual,3,11,0,0
Zambia,Annual,11,5,-1,0
Zimbabwe,Main,11,6,-1,0
Ghana,Annual,1,12,0,0
Ghana,Main,6,10,0,0
Ghana,Second,9,12,0,0
