,country,source_organization,source_document,geographic_unit_full_name,geographic_unit_name,fnid,admin_0,admin_1,admin_2,admin_3,admin_4,population_group,crop_production_system,start_date,period_date,season_name,season_type,season_date,season_year,planting_start_date,planting_end_date,harvest_start_date,harvest_end_date,vegetative_start_date,vegetative_end_date,reproductive_start_date,reproductive_end_date,document_type,preference_rating,indicator_group,indicator,status,value,population,value_per_capita,product,country_code,locality_name,unit,unit_name,cpcv2,cpcv2_description,geographic_group,fewsnet_region,id,datacollectionperiod,datacollection,datasourcedocument,datasourceorganization,indicator_abbreviation,locality,geographic_unit,season,dataseries,dataseries_name,specialization_type,dataseries_specialization_type,data_usage_policy,created,modified,status_changed,collection_status,collection_status_changed,collection_schedule,collection_date,publication_name
0,Central African Republic,MCDR/DSDI/FAO,"MSAM, Central African Republic","Ombella-Mpoko, Central African Republic",Ombella-Mpoko,CF2003A111,Central African Republic,Ombella-Mpoko,,,,,,2017-01-01,2017-01-31,Main harvest,Harvest,2016-08-01,Main harvest 2016,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Collected,1019.1291293,640688,0.0015906792843006269,Rice (Paddy),CF,"Ombella-Mpoko, Central African Republic (From 01/01/2003)",ha,hectare,R01132AA,"Rice, not husked, unspecified",Middle Africa,West Africa,4374985,63970,72152,2533,841,crop:harvested,24609,4502,81,1653543,"CFSAM: Ombella-Mpoko, Central African Republic (From 01/01/2003): R01132AA - Rice (Paddy), unspecified: Main harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-08-27T17:04:39,2018-08-27T17:04:41,2018-08-27T17:04:41,Published,2018-09-05T17:44:44,Ad Hoc,2017-01-31,CFSAM
1,Central African Republic,MCDR/DSDI/FAO,"MSAM, Central African Republic","Ombella-Mpoko, Central African Republic",Ombella-Mpoko,CF2003A111,Central African Republic,Ombella-Mpoko,,,,,,2017-01-01,2017-01-31,Main harvest,Harvest,2016-08-01,Main harvest 2016,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Collected,25365.583749,640688,0.039591164106398125,Maize (Corn),CF,"Ombella-Mpoko, Central African Republic (From 01/01/2003)",ha,hectare,R01122AA,"Maize grain (corn), other",Middle Africa,West Africa,4374981,63970,72152,2533,841,crop:harvested,24609,4502,81,1653539,"CFSAM: Ombella-Mpoko, Central African Republic (From 01/01/2003): R01122AA - Maize (Corn), unspecified: Main harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-08-27T17:04:39,2018-08-27T17:04:41,2018-08-27T17:04:41,Published,2018-09-05T17:44:44,Ad Hoc,2017-01-31,CFSAM
2,Central African Republic,MCDR/DSDI/FAO,"MSAM, Central African Republic","Ombella-Mpoko, Central African Republic",Ombella-Mpoko,CF2003A111,Central African Republic,Ombella-Mpoko,,,,,,2017-01-01,2017-01-31,Main harvest,Harvest,2016-08-01,Main harvest 2016,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Collected,11591.91892826,640688,0.01809292343271608,Sesame Seed,CF,"Ombella-Mpoko, Central African Republic (From 01/01/2003)",ha,hectare,R01444AA,Oilseed,Middle Africa,West Africa,4374993,63970,72152,2533,841,crop:harvested,24609,4502,81,1653551,"CFSAM: Ombella-Mpoko, Central African Republic (From 01/01/2003): R01444AA - Sesame Seed: Main harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-08-27T17:04:39,2018-08-27T17:04:41,2018-08-27T17:04:41,Published,2018-09-05T17:44:44,Ad Hoc,2017-01-31,CFSAM
3,Central African Republic,MCDR/DSDI/FAO,"MSAM, Central African Republic","Ombella-Mpoko, Central African Republic",Ombella-Mpoko,CF2003A111,Central African Republic,Ombella-Mpoko,,,,,,2017-01-01,2017-01-31,Main harvest,Harvest,2016-08-01,Main harvest 2016,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Collected,17368.9365287,640688,0.02710982026930425,Cassava,CF,"Ombella-Mpoko, Central African Republic (From 01/01/2003)",ha,hectare,R01592AA,Root,Middle Africa,West Africa,4374997,63970,72152,2533,841,crop:harvested,24609,4502,81,1653555,"CFSAM: Ombella-Mpoko, Central African Republic (From 01/01/2003): R01592AA - Cassava: Main harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-08-27T17:04:39,2018-08-27T17:04:41,2018-08-27T17:04:41,Published,2018-09-05T17:44:44,Ad Hoc,2017-01-31,CFSAM
4,Central African Republic,MCDR/DSDI/FAO,"MSAM, Central African Republic","Ombella-Mpoko, Central African Republic",Ombella-Mpoko,CF2003A111,Central African Republic,Ombella-Mpoko,,,,,,2017-01-01,2017-01-31,Main harvest,Harvest,2016-08-01,Main harvest 2016,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Collected,38279.7102,640688,0.05974781828284594,Groundnuts (In Shell),CF,"Ombella-Mpoko, Central African Republic (From 01/01/2003)",ha,hectare,R01422AA,"Groundnuts in shell, not specified",Middle Africa,West Africa,4374989,63970,72152,2533,841,crop:harvested,24609,4502,81,1653547,"CFSAM: Ombella-Mpoko, Central African Republic (From 01/01/2003): R01422AA - Groundnuts (In Shell): Main harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-08-27T17:04:39,2018-08-27T17:04:41,2018-08-27T17:04:41,Published,2018-09-05T17:44:44,Ad Hoc,2017-01-31,CFSAM
5,Central African Republic,MCDR/DSDI/FAO,"MSAM, Central African Republic","Ombella-Mpoko, Central African Republic",Ombella-Mpoko,CF2003A111,Central African Republic,Ombella-Mpoko,,,,,,2016-01-01,2016-01-31,Main harvest,Harvest,2015-08-01,Main harvest 2015,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Collected,33134.0152496,617578,0.05365154725330242,Groundnuts (In Shell),CF,"Ombella-Mpoko, Central African Republic (From 01/01/2003)",ha,hectare,R01422AA,"Groundnuts in shell, not specified",Middle Africa,West Africa,4374669,63969,72151,2533,841,crop:harvested,24609,4502,81,1653547,"CFSAM: Ombella-Mpoko, Central African Republic (From 01/01/2003): R01422AA - Groundnuts (In Shell): Main harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-08-27T17:04:34,2018-08-27T17:04:41,2018-08-27T17:04:41,Published,2018-09-05T17:44:44,Ad Hoc,2016-01-31,CFSAM
6,Central African Republic,MCDR/DSDI/FAO,"MSAM, Central African Republic","Ombella-Mpoko, Central African Republic",Ombella-Mpoko,CF2003A111,Central African Republic,Ombella-Mpoko,,,,,,2016-01-01,2016-01-31,Main harvest,Harvest,2015-08-01,Main harvest 2015,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Collected,926.48102664,617578,0.0015001846352039742,Rice (Paddy),CF,"Ombella-Mpoko, Central African Republic (From 01/01/2003)",ha,hectare,R01132AA,"Rice, not husked, unspecified",Middle Africa,West Africa,4374665,63969,72151,2533,841,crop:harvested,24609,4502,81,1653543,"CFSAM: Ombella-Mpoko, Central African Republic (From 01/01/2003): R01132AA - Rice (Paddy), unspecified: Main harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-08-27T17:04:34,2018-08-27T17:04:41,2018-08-27T17:04:41,Published,2018-09-05T17:44:44,Ad Hoc,2016-01-31,CFSAM
7,Central African Republic,MCDR/DSDI/FAO,"MSAM, Central African Republic","Ombella-Mpoko, Central African Republic",Ombella-Mpoko,CF2003A111,Central African Republic,Ombella-Mpoko,,,,,,2016-01-01,2016-01-31,Main harvest,Harvest,2015-08-01,Main harvest 2015,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Collected,24157.69880857,617578,0.03911683837275615,Maize (Corn),CF,"Ombella-Mpoko, Central African Republic (From 01/01/2003)",ha,hectare,R01122AA,"Maize grain (corn), other",Middle Africa,West Africa,4374661,63969,72151,2533,841,crop:harvested,24609,4502,81,1653539,"CFSAM: Ombella-Mpoko, Central African Republic (From 01/01/2003): R01122AA - Maize (Corn), unspecified: Main harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-08-27T17:04:34,2018-08-27T17:04:41,2018-08-27T17:04:41,Published,2018-09-05T17:44:44,Ad Hoc,2016-01-31,CFSAM
8,Central African Republic,MCDR/DSDI/FAO,"MSAM, Central African Republic","Ombella-Mpoko, Central African Republic",Ombella-Mpoko,CF2003A111,Central African Republic,Ombella-Mpoko,,,,,,2016-01-01,2016-01-31,Main harvest,Harvest,2015-08-01,Main harvest 2015,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Collected,15546.84615888,617578,0.025173898938887072,Cassava,CF,"Ombella-Mpoko, Central African Republic (From 01/01/2003)",ha,hectare,R01592AA,Root,Middle Africa,West Africa,4374677,63969,72151,2533,841,crop:harvested,24609,4502,81,1653555,"CFSAM: Ombella-Mpoko, Central African Republic (From 01/01/2003): R01592AA - Cassava: Main harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-08-27T17:04:34,2018-08-27T17:04:41,2018-08-27T17:04:41,Published,2018-09-05T17:44:44,Ad Hoc,2016-01-31,CFSAM
9,Central African Republic,MCDR/DSDI/FAO,"MSAM, Central African Republic","Ombella-Mpoko, Central African Republic",Ombella-Mpoko,CF2003A111,Central African Republic,Ombella-Mpoko,,,,,,2016-01-01,2016-01-31,Main harvest,Harvest,2015-08-01,Main harvest 2015,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Collected,9490.68194552,617578,0.0153675842493094,Sesame Seed,CF,"Ombella-Mpoko, Central African Republic (From 01/01/2003)",ha,hectare,R01444AA,Oilseed,Middle Africa,West Africa,4374673,63969,72151,2533,841,crop:harvested,24609,4502,81,1653551,"CFSAM: Ombella-Mpoko, Central African Republic (From 01/01/2003): R01444AA - Sesame Seed: Main harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-08-27T17:04:34,2018-08-27T17:04:41,2018-08-27T17:04:41,Published,2018-09-05T17:44:44,Ad Hoc,2016-01-31,CFSAM
