,country,source_organization,source_document,geographic_unit_full_name,geographic_unit_name,fnid,admin_0,admin_1,admin_2,admin_3,admin_4,population_group,crop_production_system,start_date,period_date,season_name,season_type,season_date,season_year,planting_start_date,planting_end_date,harvest_start_date,harvest_end_date,vegetative_start_date,vegetative_end_date,reproductive_start_date,reproductive_end_date,document_type,preference_rating,indicator_group,indicator,status,value,population,value_per_capita,product,country_code,locality_name,unit,unit_name,cpcv2,cpcv2_description,geographic_group,fewsnet_region,id,datacollectionperiod,datacollection,datasourcedocument,datasourceorganization,indicator_abbreviation,locality,geographic_unit,season,dataseries,dataseries_name,specialization_type,dataseries_specialization_type,data_usage_policy,created,modified,status_changed,collection_status,collection_status_changed,collection_schedule,collection_date,publication_name
0,Mauritania,"Ministry of Rural Development, Mauritania","FEWS NET Agro Maps, Mauritania","Hodh ech Chargui, Mauritania",Hodh ech Chargui,MR1990A101,Mauritania,Hodh ech Chargui,,,,,All (PS),1998-06-01,1998-06-30,Annual,Harvest,1998-06-30,Annual 1998,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Not Collected,,303322.0,,Millet,MR,"Hodh ech Chargui, Mauritania (From 01/01/1990): All sectors (PS)",ha,hectare,R01182AA,"Millet grain, other",Western Africa,West Africa,35707998,334942,347575,973,542,crop:harvested,120765,6879,721,7167666,"FEWS NET Agro Maps, Mauritania: Hodh ech Chargui, Mauritania (From 01/01/1990): All sectors (PS): R01182AA / Millet: Annual: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-05-13T14:42:59,2024-05-13T14:42:59,2024-05-13T14:44:01,Published,2024-05-13T14:48:28,Ad Hoc,1998-06-30,"FEWS NET Agro Maps, Mauritania"
1,Mauritania,"Ministry of Rural Development, Mauritania","FEWS NET Agro Maps, Mauritania","Hodh ech Chargui, Mauritania",Hodh ech Chargui,MR1990A101,Mauritania,Hodh ech Chargui,,,,,All (PS),1998-06-01,1998-06-30,Annual,Harvest,1998-06-30,Annual 1998,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Not Collected,,303322.0,,Sorghum,MR,"Hodh ech Chargui, Mauritania (From 01/01/1990): All sectors (PS)",ha,hectare,R01142AA,"Sorghum grain, other",Western Africa,West Africa,35707606,334942,347575,973,542,crop:harvested,120765,6879,721,7167597,"FEWS NET Agro Maps, Mauritania: Hodh ech Chargui, Mauritania (From 01/01/1990): All sectors (PS): R01142AA / Sorghum: Annual: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-05-13T14:42:48,2024-05-13T14:42:48,2024-05-13T14:44:01,Published,2024-05-13T14:48:28,Ad Hoc,1998-06-30,"FEWS NET Agro Maps, Mauritania"
2,Mauritania,"Ministry of Rural Development, Mauritania","FEWS NET Agro Maps, Mauritania","Hodh ech Chargui, Mauritania",Hodh ech Chargui,MR1990A101,Mauritania,Hodh ech Chargui,,,,,All (PS),1998-06-01,1998-06-30,Annual,Harvest,1998-06-30,Annual 1998,,,,,,,,,Final Government Crop Production,,Crop Production,Area Planted,Collected,3937.0,303322.0,0.012979605831426669,Millet,MR,"Hodh ech Chargui, Mauritania (From 01/01/1990): All sectors (PS)",ha,hectare,R01182AA,"Millet grain, other",Western Africa,West Africa,35707001,334942,347575,973,542,crop:planted,120765,6879,721,7167499,"FEWS NET Agro Maps, Mauritania: Hodh ech Chargui, Mauritania (From 01/01/1990): All sectors (PS): R01182AA / Millet: Annual: crop: crop:planted: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-05-13T14:42:33,2024-05-13T14:42:33,2024-05-13T14:44:01,Published,2024-05-13T14:48:28,Ad Hoc,1998-06-30,"FEWS NET Agro Maps, Mauritania"
3,Mauritania,"Ministry of Rural Development, Mauritania","FEWS NET Agro Maps, Mauritania","Hodh ech Chargui, Mauritania",Hodh ech Chargui,MR1990A101,Mauritania,Hodh ech Chargui,,,,,All (PS),1998-06-01,1998-06-30,Annual,Harvest,1998-06-30,Annual 1998,,,,,,,,,Final Government Crop Production,,Crop Production,Area Planted,Collected,37787.0,303322.0,0.12457718200460237,Sorghum,MR,"Hodh ech Chargui, Mauritania (From 01/01/1990): All sectors (PS)",ha,hectare,R01142AA,"Sorghum grain, other",Western Africa,West Africa,35706609,334942,347575,973,542,crop:planted,120765,6879,721,7167430,"FEWS NET Agro Maps, Mauritania: Hodh ech Chargui, Mauritania (From 01/01/1990): All sectors (PS): R01142AA / Sorghum: Annual: crop: crop:planted: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-05-13T14:42:22,2024-05-13T14:42:22,2024-05-13T14:44:01,Published,2024-05-13T14:48:28,Ad Hoc,1998-06-30,"FEWS NET Agro Maps, Mauritania"
4,Mauritania,"Ministry of Rural Development, Mauritania","FEWS NET Agro Maps, Mauritania","Hodh ech Chargui, Mauritania",Hodh ech Chargui,MR1990A101,Mauritania,Hodh ech Chargui,,,,,All (PS),1998-06-01,1998-06-30,Annual,Harvest,1998-06-30,Annual 1998,,,,,,,,,Final Government Crop Production,,Crop Production,Quantity Produced,Collected,13650.0,303322.0,0.045001681381502165,Sorghum,MR,"Hodh ech Chargui, Mauritania (From 01/01/1990): All sectors (PS)",t,Tonne,R01142AA,"Sorghum grain, other",Western Africa,West Africa,35709600,334942,347575,973,542,crop:quantity,120765,6879,721,7167931,"FEWS NET Agro Maps, Mauritania: Hodh ech Chargui, Mauritania (From 01/01/1990): All sectors (PS): R01142AA / Sorghum: Annual: crop: crop:quantity: Tonne",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-05-13T14:43:41,2024-05-13T14:43:41,2024-05-13T14:44:01,Published,2024-05-13T14:48:28,Ad Hoc,1998-06-30,"FEWS NET Agro Maps, Mauritania"
5,Mauritania,"Ministry of Rural Development, Mauritania","FEWS NET Agro Maps, Mauritania","Hodh ech Chargui, Mauritania",Hodh ech Chargui,MR1990A101,Mauritania,Hodh ech Chargui,,,,,All (PS),1998-06-01,1998-06-30,Annual,Harvest,1998-06-30,Annual 1998,,,,,,,,,Final Government Crop Production,,Crop Production,Quantity Produced,Collected,713.0,303322.0,0.0023506372765575855,Millet,MR,"Hodh ech Chargui, Mauritania (From 01/01/1990): All sectors (PS)",t,Tonne,R01182AA,"Millet grain, other",Western Africa,West Africa,35709992,334942,347575,973,542,crop:quantity,120765,6879,721,7168000,"FEWS NET Agro Maps, Mauritania: Hodh ech Chargui, Mauritania (From 01/01/1990): All sectors (PS): R01182AA / Millet: Annual: crop: crop:quantity: Tonne",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-05-13T14:43:52,2024-05-13T14:43:52,2024-05-13T14:44:01,Published,2024-05-13T14:48:28,Ad Hoc,1998-06-30,"FEWS NET Agro Maps, Mauritania"
6,Mauritania,"Ministry of Rural Development, Mauritania","FEWS NET Agro Maps, Mauritania","Hodh ech Chargui, Mauritania",Hodh ech Chargui,MR1990A101,Mauritania,Hodh ech Chargui,,,,,All (PS),1998-06-01,1998-06-30,Annual,Harvest,1998-06-30,Annual 1998,,,,,,,,,Final Government Crop Production,,Crop Production,Yield,Collected,0.1811023622047244,303322.0,5.970630623717514e-07,Millet,MR,"Hodh ech Chargui, Mauritania (From 01/01/1990): All sectors (PS)",MT/ha,tonnes per hectare,R01182AA,"Millet grain, other",Western Africa,West Africa,35708995,334942,347575,973,542,crop:yield,120765,6879,721,7167833,"FEWS NET Agro Maps, Mauritania: Hodh ech Chargui, Mauritania (From 01/01/1990): All sectors (PS): R01182AA / Millet: Annual: crop: crop:yield: tonnes per hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-05-13T14:43:25,2024-05-13T14:43:25,2024-05-13T14:44:01,Published,2024-05-13T14:48:28,Ad Hoc,1998-06-30,"FEWS NET Agro Maps, Mauritania"
7,Mauritania,"Ministry of Rural Development, Mauritania","FEWS NET Agro Maps, Mauritania","Hodh ech Chargui, Mauritania",Hodh ech Chargui,MR1990A101,Mauritania,Hodh ech Chargui,,,,,All (PS),1998-06-01,1998-06-30,Annual,Harvest,1998-06-30,Annual 1998,,,,,,,,,Final Government Crop Production,,Crop Production,Yield,Collected,0.3612353454891894,303322.0,1.1909302506550444e-06,Sorghum,MR,"Hodh ech Chargui, Mauritania (From 01/01/1990): All sectors (PS)",MT/ha,tonnes per hectare,R01142AA,"Sorghum grain, other",Western Africa,West Africa,35708603,334942,347575,973,542,crop:yield,120765,6879,721,7167764,"FEWS NET Agro Maps, Mauritania: Hodh ech Chargui, Mauritania (From 01/01/1990): All sectors (PS): R01142AA / Sorghum: Annual: crop: crop:yield: tonnes per hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-05-13T14:43:15,2024-05-13T14:43:15,2024-05-13T14:44:01,Published,2024-05-13T14:48:28,Ad Hoc,1998-06-30,"FEWS NET Agro Maps, Mauritania"
8,Mauritania,"Ministry of Rural Development, Mauritania","FEWS NET Agro Maps, Mauritania","Hodh el Gharbi, Mauritania",Hodh el Gharbi,MR1990A102,Mauritania,Hodh el Gharbi,,,,,All (PS),1998-06-01,1998-06-30,Annual,Harvest,1998-06-30,Annual 1998,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Not Collected,,227910.0,,Sorghum,MR,"Hodh el Gharbi, Mauritania (From 01/01/1990): All sectors (PS)",ha,hectare,R01142AA,"Sorghum grain, other",Western Africa,West Africa,35707653,334942,347575,973,542,crop:harvested,120766,6880,721,7167601,"FEWS NET Agro Maps, Mauritania: Hodh el Gharbi, Mauritania (From 01/01/1990): All sectors (PS): R01142AA / Sorghum: Annual: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-05-13T14:42:49,2024-05-13T14:42:49,2024-05-13T14:44:01,Published,2024-05-13T14:48:28,Ad Hoc,1998-06-30,"FEWS NET Agro Maps, Mauritania"
9,Mauritania,"Ministry of Rural Development, Mauritania","FEWS NET Agro Maps, Mauritania","Hodh el Gharbi, Mauritania",Hodh el Gharbi,MR1990A102,Mauritania,Hodh el Gharbi,,,,,All (PS),1998-06-01,1998-06-30,Annual,Harvest,1998-06-30,Annual 1998,,,,,,,,,Final Government Crop Production,,Crop Production,Area Planted,Collected,19890.0,227910.0,0.08727129129919706,Sorghum,MR,"Hodh el Gharbi, Mauritania (From 01/01/1990): All sectors (PS)",ha,hectare,R01142AA,"Sorghum grain, other",Western Africa,West Africa,35706656,334942,347575,973,542,crop:planted,120766,6880,721,7167434,"FEWS NET Agro Maps, Mauritania: Hodh el Gharbi, Mauritania (From 01/01/1990): All sectors (PS): R01142AA / Sorghum: Annual: crop: crop:planted: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-05-13T14:42:23,2024-05-13T14:42:23,2024-05-13T14:44:01,Published,2024-05-13T14:48:28,Ad Hoc,1998-06-30,"FEWS NET Agro Maps, Mauritania"
