,country,source_organization,source_document,geographic_unit_full_name,geographic_unit_name,fnid,admin_0,admin_1,admin_2,admin_3,admin_4,population_group,crop_production_system,start_date,period_date,season_name,season_type,season_date,season_year,planting_start_date,planting_end_date,harvest_start_date,harvest_end_date,vegetative_start_date,vegetative_end_date,reproductive_start_date,reproductive_end_date,document_type,preference_rating,indicator_group,indicator,status,value,population,value_per_capita,product,country_code,locality_name,unit,unit_name,cpcv2,cpcv2_description,geographic_group,fewsnet_region,id,datacollectionperiod,datacollection,datasourcedocument,datasourceorganization,indicator_abbreviation,locality,geographic_unit,season,dataseries,dataseries_name,specialization_type,dataseries_specialization_type,data_usage_policy,created,modified,status_changed,collection_status,collection_status_changed,collection_schedule,collection_date,publication_name
0,Sierra Leone,"Ministry of Agriculture, Forestry and Food Security, Sierra Leone","Crop production survey, Sierra Leone","Kailahun, Eastern, Sierra Leone",Kailahun,SL1960A20101,Sierra Leone,Eastern,Kailahun,,,,,2016-12-01,2016-12-31,Main season,Harvest,2016-05-01,Main season 2016,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Not Collected,,446354.0,,Okras (Fresh),SL,"Kailahun, Eastern, Sierra Leone (01/01/1960 - 01/01/2009)",ha,hectare,R01239AA,Abelmoschus esculentus,Western Africa,West Africa,3089122,54833,61011,1018,567,crop:harvested,7951,5104,107,525411,"Crop production, Sierra Leone: Kailahun, Eastern, Sierra Leone (From 01/01/1960): R01239AA - Okras: Main season: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2017-11-13T19:55:49,2017-11-13T19:55:49,2017-11-13T19:55:49,Published,2018-09-05T17:44:44,Ad Hoc,2016-12-31,"Crop production, Sierra Leone"
1,Sierra Leone,"Ministry of Agriculture, Forestry and Food Security, Sierra Leone","Crop production survey, Sierra Leone","Kailahun, Eastern, Sierra Leone",Kailahun,SL1960A20101,Sierra Leone,Eastern,Kailahun,,,,,2016-12-01,2016-12-31,Main season,Harvest,2016-05-01,Main season 2016,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Not Collected,,446354.0,,Sesame Seed,SL,"Kailahun, Eastern, Sierra Leone (01/01/1960 - 01/01/2009)",ha,hectare,R01444AA,Oilseed,Western Africa,West Africa,3089130,54833,61011,1018,567,crop:harvested,7951,5104,107,525419,"Crop production, Sierra Leone: Kailahun, Eastern, Sierra Leone (From 01/01/1960): R01444AA - Sesame Seed: Main season: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2017-11-13T19:55:49,2017-11-13T19:55:49,2017-11-13T19:55:49,Published,2018-09-05T17:44:44,Ad Hoc,2016-12-31,"Crop production, Sierra Leone"
2,Sierra Leone,"Ministry of Agriculture, Forestry and Food Security, Sierra Leone","Crop production survey, Sierra Leone","Kailahun, Eastern, Sierra Leone",Kailahun,SL1960A20101,Sierra Leone,Eastern,Kailahun,,,,,2016-12-01,2016-12-31,Main season,Harvest,2016-05-01,Main season 2016,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Not Collected,,446354.0,,Groundnuts (In Shell),SL,"Kailahun, Eastern, Sierra Leone (01/01/1960 - 01/01/2009)",ha,hectare,R01422AA,"Groundnuts in shell, not specified",Western Africa,West Africa,3089126,54833,61011,1018,567,crop:harvested,7951,5104,107,525415,"Crop production, Sierra Leone: Kailahun, Eastern, Sierra Leone (From 01/01/1960): R01422AA - Groundnuts (In Shell): Main season: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2017-11-13T19:55:49,2017-11-13T19:55:49,2017-11-13T19:55:49,Published,2018-09-05T17:44:44,Ad Hoc,2016-12-31,"Crop production, Sierra Leone"
3,Sierra Leone,"Ministry of Agriculture, Forestry and Food Security, Sierra Leone","Crop production survey, Sierra Leone","Kailahun, Eastern, Sierra Leone",Kailahun,SL1960A20101,Sierra Leone,Eastern,Kailahun,,,,,2016-12-01,2016-12-31,Main season,Harvest,2016-05-01,Main season 2016,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Not Collected,,446354.0,,Cassava,SL,"Kailahun, Eastern, Sierra Leone (01/01/1960 - 01/01/2009)",ha,hectare,R01592AA,Root,Western Africa,West Africa,3089138,54833,61011,1018,567,crop:harvested,7951,5104,107,525427,"Crop production, Sierra Leone: Kailahun, Eastern, Sierra Leone (From 01/01/1960): R01592AA - Cassava: Main season: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2017-11-13T19:55:50,2017-11-13T19:55:50,2017-11-13T19:55:50,Published,2018-09-05T17:44:44,Ad Hoc,2016-12-31,"Crop production, Sierra Leone"
4,Sierra Leone,"Ministry of Agriculture, Forestry and Food Security, Sierra Leone","Crop production survey, Sierra Leone","Kailahun, Eastern, Sierra Leone",Kailahun,SL1960A20101,Sierra Leone,Eastern,Kailahun,,,,,2016-12-01,2016-12-31,Main season,Harvest,2016-05-01,Main season 2016,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Not Collected,,446354.0,,Rice (Paddy),SL,"Kailahun, Eastern, Sierra Leone (01/01/1960 - 01/01/2009)",ha,hectare,R01132AA,"Rice, not husked, unspecified",Western Africa,West Africa,3089114,54833,61011,1018,567,crop:harvested,7951,5104,107,525403,"Crop production, Sierra Leone: Kailahun, Eastern, Sierra Leone (From 01/01/1960): R01132AA - Rice (Paddy), unspecified: Main season: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2017-11-13T19:55:49,2017-11-13T19:55:49,2017-11-13T19:55:49,Published,2018-09-05T17:44:44,Ad Hoc,2016-12-31,"Crop production, Sierra Leone"
5,Sierra Leone,"Ministry of Agriculture, Forestry and Food Security, Sierra Leone","Crop production survey, Sierra Leone","Kailahun, Eastern, Sierra Leone",Kailahun,SL1960A20101,Sierra Leone,Eastern,Kailahun,,,,,2016-12-01,2016-12-31,Main season,Harvest,2016-05-01,Main season 2016,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Not Collected,,446354.0,,Sweet Potatoes,SL,"Kailahun, Eastern, Sierra Leone (01/01/1960 - 01/01/2009)",ha,hectare,R01591AA,Sweet potatoes,Western Africa,West Africa,3089134,54833,61011,1018,567,crop:harvested,7951,5104,107,525423,"Crop production, Sierra Leone: Kailahun, Eastern, Sierra Leone (From 01/01/1960): R01591AA - Sweet Potatoes: Main season: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2017-11-13T19:55:50,2017-11-13T19:55:50,2017-11-13T19:55:50,Published,2018-09-05T17:44:44,Ad Hoc,2016-12-31,"Crop production, Sierra Leone"
6,Sierra Leone,"Ministry of Agriculture, Forestry and Food Security, Sierra Leone","Crop production survey, Sierra Leone","Kailahun, Eastern, Sierra Leone",Kailahun,SL1960A20101,Sierra Leone,Eastern,Kailahun,,,,,2016-12-01,2016-12-31,Main season,Harvest,2016-05-01,Main season 2016,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Not Collected,,446354.0,,Maize (Corn),SL,"Kailahun, Eastern, Sierra Leone (01/01/1960 - 01/01/2009)",ha,hectare,R01122AA,"Maize grain (corn), other",Western Africa,West Africa,3089110,54833,61011,1018,567,crop:harvested,7951,5104,107,525399,"Crop production, Sierra Leone: Kailahun, Eastern, Sierra Leone (From 01/01/1960): R01122AA - Maize (Corn), unspecified: Main season: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2017-11-13T19:55:49,2017-11-13T19:55:49,2017-11-13T19:55:49,Published,2018-09-05T17:44:44,Ad Hoc,2016-12-31,"Crop production, Sierra Leone"
7,Sierra Leone,"Ministry of Agriculture, Forestry and Food Security, Sierra Leone","Crop production survey, Sierra Leone","Kailahun, Eastern, Sierra Leone",Kailahun,SL1960A20101,Sierra Leone,Eastern,Kailahun,,,,,2016-12-01,2016-12-31,Main season,Harvest,2016-05-01,Main season 2016,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Not Collected,,446354.0,,Sorghum,SL,"Kailahun, Eastern, Sierra Leone (01/01/1960 - 01/01/2009)",ha,hectare,R01142AA,"Sorghum grain, other",Western Africa,West Africa,3089118,54833,61011,1018,567,crop:harvested,7951,5104,107,525407,"Crop production, Sierra Leone: Kailahun, Eastern, Sierra Leone (From 01/01/1960): R01142AA - Sorghum grain, unspecified: Main season: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2017-11-13T19:55:49,2017-11-13T19:55:49,2017-11-13T19:55:49,Published,2018-09-05T17:44:44,Ad Hoc,2016-12-31,"Crop production, Sierra Leone"
8,Sierra Leone,"Ministry of Agriculture, Forestry and Food Security, Sierra Leone","Crop production survey, Sierra Leone","Kailahun, Eastern, Sierra Leone",Kailahun,SL1960A20101,Sierra Leone,Eastern,Kailahun,,,,,2015-12-01,2015-12-31,Main season,Harvest,2015-05-01,Main season 2015,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Not Collected,,438522.0,,Sorghum,SL,"Kailahun, Eastern, Sierra Leone (01/01/1960 - 01/01/2009)",ha,hectare,R01142AA,"Sorghum grain, other",Western Africa,West Africa,3088610,54832,61010,1018,567,crop:harvested,7951,5104,107,525407,"Crop production, Sierra Leone: Kailahun, Eastern, Sierra Leone (From 01/01/1960): R01142AA - Sorghum grain, unspecified: Main season: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2017-11-13T19:55:27,2017-11-13T19:55:27,2017-11-13T19:55:27,Published,2018-09-05T17:44:44,Ad Hoc,2015-12-31,"Crop production, Sierra Leone"
9,Sierra Leone,"Ministry of Agriculture, Forestry and Food Security, Sierra Leone","Crop production survey, Sierra Leone","Kailahun, Eastern, Sierra Leone",Kailahun,SL1960A20101,Sierra Leone,Eastern,Kailahun,,,,,2015-12-01,2015-12-31,Main season,Harvest,2015-05-01,Main season 2015,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Not Collected,,438522.0,,Maize (Corn),SL,"Kailahun, Eastern, Sierra Leone (01/01/1960 - 01/01/2009)",ha,hectare,R01122AA,"Maize grain (corn), other",Western Africa,West Africa,3088602,54832,61010,1018,567,crop:harvested,7951,5104,107,525399,"Crop production, Sierra Leone: Kailahun, Eastern, Sierra Leone (From 01/01/1960): R01122AA - Maize (Corn), unspecified: Main season: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2017-11-13T19:55:26,2017-11-13T19:55:26,2017-11-13T19:55:26,Published,2018-09-05T17:44:44,Ad Hoc,2015-12-31,"Crop production, Sierra Leone"
