,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,QC_flag,year,minRe
0,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2012,3,2012,8,agro_pastoral,area,3000.0, ,2012, 
1,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2012,3,2012,8,agro_pastoral,production,210.0, ,2012, 
2,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2012,3,2012,8,agro_pastoral,yield,0.07, ,2012, 
3,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2013,3,2013,8,agro_pastoral,area,3500.0, ,2013, 
4,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2013,3,2013,8,agro_pastoral,production,1750.0, ,2013, 
5,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2013,3,2013,8,agro_pastoral,yield,0.5, ,2013, 
6,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2014,3,2014,8,agro_pastoral,area,6000.0, ,2014, 
7,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2014,3,2014,8,agro_pastoral,production,2800.0, ,2014, 
8,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2014,3,2014,8,agro_pastoral,yield,0.4666666666666667, ,2014, 
10,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2016,3,2016,8,agro_pastoral,area,6000.0, ,2016, 
11,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2016,3,2016,8,agro_pastoral,production,3600.0, ,2016, 
12,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2016,3,2016,8,agro_pastoral,yield,0.6, ,2016, 
13,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2017,3,2017,8,agro_pastoral,area,2000.0, ,2017, 
14,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2017,3,2017,8,agro_pastoral,production,30.0, ,2017, 
15,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2017,3,2017,8,agro_pastoral,yield,0.015, ,2017, 
16,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2018,3,2018,8,agro_pastoral,area,1000.0, ,2018, 
17,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2018,3,2018,8,agro_pastoral,production,40.0, ,2018, 
18,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2018,3,2018,8,agro_pastoral,yield,0.04, ,2018, 
19,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2019,3,2019,8,agro_pastoral,area,500.0, ,2019, 
20,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2019,3,2019,8,agro_pastoral,production,10.0, ,2019, 
21,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2019,3,2019,8,agro_pastoral,yield,0.02, ,2019, 
22,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2020,3,2020,8,agro_pastoral,area,1000.0, ,2020, 
23,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2020,3,2020,8,agro_pastoral,production,150.0, ,2020, 
24,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2020,3,2020,8,agro_pastoral,yield,0.15, ,2020, 
25,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,1998,3,1998,8,none,area,2010.0, ,1998, 
26,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,1998,3,1998,8,none,production,1005.0, ,1998, 
27,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,1998,3,1998,8,none,yield,0.5, ,1998, 
28,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,1999,3,1999,8,none,area,2225.0, ,1999, 
29,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,1999,3,1999,8,none,production,1780.0, ,1999, 
30,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,1999,3,1999,8,none,yield,0.8, ,1999, 
31,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2000,3,2000,8,none,area,1550.0, ,2000, 
32,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2000,3,2000,8,none,production,465.0, ,2000, 
33,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2000,3,2000,8,none,yield,0.3, ,2000, 
34,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2001,3,2001,8,none,area,830.0, ,2001, 
35,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2001,3,2001,8,none,production,250.0, ,2001, 
36,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2001,3,2001,8,none,yield,0.3012048192771084, ,2001, 
37,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2002,3,2002,8,none,area,1600.0, ,2002, 
38,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2002,3,2002,8,none,production,320.0, ,2002, 
39,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2002,3,2002,8,none,yield,0.2, ,2002, 
40,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2003,3,2003,8,none,area,2375.0, ,2003, 
41,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2003,3,2003,8,none,production,475.0, ,2003, 
42,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2003,3,2003,8,none,yield,0.2, ,2003, 
43,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2004,3,2004,8,none,area,1200.0, ,2004, 
44,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2004,3,2004,8,none,production,480.0, ,2004, 
45,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2004,3,2004,8,none,yield,0.4, ,2004, 
46,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2005,3,2005,8,none,area,2600.0, ,2005, 
47,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2005,3,2005,8,none,production,1170.0, ,2005, 
48,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2005,3,2005,8,none,yield,0.45, ,2005, 
49,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2006,3,2006,8,none,area,738.0, ,2006, 
50,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2006,3,2006,8,none,production,369.0, ,2006, 
51,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2006,3,2006,8,none,yield,0.5, ,2006, 
52,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2007,3,2007,8,none,area,656.0, ,2007, 
53,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2007,3,2007,8,none,production,394.0, ,2007, 
54,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2007,3,2007,8,none,yield,0.600609756097561, ,2007, 
55,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2008,3,2008,8,none,area,200.0, ,2008, 
56,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2008,3,2008,8,none,production,5.0, ,2008, 
57,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2008,3,2008,8,none,yield,0.025, ,2008, 
58,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2009,3,2009,8,none,area,50.0, ,2009, 
59,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2009,3,2009,8,none,production,5.0, ,2009, 
60,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2009,3,2009,8,none,yield,0.1, ,2009, 
61,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2010,3,2010,8,none,area,3000.0, ,2010, 
62,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2010,3,2010,8,none,production,3000.0, ,2010, 
63,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2010,3,2010,8,none,yield,1.0, ,2010, 
64,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2011,3,2011,8,none,area,5587.0, ,2011, 
65,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2011,3,2011,8,none,production,60.0, ,2011, 
