,fnid,country,zone,admin_1,admin_2,product,crop_production_system,year,season_name,indicator,value
0,SO1990A22001,Somalia,Central,Hiiraan,Beledweyn,Maize,combined,1995,Deyr,production,130.5873903
1,SO1990A22001,Somalia,Central,Hiiraan,Beledweyn,Maize,combined,1995,Gu,production,518.0135674
2,SO1990A22001,Somalia,Central,Hiiraan,Beledweyn,Sorghum,combined,1995,Deyr,production,900.0
3,SO1990A22001,Somalia,Central,Hiiraan,Beledweyn,Sorghum,combined,1995,Gu,production,2762.0
4,SO1990A22002,Somalia,Central,Hiiraan,Bulo-Burte,Maize,combined,1995,Deyr,production,339.0706305
5,SO1990A22002,Somalia,Central,Hiiraan,Bulo-Burte,Maize,combined,1995,Gu,production,690.4493216
6,SO1990A22002,Somalia,Central,Hiiraan,Bulo-Burte,Sorghum,combined,1995,Gu,production,1987.0
7,SO1990A22002,Somalia,Central,Hiiraan,Bulo-Burte,Sorghum,combined,1995,Deyr,production,2250.0
8,SO1990A22003,Somalia,Central,Hiiraan,Jalalaqsi,Maize,combined,1995,Deyr,production,449.3419792
9,SO1990A22003,Somalia,Central,Hiiraan,Jalalaqsi,Sorghum,combined,1995,Deyr,production,600.0
10,SO1990A22003,Somalia,Central,Hiiraan,Jalalaqsi,Sorghum,combined,1995,Gu,production,926.0
11,SO1990A22003,Somalia,Central,Hiiraan,Jalalaqsi,Maize,combined,1995,Gu,production,2544.537111
12,SO1990A22101,Somalia,Central,Middle Shabelle,Jowhar,Sorghum,combined,1995,Gu,production,2742.207648
13,SO1990A22101,Somalia,Central,Middle Shabelle,Jowhar,Sorghum,combined,1995,Deyr,production,2800.0
14,SO1990A22101,Somalia,Central,Middle Shabelle,Jowhar,Maize,combined,1995,Deyr,production,4569.952127
15,SO1990A22101,Somalia,Central,Middle Shabelle,Jowhar,Maize,combined,1995,Gu,production,11620.52624
16,SO1990A22102,Somalia,Central,Middle Shabelle,Aadan Yabaal,Sorghum,combined,1995,Gu,production,220.0
17,SO1990A22102,Somalia,Central,Middle Shabelle,Aadan Yabaal,Sorghum,combined,1995,Deyr,production,390.0
18,SO1990A22103,Somalia,Central,Middle Shabelle,Balcad,Sorghum,combined,1995,Gu,production,921.8309751
19,SO1990A22103,Somalia,Central,Middle Shabelle,Balcad,Sorghum,combined,1995,Deyr,production,1680.0
20,SO1990A22103,Somalia,Central,Middle Shabelle,Balcad,Maize,combined,1995,Deyr,production,2354.775179
21,SO1990A22103,Somalia,Central,Middle Shabelle,Balcad,Maize,combined,1995,Gu,production,4234.673858
22,SO1990A22301,Somalia,South,Lower Shabelle,Marka,Sorghum,combined,1995,Gu,production,1107.142801
23,SO1990A22301,Somalia,South,Lower Shabelle,Marka,Sorghum,combined,1995,Deyr,production,2200.0
24,SO1990A22301,Somalia,South,Lower Shabelle,Marka,Maize,combined,1995,Deyr,production,2557.189639
25,SO1990A22301,Somalia,South,Lower Shabelle,Marka,Maize,combined,1995,Gu,production,18224.49036
26,SO1990A22302,Somalia,South,Lower Shabelle,Afgooye,Sorghum,combined,1995,Gu,production,409.0
27,SO1990A22302,Somalia,South,Lower Shabelle,Afgooye,Maize,combined,1995,Deyr,production,6368.875649
