,FNID,EFF_YEAR,COUNTRY,ADMIN0,ADMIN1,ADMIN1FR,ADMIN1SP,ADMIN1PT,ALIASES,ADMIN2,ADMIN2FR,ADMIN2SP,ADMIN2PT
0,BF2001A20101,2001,BF,Burkina Faso,Boucle du Mouhoun,Boucle du Mouhoun,,,~Les Bale~,Bale,Balé,,
1,BF2001A20102,2001,BF,Burkina Faso,Boucle du Mouhoun,Boucle du Mouhoun,,,,Banwa,Banwa,,
2,BF2001A20103,2001,BF,Burkina Faso,Boucle du Mouhoun,Boucle du Mouhoun,,,,Kossi,Kossi,,
3,BF2001A20104,2001,BF,Burkina Faso,Boucle du Mouhoun,Boucle du Mouhoun,,,,Mouhoun,Mouhoun,,
4,BF2001A20105,2001,BF,Burkina Faso,Boucle du Mouhoun,Boucle du Mouhoun,,,,Nayala,Nayala,,
5,BF2001A20106,2001,BF,Burkina Faso,Boucle du Mouhoun,Boucle du Mouhoun,,,,Sourou,Sourou,,
6,BF2001A20201,2001,BF,Burkina Faso,Cascades,Cascades,,,~Komoe~,Comoe,Comoé,,
7,BF2001A20202,2001,BF,Burkina Faso,Cascades,Cascades,,,,Leraba,Léraba,,
8,BF2001A20301,2001,BF,Burkina Faso,Centre,Centre,,,,Kadiogo,Kadiogo,,
9,BF2001A20401,2001,BF,Burkina Faso,Centre-Est,Centre-Est,,,,Boulgou,Boulgou,,
10,BF2001A20402,2001,BF,Burkina Faso,Centre-Est,Centre-Est,,,~Koulpélgo~Koulpelgo~,Koulpelogo,Koulpélogo,,
11,BF2001A20403,2001,BF,Burkina Faso,Centre-Est,Centre-Est,,,~Kourittenga~,Kouritenga,Kouritenga,,
12,BF2001A20501,2001,BF,Burkina Faso,Centre-Nord,Centre-Nord,,,,Bam,Bam,,
13,BF2001A20502,2001,BF,Burkina Faso,Centre-Nord,Centre-Nord,,,~Namentinga~,Namentenga,Namentenga,,
14,BF2001A20503,2001,BF,Burkina Faso,Centre-Nord,Centre-Nord,,,,Sanmatenga,Sanmatenga,,
15,BF2001A20601,2001,BF,Burkina Faso,Centre-Ouest,Centre-Ouest,,,~Boulkièmdé~,Boulkiemde,Boulkiemdé,,
16,BF2001A20602,2001,BF,Burkina Faso,Centre-Ouest,Centre-Ouest,,,,Sanguie,Sanguié,,
17,BF2001A20603,2001,BF,Burkina Faso,Centre-Ouest,Centre-Ouest,,,,Sissili,Sissili,,
18,BF2001A20604,2001,BF,Burkina Faso,Centre-Ouest,Centre-Ouest,,,,Ziro,Ziro,,
19,BF2001A20701,2001,BF,Burkina Faso,Centre-Sud,Centre-Sud,,,~Le Bazega~Bazéga~,Bazega,Bazèga,,
20,BF2001A20702,2001,BF,Burkina Faso,Centre-Sud,Centre-Sud,,,~Naouri~,Nahouri,Nahouri,,
21,BF2001A20703,2001,BF,Burkina Faso,Centre-Sud,Centre-Sud,,,~Zoundwéogo~,Zoundweogo,Zoundwéogo,,
22,BF2001A20801,2001,BF,Burkina Faso,Est,Est,,,,Gnagna,Gnagna,,
23,BF2001A20802,2001,BF,Burkina Faso,Est,Est,,,,Gourma,Gourma,,
24,BF2001A20803,2001,BF,Burkina Faso,Est,Est,,,~Komandjari~Komandjoari~Komandjori~,Komondjari,Komondjari,,
25,BF2001A20804,2001,BF,Burkina Faso,Est,Est,,,,Kompienga,Kompienga,,
26,BF2001A20805,2001,BF,Burkina Faso,Est,Est,,,,Tapoa,Tapoa,,
27,BF2001A20901,2001,BF,Burkina Faso,Hauts-Bassins,Hauts-Bassins,,,~Houe~,Houet,Houet,,
28,BF2001A20902,2001,BF,Burkina Faso,Hauts-Bassins,Hauts-Bassins,,,,Kenedougou,Kénédougou,,
29,BF2001A20903,2001,BF,Burkina Faso,Hauts-Bassins,Hauts-Bassins,,,~Tui~,Tuy,Tuy,,
30,BF2001A21001,2001,BF,Burkina Faso,Nord,Nord,,,~Lorum~,Loroum,Loroum,,
