country,admin,season,Banana,Beans (mixed),Cassava,Chili Pepper,Coffee,Groundnuts (In Shell),Lemon,Maize,Mango,Onions,Pineapple,Potato,Sorghum,Soybean,Sweet Potatoes,Tomato,Cabbage,Garlic,Millet,Rice,Carrots,Avocado,Wheat,Cowpea,Okras,Green Bean,Bambara groundnut,Cotton,Sesame Seed,Sorghum (Red),Fonio,Yams,Bush Bean,Pea,Pigeon Pea,Pole Bean,Taro,Sunflower Seed,Cucumber,Eggplant,Goussi,Lettuce,Molokhia,Watermelon,Sugarcane,Geocarpa groundnut,Squash and Melon Seeds,Pam Nut,Melon,Barley,Beans (White),Chick Peas,Fava Bean,Field Peas,Green Peppers,Guava,Hops,Linseed,Neug,Orange,Papaya,Teff,Ethiopian Cabbage,Fenugreek,Lentils,Beet,Oats,Rape,Mung bean,Tea,Broad Beans,Green Pea,Squash,Tobacco,Ginger,Pepper,Jute,Bean (Hyacinth),Paprika,Velvet Bean,Beans (Rosecoco),Capsicum Chinense,Sorrel,Celery,Cereal Crops,Cotton (Acala),Cotton (American),Cashew (unshelled),Maize (Yellow),Cottonseed
Angola,2008A1,Main,10 (18/18),16 (18/18),17 (18/18),3 (6/18),3 (12/18),13 (18/18),2 (18/18),21 (18/18),1 (18/18),3 (14/18),3 (15/18),12 (16/18),6 (16/18),5 (14/18),15 (18/18),2 (14/18),3 (13/18),4 (14/18),9 (15/18),8 (10/18),3 (5/18),2 (6/18),1 (2/18),1 (1/18),3 (3/18),1 (1/18),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burkina Faso,2020A2,Main,-,-,-,-,-,32 (45/45),-,32 (45/45),-,-,-,3 (9/45),33 (45/45),15 (41/45),15 (38/45),-,-,-,33 (45/45),34 (45/45),-,-,-,30 (45/45),-,-,30 (45/45),23 (42/45),26 (45/45),13 (45/45),11 (24/45),11 (28/45),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burkina Faso,2020A2,Annual,-,-,-,-,-,-,-,4 (27/45),-,-,-,-,-,-,-,-,-,-,-,7 (45/45),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burundi,1998A1,Season A,17 (16/17),15 (16/17),17 (16/17),-,-,2 (16/17),-,18 (16/17),-,-,-,15 (16/17),2 (16/17),1 (16/17),15 (16/17),-,-,-,3 (14/17),1 (16/17),-,-,2 (10/17),1 (13/17),-,-,-,-,-,-,-,5 (14/17),3 (16/17),14 (16/17),0 (9/17),3 (16/17),15 (16/17),0 (5/17),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burundi,1998A1,Season B,14 (16/17),14 (16/17),17 (16/17),-,-,2 (16/17),-,16 (16/17),-,-,-,14 (16/17),16 (16/17),2 (16/17),15 (16/17),-,-,-,13 (15/17),10 (16/17),-,-,10 (13/17),2 (14/17),-,-,-,-,-,-,-,8 (13/17),3 (16/17),16 (16/17),2 (11/17),3 (16/17),16 (16/17),1 (8/17),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burundi,1998A1,Season C,14 (16/17),13 (16/17),17 (16/17),-,-,0 (10/17),-,13 (16/17),-,-,-,9 (16/17),1 (15/17),0 (7/17),14 (16/17),-,-,-,0 (8/17),1 (13/17),-,-,1 (12/17),0 (8/17),-,-,-,-,-,-,-,0 (9/17),2 (16/17),5 (16/17),1 (9/17),1 (13/17),9 (16/17),1 (3/17),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Benin,2015A2,Main,-,-,-,-,-,26 (77/77),-,26 (77/77),-,7 (47/77),-,5 (17/77),25 (43/77),18 (65/77),24 (77/77),-,-,-,19 (36/77),-,-,-,-,26 (77/77),-,-,23 (45/77),-,10 (20/77),-,15 (10/77),23 (55/77),-,-,14 (47/77),-,12 (37/77),-,-,-,18 (55/77),-,5 (71/77),4 (39/77),6 (15/77),18 (22/77),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Benin,2015A2,Annual,-,-,26 (77/77),-,-,-,-,-,-,-,10 (8/77),-,-,-,-,25 (77/77),4 (59/77),-,-,22 (73/77),5 (51/77),-,-,-,20 (75/77),-,-,-,-,-,-,-,-,-,-,-,-,-,4 (38/77),11 (74/77),-,8 (65/77),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DRC,2015A1,Main,10 (21/26),7 (16/26),10 (21/26),-,-,-,-,10 (21/26),-,-,-,-,-,-,-,-,-,-,-,10 (21/26),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Central African Republic,2003A1,Main,-,-,3 (16/17),-,-,3 (16/17),-,3 (16/17),-,-,-,-,-,-,-,-,-,-,-,3 (12/17),-,-,-,-,-,-,-,-,3 (14/17),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
